<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMI,5,20210205,163500,33,33,33,33,1,0
CMI,5,20210208,152500,32.8,33,32.8,33,4,0
CMI,5,20210208,162000,32,32,31,31,4,0
CMI,5,20210209,091500,32,32,32,32,2,0
CMI,5,20210209,154500,31.2,31.2,31,31,12,0
CMI,5,20210209,160000,32,32,32,32,2,0
CMI,5,20210211,113000,33,33,33,33,50,0
CMI,5,20210212,112000,33,33,33,33,2,0
CMI,5,20210222,105000,33,33,33,33,1,0
CMI,5,20210301,105500,33,33,33,33,5,0
CMI,5,20210301,150500,32.2,32.2,32.2,32.2,39,0
CMI,5,20210302,122000,32.6,32.6,32.6,32.6,2,0
CMI,5,20210302,123000,33,33,33,33,4,0
CMI,5,20210303,133000,33,33,33,33,2,0
CMI,5,20210309,152500,33,33,33,33,2,0
CMI,5,20210309,164500,33,33,33,33,1,0
CMI,5,20210312,133000,33,33,33,33,2,0
CMI,5,20210315,092000,33.2,36,33.2,36,90,0
CMI,5,20210315,092500,36,39,36,39,60,0
CMI,5,20210315,122000,37,39,37,39,121,0
CMI,5,20210315,133500,39.8,39.8,39.8,39.8,19,0
CMI,5,20210315,135000,40,40,40,40,100,0
CMI,5,20210315,135500,41,47,41,47,63,0
CMI,5,20210315,144500,44,44,42,42,6,0
CMI,5,20210315,150000,42,42,42,42,9,0
CMI,5,20210315,151500,42,47,42,47,111,0
CMI,5,20210315,160500,44,44,44,44,2,0
CMI,5,20210315,163000,43,44,40,44,30,0
CMI,5,20210316,092500,40,40,40,40,50,0
CMI,5,20210316,100000,40,40,40,40,13,0
CMI,5,20210316,105000,39.4,39.4,39.4,39.4,6,0
CMI,5,20210316,150000,38,38,37,37,4,0
CMI,5,20210316,150500,36,36,36,36,15,0
CMI,5,20210316,161000,36,36,36,36,105,0
CMI,5,20210318,113500,37,39,37,39,6,0
CMI,5,20210319,103000,39.8,40,39.8,40,7,0
CMI,5,20210326,143000,39.8,43,39.8,43,100,0
CMI,5,20210326,150000,42.8,47,42.8,47,153,0
CMI,5,20210326,152500,47.6,47.6,47.6,47.6,2,0
CMI,5,20210326,153500,50,50,50,50,108,0
CMI,5,20210326,154000,50,56,50,56,226,0
CMI,5,20210326,164000,45,45,45,45,2,0
