<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COR,5,20210204,092500,3.16,3.16,3.16,3.16,4,0
COR,5,20210204,102500,3.14,3.14,3.14,3.14,512,0
COR,5,20210204,130500,3.14,3.14,3.14,3.14,20,0
COR,5,20210204,132000,3.16,3.16,3.16,3.16,600,0
COR,5,20210204,143500,3.1,3.1,3.1,3.1,60,0
COR,5,20210204,144000,3.16,3.16,3.16,3.16,8,0
COR,5,20210204,145000,3.16,3.16,3.16,3.16,600,0
COR,5,20210204,150000,3.1,3.1,3.1,3.1,2000,0
COR,5,20210204,152500,3.16,3.16,3.16,3.16,2281,0
COR,5,20210204,161500,3.16,3.16,3.16,3.16,100,0
COR,5,20210204,162000,3.1,3.1,3.1,3.1,128,0
COR,5,20210204,162500,3.08,3.08,3.08,3.08,771,0
COR,5,20210204,163000,3.2,3.2,3.2,3.2,5,0
COR,5,20210205,093500,3.2,3.2,3.2,3.2,4,0
COR,5,20210205,103500,3.2,3.2,3.2,3.2,1991,0
COR,5,20210205,104500,3.22,3.22,3.22,3.22,306,0
COR,5,20210205,130500,3.24,3.24,3.24,3.24,22,0
COR,5,20210205,161500,3.16,3.16,3.1,3.1,555,0
COR,5,20210205,164500,3.2,3.2,3.2,3.2,17,0
COR,5,20210208,092000,3.2,3.2,3.2,3.2,30,0
COR,5,20210208,093000,3.2,3.2,3.2,3.2,1000,0
COR,5,20210208,103500,3.18,3.18,3.18,3.18,100,0
COR,5,20210208,124500,3.2,3.2,3.2,3.2,83,0
COR,5,20210208,125500,3.14,3.14,3.12,3.12,133,0
COR,5,20210208,144000,3.12,3.12,3.12,3.12,47,0
COR,5,20210208,144500,3.14,3.14,3.14,3.14,100,0
COR,5,20210208,160000,3.14,3.14,3.14,3.14,300,0
COR,5,20210208,164500,3.16,3.16,3.16,3.16,2,0
COR,5,20210209,090000,3.16,3.16,3.1,3.1,1015,0
COR,5,20210209,091000,3.12,3.12,3.12,3.12,1000,0
COR,5,20210209,091500,3.1,3.1,3.1,3.1,155,0
COR,5,20210209,092500,3.08,3.08,3.08,3.08,850,0
COR,5,20210209,094000,3.06,3.06,3.06,3.06,1000,0
COR,5,20210209,094500,3.08,3.08,3.06,3.06,1150,0
COR,5,20210209,095000,3.06,3.06,3.06,3.06,750,0
COR,5,20210209,102500,3.1,3.1,3.1,3.1,40,0
COR,5,20210209,103000,3.04,3.04,3.04,3.04,700,0
COR,5,20210209,104500,3.06,3.06,3.04,3.04,800,0
COR,5,20210209,110500,3.04,3.04,3.02,3.02,1416,0
COR,5,20210209,111000,3.02,3.02,3.02,3.02,130,0
COR,5,20210209,112500,3.02,3.02,3.02,3.02,684,0
COR,5,20210209,122500,3.04,3.04,3.04,3.04,300,0
COR,5,20210209,141500,3.14,3.14,3.14,3.14,1,0
COR,5,20210209,161500,3.08,3.08,3.08,3.08,500,0
COR,5,20210209,162000,3.08,3.08,3.08,3.08,500,0
COR,5,20210209,162500,3.06,3.06,3.06,3.06,1000,0
COR,5,20210210,090000,3.14,3.14,3.14,3.14,20,0
COR,5,20210210,093500,3.1,3.1,3.1,3.1,100,0
COR,5,20210210,102000,3.1,3.1,3.1,3.1,585,0
COR,5,20210210,102500,3.1,3.1,3.1,3.1,721,0
COR,5,20210210,111500,3.1,3.1,3.1,3.1,1000,0
COR,5,20210210,112500,3.1,3.1,3.1,3.1,100,0
COR,5,20210210,115000,3.1,3.1,3.1,3.1,496,0
COR,5,20210210,115500,3.14,3.14,3.14,3.14,10,0
COR,5,20210210,153500,3.1,3.1,3.1,3.1,450,0
COR,5,20210211,093500,3.1,3.1,3.08,3.08,463,0
COR,5,20210211,094500,3.08,3.08,3.08,3.08,19,0
COR,5,20210211,095500,3.08,3.08,3.08,3.08,69,0
COR,5,20210211,101000,3.08,3.08,3.08,3.08,821,0
COR,5,20210211,115500,3.06,3.06,3.06,3.06,2179,0
COR,5,20210211,122500,3.12,3.12,3.12,3.12,5,0
COR,5,20210211,144500,3.08,3.08,3.08,3.08,300,0
COR,5,20210211,150500,3.1,3.1,3.1,3.1,5000,0
COR,5,20210211,162000,3.12,3.12,3.12,3.12,95,0
COR,5,20210211,162500,3.14,3.18,3.14,3.18,2019,0
COR,5,20210211,163500,3.18,3.18,3.18,3.18,50,0
COR,5,20210211,164500,3.1,3.1,3.1,3.1,2500,0
COR,5,20210212,090000,3.18,3.18,3.18,3.18,500,0
COR,5,20210212,090500,3.18,3.2,3.18,3.2,4850,0
COR,5,20210212,091000,3.2,3.2,3.2,3.2,950,0
COR,5,20210212,092500,3.12,3.12,3.1,3.1,1000,0
COR,5,20210212,093500,3.1,3.1,3.08,3.08,3500,0
COR,5,20210212,100500,3.1,3.1,3.1,3.1,10,0
COR,5,20210212,105500,3.1,3.1,3.04,3.04,6000,0
COR,5,20210212,110500,3.06,3.06,3.04,3.04,904,0
COR,5,20210212,140000,3.18,3.18,3.18,3.18,3,0
COR,5,20210212,144500,3.18,3.18,3.18,3.18,100,0
COR,5,20210212,154500,3.18,3.18,3.18,3.18,703,0
COR,5,20210212,160000,3.12,3.12,3.12,3.12,300,0
COR,5,20210212,162000,3.18,3.18,3.18,3.18,85,0
COR,5,20210212,163000,3.18,3.18,3.18,3.18,200,0
COR,5,20210212,164500,3.18,3.18,3.18,3.18,1000,0
COR,5,20210215,090000,3.04,3.04,3.04,3.04,15,0
COR,5,20210215,110500,3.16,3.16,3.16,3.16,5,0
COR,5,20210215,122500,3.16,3.16,3.16,3.16,95,0
COR,5,20210215,123000,3.18,3.18,3.18,3.18,1,0
COR,5,20210215,151500,3.16,3.16,3.1,3.1,626,0
COR,5,20210215,152000,3.1,3.1,3.1,3.1,600,0
COR,5,20210215,152500,3.1,3.1,3.1,3.1,700,0
COR,5,20210215,153000,3.1,3.2,3.1,3.2,1000,0
COR,5,20210216,090000,3.12,3.12,3.12,3.12,860,0
COR,5,20210216,091000,3.12,3.12,3.12,3.12,1140,0
COR,5,20210216,093500,3.18,3.18,3.18,3.18,25,0
COR,5,20210216,100500,3.18,3.18,3.18,3.18,200,0
COR,5,20210216,114500,3.16,3.16,3.16,3.16,1500,0
COR,5,20210216,115000,3.16,3.16,3.16,3.16,105,0
COR,5,20210216,121500,3.12,3.12,3.12,3.12,465,0
COR,5,20210216,134500,3.12,3.12,3.12,3.12,1000,0
COR,5,20210216,143000,3.14,3.14,3.14,3.14,3,0
COR,5,20210216,151000,3.12,3.12,3.1,3.1,235,0
COR,5,20210216,151500,3.1,3.1,3.1,3.1,765,0
COR,5,20210216,161500,3.08,3.08,3,3,5000,0
COR,5,20210216,162000,3.14,3.14,3.14,3.14,10,0
COR,5,20210217,090000,3,3.18,3,3,3543,0
COR,5,20210217,090500,3,3,3,3,500,0
COR,5,20210217,091000,2.98,3,2.96,3,12045,0
COR,5,20210217,092000,3.04,3.04,3.02,3.02,750,0
COR,5,20210217,092500,3.02,3.02,3.02,3.02,350,0
COR,5,20210217,095500,3.08,3.08,3.08,3.08,1150,0
COR,5,20210217,100000,3.08,3.08,3.08,3.08,200,0
COR,5,20210217,103000,3.12,3.36,3.12,3.22,30629,0
COR,5,20210217,103500,3.22,3.28,3.2,3.24,6500,0
COR,5,20210217,104000,3.24,3.24,3.16,3.16,1726,0
COR,5,20210217,104500,3.14,3.14,3.14,3.14,750,0
COR,5,20210217,105000,3.12,3.18,3.12,3.18,2550,0
COR,5,20210217,105500,3.18,3.18,3.18,3.18,2510,0
COR,5,20210217,110000,3.18,3.2,3.18,3.2,1087,0
COR,5,20210217,111000,3.16,3.16,3.12,3.12,2500,0
COR,5,20210217,114000,3.16,3.16,3.12,3.12,1800,0
COR,5,20210217,115500,3.12,3.16,3.1,3.16,9261,0
COR,5,20210217,121500,3.12,3.12,3.06,3.06,2360,0
COR,5,20210217,122000,3.06,3.06,3.06,3.06,1000,0
COR,5,20210217,122500,3.04,3.04,2.98,2.98,8408,0
COR,5,20210217,123500,3,3,3,3,2349,0
COR,5,20210217,130500,3.02,3.02,3.02,3.02,500,0
COR,5,20210217,133000,3.02,3.02,3,3,1500,0
COR,5,20210217,133500,3.06,3.06,3.06,3.06,1912,0
COR,5,20210217,135000,3.1,3.1,3.1,3.1,39,0
COR,5,20210217,150500,3.1,3.1,3.1,3.1,46,0
COR,5,20210217,153000,3.06,3.06,3.06,3.06,3000,0
COR,5,20210217,155500,3.02,3.02,3.02,3.02,290,0
COR,5,20210217,160500,3.08,3.08,3.02,3.02,3342,0
COR,5,20210217,163000,3.08,3.1,3.08,3.1,1362,0
COR,5,20210217,163500,3.1,3.1,3.1,3.1,853,0
COR,5,20210217,164500,3.1,3.1,3.02,3.02,2232,0
COR,5,20210218,092500,3.18,3.18,3.18,3.18,120,0
COR,5,20210218,094000,3.06,3.06,3.06,3.06,100,0
COR,5,20210218,094500,3.06,3.06,3.06,3.06,726,0
COR,5,20210218,100000,3.12,3.12,3.06,3.06,890,0
COR,5,20210218,101500,3.16,3.16,3.16,3.16,500,0
COR,5,20210218,102000,3.16,3.16,3.16,3.16,100,0
COR,5,20210218,104000,3.16,3.16,3.16,3.16,280,0
COR,5,20210218,104500,3.16,3.16,3.06,3.06,769,0
COR,5,20210218,112500,3.1,3.1,3.1,3.1,1479,0
COR,5,20210218,115000,3.1,3.18,3.1,3.18,1807,0
COR,5,20210218,130000,3.1,3.1,3.08,3.08,1000,0
COR,5,20210218,131500,3.06,3.06,3.06,3.06,1200,0
COR,5,20210218,143500,3.06,3.06,3.06,3.06,200,0
COR,5,20210218,145000,3.08,3.08,3.08,3.08,500,0
COR,5,20210218,153500,3.12,3.2,3.12,3.2,10811,0
COR,5,20210218,154000,3.22,3.28,3.22,3.22,3549,0
COR,5,20210218,154500,3.1,3.22,3.1,3.22,301,0
COR,5,20210218,155000,3.22,3.24,3.22,3.24,298,0
COR,5,20210218,155500,3.24,3.24,3.24,3.24,500,0
COR,5,20210218,160000,3.14,3.14,3.1,3.1,1500,0
COR,5,20210218,160500,3.12,3.12,3.1,3.1,8811,0
COR,5,20210218,161000,3.08,3.08,3.08,3.08,1000,0
COR,5,20210218,162000,3.2,3.2,3.2,3.2,25,0
COR,5,20210218,162500,3.08,3.08,3.06,3.06,600,0
COR,5,20210218,164500,3.06,3.06,3.06,3.06,1245,0
COR,5,20210219,091000,3.1,3.1,3.1,3.1,353,0
COR,5,20210219,091500,3.08,3.08,3.08,3.08,100,0
COR,5,20210219,093000,3.08,3.08,3.08,3.08,103,0
COR,5,20210219,093500,3.08,3.08,3.08,3.08,659,0
COR,5,20210219,094000,3.08,3.08,3.06,3.06,477,0
COR,5,20210219,104500,3.12,3.14,3.12,3.14,700,0
COR,5,20210219,125000,3.08,3.1,3.08,3.1,1055,0
COR,5,20210219,131000,3.08,3.08,3.08,3.08,1145,0
COR,5,20210219,131500,3.08,3.08,3.08,3.08,100,0
COR,5,20210219,132000,3.08,3.08,3.08,3.08,655,0
COR,5,20210219,132500,3.1,3.1,3.1,3.1,11,0
COR,5,20210219,145500,3.08,3.08,3.08,3.08,139,0
COR,5,20210219,150500,3.06,3.06,3.06,3.06,301,0
COR,5,20210219,152000,3.08,3.08,3.08,3.08,250,0
COR,5,20210219,152500,3.08,3.08,3.08,3.08,106,0
COR,5,20210219,153000,3.08,3.08,3.08,3.08,394,0
COR,5,20210219,154500,3.06,3.06,3.06,3.06,300,0
COR,5,20210219,160000,3.06,3.06,3.06,3.06,1000,0
COR,5,20210219,161500,3.06,3.06,3.04,3.04,500,0
COR,5,20210222,090000,3.2,3.2,3.2,3.2,1000,0
COR,5,20210222,102500,3.08,3.08,3.08,3.08,323,0
COR,5,20210222,130500,3.08,3.08,3.08,3.08,150,0
COR,5,20210222,161000,3.08,3.08,3.08,3.08,1000,0
COR,5,20210223,090000,3.08,3.08,3.08,3.08,4,0
COR,5,20210223,090500,3.04,3.04,3.04,3.04,500,0
COR,5,20210223,091000,3.04,3.04,3.02,3.02,2261,0
COR,5,20210223,091500,3.04,3.04,3.04,3.04,300,0
COR,5,20210223,100500,3.04,3.04,3.04,3.04,1000,0
COR,5,20210223,114000,3.06,3.06,3.06,3.06,130,0
COR,5,20210223,130000,3.04,3.04,3,3,2977,0
