<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRC,5,20210204,092500,7.6,7.6,7.6,7.6,3,0
CRC,5,20210204,124000,7.6,7.6,7.6,7.6,50,0
CRC,5,20210205,093500,7.6,7.6,7.6,7.6,2,0
CRC,5,20210205,125000,7.45,7.45,7.45,7.45,67,0
CRC,5,20210208,091500,7.55,7.55,7.55,7.55,223,0
CRC,5,20210208,143000,7.5,7.5,7.5,7.5,20,0
CRC,5,20210208,163000,7.4,7.4,7.3,7.3,41,0
CRC,5,20210208,163500,7.25,7.25,7.25,7.25,25,0
CRC,5,20210208,164500,7,7,7,7,200,0
CRC,5,20210209,090000,7.15,7.15,7.15,7.15,35,0
CRC,5,20210209,094000,7.4,7.4,7.4,7.4,2,0
CRC,5,20210209,164500,7.35,7.35,7.35,7.35,53,0
CRC,5,20210210,093500,7.35,7.5,7.35,7.5,543,0
CRC,5,20210210,103500,7.6,7.7,7.6,7.7,11,0
CRC,5,20210210,110000,7.4,7.4,7.3,7.3,315,0
CRC,5,20210210,141500,7.3,7.3,7.3,7.3,308,0
CRC,5,20210210,153500,7.4,7.4,7.4,7.4,10,0
CRC,5,20210211,094000,7.3,7.3,7.3,7.3,1,0
CRC,5,20210211,104500,7.45,7.45,7.45,7.45,1,0
CRC,5,20210212,091000,7.45,7.45,7.45,7.45,2,0
CRC,5,20210212,141500,7.45,7.5,7.45,7.5,37,0
CRC,5,20210212,142000,7.5,7.5,7.5,7.5,95,0
CRC,5,20210212,154500,7.25,7.25,7.15,7.15,320,0
CRC,5,20210212,155000,7,7,6.9,6.9,140,0
CRC,5,20210212,164500,7.35,7.35,7.35,7.35,20,0
CRC,5,20210215,091000,7.1,7.15,7.1,7.15,230,0
CRC,5,20210215,094500,7.25,7.25,7.25,7.25,20,0
CRC,5,20210215,095000,7.4,7.4,7.4,7.4,2,0
CRC,5,20210215,162500,7.4,7.4,7.4,7.4,12,0
CRC,5,20210215,164000,7.35,7.45,7.35,7.45,28,0
CRC,5,20210215,164500,7.5,7.6,7.5,7.6,41,0
CRC,5,20210216,090000,7.3,7.3,7.3,7.3,280,0
CRC,5,20210216,093000,7.5,7.5,7.5,7.5,2,0
CRC,5,20210216,110500,7.25,7.25,7.25,7.25,200,0
CRC,5,20210216,123500,7.5,7.7,7.5,7.7,307,0
CRC,5,20210216,124000,7.8,7.8,7.5,7.8,182,0
CRC,5,20210216,134500,7.4,7.4,7.25,7.25,420,0
CRC,5,20210216,141000,7.4,7.4,7.4,7.4,20,0
CRC,5,20210217,090000,7.2,7.2,7.2,7.2,50,0
CRC,5,20210217,093000,7.45,7.45,7.45,7.45,5,0
CRC,5,20210217,144500,7.45,7.45,7.45,7.45,88,0
CRC,5,20210217,160000,7.45,7.45,7.45,7.45,60,0
CRC,5,20210217,161500,7.45,7.45,7.45,7.45,10,0
CRC,5,20210217,162000,7.55,7.55,7.55,7.55,2,0
CRC,5,20210218,093000,7.4,7.55,7.4,7.55,4,0
CRC,5,20210218,093500,7.55,7.55,7.35,7.55,66,0
CRC,5,20210218,094000,7.55,7.55,7.25,7.45,311,0
CRC,5,20210219,093500,7.45,7.45,7.45,7.45,2,0
CRC,5,20210219,101500,7.2,7.2,7,7,425,0
CRC,5,20210219,102000,6.95,7.2,6.95,7.2,72,0
CRC,5,20210219,102500,7.15,7.15,7.15,7.15,20,0
CRC,5,20210219,103000,7.3,7.3,7.3,7.3,2,0
CRC,5,20210219,105500,7.35,7.35,7.35,7.35,2,0
CRC,5,20210219,131500,7.3,7.3,7.3,7.3,14,0
CRC,5,20210219,151000,7.3,7.3,7.3,7.3,20,0
CRC,5,20210219,164500,7.3,7.3,7.3,7.3,1,0
CRC,5,20210222,092000,7.35,7.35,7.35,7.35,298,0
CRC,5,20210222,095000,7.3,7.4,7.3,7.4,160,0
CRC,5,20210222,164000,7.3,7.3,7.2,7.2,330,0
CRC,5,20210223,090000,7,7,7,7,300,0
CRC,5,20210223,102500,7.25,7.25,7.25,7.25,200,0
