<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ,5,20210204,090000,1095,1095,1085,1090,39,0
CRJ,5,20210204,090500,1090,1090,1090,1090,2,0
CRJ,5,20210204,091500,1080,1080,1065,1070,109,0
CRJ,5,20210204,092000,1075,1075,1065,1070,15,0
CRJ,5,20210204,092500,1070,1070,1065,1065,7,0
CRJ,5,20210204,093000,1070,1075,1070,1075,25,0
CRJ,5,20210204,093500,1075,1080,1075,1080,16,0
CRJ,5,20210204,094000,1080,1080,1080,1080,13,0
CRJ,5,20210204,094500,1075,1075,1050,1060,157,0
CRJ,5,20210204,095000,1070,1070,1070,1070,5,0
CRJ,5,20210204,095500,1065,1065,1065,1065,17,0
CRJ,5,20210204,101000,1060,1070,1060,1070,6,0
CRJ,5,20210204,101500,1070,1070,1070,1070,8,0
CRJ,5,20210204,104000,1075,1075,1075,1075,5,0
CRJ,5,20210204,110000,1070,1070,1070,1070,8,0
CRJ,5,20210204,110500,1070,1075,1065,1075,14,0
CRJ,5,20210204,111500,1075,1075,1075,1075,3,0
CRJ,5,20210204,113000,1075,1075,1075,1075,1,0
CRJ,5,20210204,114000,1075,1075,1075,1075,6,0
CRJ,5,20210204,120000,1070,1070,1070,1070,38,0
CRJ,5,20210204,120500,1075,1075,1075,1075,1,0
CRJ,5,20210204,122000,1070,1070,1070,1070,3,0
CRJ,5,20210204,125000,1070,1070,1070,1070,4,0
CRJ,5,20210204,125500,1070,1070,1070,1070,1,0
CRJ,5,20210204,130000,1070,1070,1070,1070,10,0
CRJ,5,20210204,130500,1075,1075,1075,1075,1,0
CRJ,5,20210204,131000,1075,1075,1075,1075,20,0
CRJ,5,20210204,131500,1075,1075,1075,1075,3,0
CRJ,5,20210204,132500,1075,1075,1075,1075,5,0
CRJ,5,20210204,133000,1070,1070,1070,1070,1,0
CRJ,5,20210204,133500,1075,1075,1075,1075,4,0
CRJ,5,20210204,134000,1070,1075,1070,1075,9,0
CRJ,5,20210204,134500,1075,1075,1075,1075,66,0
CRJ,5,20210204,135000,1075,1075,1070,1070,29,0
CRJ,5,20210204,135500,1065,1065,1060,1060,65,0
CRJ,5,20210204,140000,1060,1065,1055,1060,60,0
CRJ,5,20210204,140500,1065,1065,1050,1065,115,0
CRJ,5,20210204,141000,1055,1065,1050,1065,67,0
CRJ,5,20210204,141500,1065,1065,1050,1060,118,0
CRJ,5,20210204,142000,1055,1060,1035,1040,197,0
CRJ,5,20210204,142500,1050,1050,1050,1050,3,0
