<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTF,5,20210216,120000,2.14,2.14,2.14,2.14,20,0
CTF,5,20210218,112500,2.14,2.14,2.14,2.14,20,0
CTF,5,20210222,133000,2.1,2.1,2.04,2.04,540,0
CTF,5,20210222,155500,2.02,2.08,2.02,2.08,1404,0
CTF,5,20210222,162000,2.08,2.08,2.04,2.04,500,0
CTF,5,20210304,114000,2,2,2,2,20,0
CTF,5,20210305,163500,2,2,2,2,20,0
CTF,5,20210308,110500,2.04,2.04,2.04,2.04,10,0
CTF,5,20210309,105500,2.04,2.04,2.04,2.04,5,0
CTF,5,20210309,151500,1.96,1.96,1.96,1.96,1,0
CTF,5,20210310,090500,2.02,2.02,2.02,2.02,20,0
CTF,5,20210310,091000,2.04,2.04,2.04,2.04,633,0
CTF,5,20210315,090000,1.96,1.96,1.96,1.96,5,0
CTF,5,20210319,091500,1.96,1.96,1.96,1.96,24,0
CTF,5,20210322,105500,1.96,1.96,1.96,1.96,6,0
CTF,5,20210323,105000,1.96,1.96,1.96,1.96,15,0
CTF,5,20210325,100000,1.95,1.95,1.95,1.95,20,0
CTF,5,20210326,122000,1.96,1.96,1.96,1.96,15,0
