<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAM,5,20210204,110000,0.39,0.39,0.39,0.39,3000,0
DAM,5,20210204,150000,0.4,0.4,0.4,0.4,2300,0
DAM,5,20210205,110000,0.4,0.4,0.4,0.4,50,0
DAM,5,20210205,111500,0.4,0.4,0.4,0.4,1700,0
DAM,5,20210208,110000,0.4,0.4,0.4,0.4,30,0
DAM,5,20210209,110000,0.4,0.4,0.4,0.4,510,0
DAM,5,20210209,110500,0.4,0.4,0.4,0.4,20740,0
DAM,5,20210210,110000,0.4,0.4,0.4,0.4,1800,0
DAM,5,20210210,150000,0.398,0.398,0.398,0.398,200,0
DAM,5,20210211,150000,0.388,0.388,0.388,0.388,14,0
DAM,5,20210215,110000,0.398,0.398,0.398,0.398,5000,0
DAM,5,20210215,110500,0.398,0.398,0.398,0.398,300,0
DAM,5,20210215,111500,0.398,0.398,0.398,0.398,17000,0
DAM,5,20210215,150000,0.4,0.4,0.4,0.4,650,0
DAM,5,20210215,152500,0.4,0.4,0.4,0.4,100,0
DAM,5,20210216,110000,0.4,0.4,0.4,0.4,6600,0
DAM,5,20210216,150000,0.4,0.4,0.4,0.4,5213,0
DAM,5,20210217,110000,0.398,0.398,0.398,0.398,1000,0
DAM,5,20210217,152500,0.398,0.398,0.398,0.398,4,0
DAM,5,20210218,150000,0.39,0.39,0.39,0.39,200,0
DAM,5,20210219,150000,0.386,0.386,0.386,0.386,7,0
DAM,5,20210222,110000,0.39,0.39,0.39,0.39,93,0
DAM,5,20210223,150000,0.39,0.39,0.39,0.39,200,0
DAM,5,20210224,110000,0.386,0.386,0.386,0.386,5000,0
DAM,5,20210224,112500,0.386,0.386,0.386,0.386,400,0
DAM,5,20210226,150000,0.354,0.354,0.354,0.354,5140,0
DAM,5,20210301,110000,0.34,0.34,0.34,0.34,1277,0
DAM,5,20210301,150000,0.32,0.32,0.32,0.32,11008,0
DAM,5,20210302,110000,0.35,0.35,0.35,0.35,2,0
DAM,5,20210302,150000,0.37,0.37,0.37,0.37,300,0
DAM,5,20210303,150000,0.36,0.36,0.36,0.36,200,0
DAM,5,20210304,110000,0.358,0.358,0.358,0.358,2100,0
DAM,5,20210304,150000,0.34,0.34,0.34,0.34,100,0
DAM,5,20210305,110000,0.34,0.34,0.34,0.34,1400,0
DAM,5,20210305,150000,0.312,0.312,0.312,0.312,1860,0
DAM,5,20210308,110000,0.3,0.3,0.3,0.3,8046,0
DAM,5,20210308,110500,0.3,0.3,0.3,0.3,400,0
DAM,5,20210308,150000,0.31,0.31,0.31,0.31,3600,0
DAM,5,20210309,110000,0.31,0.31,0.31,0.31,690,0
DAM,5,20210309,150000,0.304,0.304,0.304,0.304,3300,0
DAM,5,20210310,150000,0.298,0.298,0.298,0.298,442,0
DAM,5,20210311,150000,0.304,0.304,0.304,0.304,550,0
DAM,5,20210312,110000,0.29,0.29,0.29,0.29,8361,0
DAM,5,20210312,112000,0.29,0.29,0.29,0.29,300,0
DAM,5,20210312,150000,0.29,0.29,0.29,0.29,155416,0
DAM,5,20210315,110000,0.28,0.28,0.28,0.28,13208,0
DAM,5,20210315,150000,0.28,0.28,0.28,0.28,91,0
DAM,5,20210316,110000,0.262,0.262,0.262,0.262,1420,0
DAM,5,20210316,150000,0.25,0.25,0.25,0.25,11100,0
DAM,5,20210316,152000,0.25,0.25,0.25,0.25,13958,0
DAM,5,20210317,110000,0.24,0.24,0.24,0.24,15115,0
DAM,5,20210317,110500,0.24,0.24,0.24,0.24,1000,0
DAM,5,20210317,150000,0.2,0.2,0.2,0.2,25225,0
DAM,5,20210317,151500,0.2,0.2,0.2,0.2,8000,0
DAM,5,20210317,152500,0.2,0.2,0.2,0.2,315,0
DAM,5,20210318,110000,0.202,0.202,0.202,0.202,1000,0
DAM,5,20210318,150000,0.202,0.202,0.202,0.202,10092,0
DAM,5,20210319,150000,0.24,0.24,0.24,0.24,2500,0
DAM,5,20210322,150000,0.24,0.24,0.24,0.24,360,0
DAM,5,20210323,110000,0.24,0.24,0.24,0.24,600,0
DAM,5,20210323,150000,0.25,0.25,0.25,0.25,200,0
DAM,5,20210324,110000,0.25,0.25,0.25,0.25,1200,0
DAM,5,20210324,112500,0.25,0.25,0.25,0.25,200,0
DAM,5,20210324,150000,0.25,0.25,0.25,0.25,2200,0
