<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBE,5,20210204,101000,35.2,35.2,35.2,35.2,24,0
DBE,5,20210204,113000,35.2,35.2,35.2,35.2,64,0
DBE,5,20210208,122000,35.3,35.3,35.3,35.3,5,0
DBE,5,20210208,125500,35.3,35.3,35.3,35.3,10,0
DBE,5,20210208,152000,35.2,35.2,35.2,35.2,8,0
DBE,5,20210209,090000,35.6,35.6,35.6,35.6,5,0
DBE,5,20210209,091500,35.7,35.7,35.7,35.7,5,0
DBE,5,20210209,112000,35.605,35.605,35.6,35.6,113,0
DBE,5,20210209,122500,35.6,35.6,35.6,35.6,39,0
DBE,5,20210209,152500,35.7,35.7,35.7,35.7,51,0
DBE,5,20210210,104500,35.7,35.7,35.7,35.7,5,0
DBE,5,20210210,123000,35.7,35.7,35.7,35.7,44,0
DBE,5,20210210,130500,35.7,35.7,35.7,35.7,34,0
DBE,5,20210210,132000,35.7,35.7,35.7,35.7,22,0
DBE,5,20210210,132500,35.7,35.7,35.7,35.7,58,0
DBE,5,20210210,141500,35.7,35.7,35.7,35.7,92,0
DBE,5,20210210,155500,36,36,36,36,40,0
DBE,5,20210210,164500,36,36,36,36,50,0
DBE,5,20210211,092500,36.7,37,36.7,37,355,0
DBE,5,20210211,093000,37,37.8,36.6,37.8,775,0
DBE,5,20210211,094000,37.8,37.8,37.8,37.8,34,0
DBE,5,20210211,095000,37.8,37.8,37.8,37.8,36,0
DBE,5,20210211,095500,37.8,37.8,37.8,37.8,5,0
DBE,5,20210211,100500,37.8,38.6,37.8,38.2,464,0
DBE,5,20210211,102000,38,38,38,38,5,0
DBE,5,20210211,102500,38,38,38,38,8,0
DBE,5,20210211,103000,38,38,38,38,110,0
DBE,5,20210211,103500,38.15,38.2,38.15,38.2,47,0
DBE,5,20210211,121000,38.2,38.2,38.2,38.2,31,0
DBE,5,20210211,142000,38.5,38.9,38.5,38.9,310,0
DBE,5,20210211,162000,38.4,38.4,37.8,37.8,237,0
DBE,5,20210211,162500,37.8,37.8,37.8,37.8,46,0
DBE,5,20210211,163000,38,38,37.8,38,2612,0
DBE,5,20210212,101500,38,38,38,38,165,0
DBE,5,20210212,102500,38.5,38.5,38.5,38.5,5,0
DBE,5,20210212,110500,38.5,38.5,37.5,37.5,500,0
DBE,5,20210212,113000,38,38,38,38,255,0
DBE,5,20210212,115000,38.4,38.4,38.4,38.4,194,0
DBE,5,20210212,121000,38.5,38.5,38.5,38.5,700,0
DBE,5,20210212,123500,38.5,38.5,38.5,38.5,200,0
DBE,5,20210212,130500,38.5,38.5,38.5,38.5,150,0
DBE,5,20210212,132000,38.5,38.5,38.5,38.5,500,0
DBE,5,20210212,133000,38.6,38.6,38.6,38.6,10,0
DBE,5,20210212,151500,38.8,39,38.6,38.6,85,0
DBE,5,20210215,090000,38.6,38.6,38.6,38.6,1000,0
DBE,5,20210215,090500,38.6,38.6,38.6,38.6,5,0
