<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDI,5,20210204,092500,1.85,1.85,1.84,1.84,2677,0
DDI,5,20210204,100000,1.85,1.85,1.85,1.85,1000,0
DDI,5,20210204,110500,1.85,1.85,1.85,1.85,2250,0
DDI,5,20210204,113000,1.87,1.87,1.87,1.87,335,0
DDI,5,20210204,113500,1.84,1.84,1.84,1.84,83,0
DDI,5,20210204,114500,1.87,1.87,1.87,1.87,10,0
DDI,5,20210204,120000,1.87,1.87,1.87,1.87,790,0
DDI,5,20210204,125000,1.85,1.85,1.85,1.85,1000,0
DDI,5,20210204,131000,1.84,1.84,1.84,1.84,238,0
DDI,5,20210204,152500,1.84,1.84,1.84,1.84,324,0
DDI,5,20210204,154500,1.84,1.84,1.84,1.84,371,0
DDI,5,20210205,102000,1.755,1.755,1.755,1.755,700,0
DDI,5,20210205,114500,1.79,1.79,1.79,1.79,1000,0
DDI,5,20210205,124500,1.8,1.8,1.77,1.77,1616,0
DDI,5,20210205,153000,1.785,1.785,1.785,1.785,1086,0
DDI,5,20210205,153500,1.82,1.82,1.82,1.82,11,0
DDI,5,20210205,160500,1.79,1.79,1.785,1.785,1150,0
DDI,5,20210205,162000,1.82,1.82,1.82,1.82,14,0
DDI,5,20210205,164000,1.82,1.82,1.82,1.82,500,0
DDI,5,20210208,090500,1.82,1.82,1.82,1.82,287,0
DDI,5,20210208,091000,1.765,1.765,1.765,1.765,2430,0
DDI,5,20210208,093000,1.795,1.795,1.795,1.795,38,0
DDI,5,20210208,095500,1.795,1.795,1.795,1.795,150,0
DDI,5,20210208,111000,1.795,1.8,1.795,1.8,2172,0
DDI,5,20210208,130500,1.82,1.825,1.82,1.825,944,0
DDI,5,20210208,132500,1.845,1.845,1.845,1.845,1650,0
DDI,5,20210208,133000,1.855,1.89,1.855,1.89,3300,0
DDI,5,20210208,141000,1.835,1.835,1.835,1.835,1500,0
DDI,5,20210208,145000,1.9,2,1.9,2,19383,0
DDI,5,20210208,145500,1.95,2.04,1.95,2.04,1287,0
DDI,5,20210208,151000,1.95,1.95,1.95,1.95,721,0
DDI,5,20210208,155000,1.9,1.9,1.9,1.9,373,0
DDI,5,20210208,164500,1.9,1.94,1.88,1.94,1020,0
DDI,5,20210209,090000,1.96,2,1.96,2,6352,0
DDI,5,20210209,094000,1.91,1.91,1.91,1.91,300,0
DDI,5,20210209,131000,1.9,1.9,1.9,1.9,1400,0
DDI,5,20210209,131500,1.9,1.9,1.9,1.9,5,0
DDI,5,20210209,161500,1.9,1.9,1.9,1.9,1000,0
DDI,5,20210209,164000,1.9,1.9,1.9,1.9,800,0
DDI,5,20210210,090000,1.97,1.97,1.97,1.97,10,0
DDI,5,20210210,091500,1.88,1.88,1.875,1.875,1000,0
DDI,5,20210210,100500,1.88,1.88,1.88,1.88,600,0
DDI,5,20210210,114500,1.88,1.88,1.88,1.88,500,0
DDI,5,20210210,120000,1.9,1.94,1.9,1.94,1000,0
DDI,5,20210210,130000,1.88,1.88,1.88,1.88,158,0
DDI,5,20210210,140000,1.88,1.88,1.88,1.88,492,0
DDI,5,20210210,164500,1.94,1.94,1.94,1.94,10,0
DDI,5,20210211,092500,1.94,1.94,1.94,1.94,566,0
DDI,5,20210211,095000,1.92,1.92,1.92,1.92,1000,0
DDI,5,20210211,101000,1.88,1.88,1.88,1.88,2500,0
DDI,5,20210211,120500,1.89,1.89,1.89,1.89,45,0
DDI,5,20210211,125500,1.89,1.89,1.89,1.89,55,0
DDI,5,20210211,134000,1.89,1.89,1.88,1.88,1945,0
DDI,5,20210211,135000,1.88,1.88,1.88,1.88,1000,0
DDI,5,20210211,141500,1.88,1.88,1.88,1.88,499,0
DDI,5,20210211,155000,1.88,1.88,1.88,1.88,300,0
DDI,5,20210211,164000,1.88,1.88,1.88,1.88,1500,0
DDI,5,20210211,164500,1.88,1.88,1.88,1.88,2000,0
DDI,5,20210212,090000,1.875,1.875,1.875,1.875,1800,0
DDI,5,20210212,090500,1.875,1.875,1.875,1.875,500,0
DDI,5,20210212,103500,1.875,1.875,1.875,1.875,1,0
DDI,5,20210212,143000,1.88,1.92,1.88,1.92,1000,0
DDI,5,20210212,154000,1.875,1.875,1.875,1.875,491,0
DDI,5,20210212,160500,1.9,1.9,1.9,1.9,38,0
DDI,5,20210215,090000,1.9,1.9,1.9,1.9,100,0
DDI,5,20210215,095500,1.88,1.88,1.88,1.88,902,0
DDI,5,20210215,104500,1.88,1.88,1.88,1.88,98,0
DDI,5,20210215,111000,1.9,1.9,1.9,1.9,500,0
DDI,5,20210215,112500,1.875,1.9,1.875,1.9,1400,0
DDI,5,20210215,114000,1.9,1.94,1.9,1.94,604,0
DDI,5,20210215,133000,1.88,1.88,1.88,1.88,1000,0
DDI,5,20210215,142000,1.88,1.88,1.875,1.875,2000,0
DDI,5,20210215,144500,1.875,1.875,1.85,1.85,1000,0
DDI,5,20210215,145000,1.85,1.89,1.85,1.89,801,0
DDI,5,20210215,155000,1.835,1.835,1.835,1.835,551,0
DDI,5,20210215,164500,1.885,1.885,1.885,1.885,10,0
DDI,5,20210216,095000,1.885,1.885,1.85,1.85,300,0
DDI,5,20210216,121000,1.845,1.845,1.845,1.845,164,0
DDI,5,20210216,141500,1.855,1.855,1.855,1.855,330,0
DDI,5,20210216,143000,1.855,1.855,1.85,1.85,1670,0
DDI,5,20210216,162000,1.85,1.85,1.85,1.85,100,0
DDI,5,20210216,162500,1.86,1.87,1.86,1.87,206,0
DDI,5,20210216,164500,1.895,1.895,1.895,1.895,10,0
DDI,5,20210217,090000,1.84,1.84,1.835,1.835,2000,0
DDI,5,20210217,092000,1.85,1.85,1.85,1.85,1000,0
DDI,5,20210217,093000,1.85,1.875,1.85,1.875,500,0
DDI,5,20210217,094000,1.84,1.84,1.835,1.835,1401,0
DDI,5,20210217,095500,1.85,1.85,1.85,1.85,271,0
DDI,5,20210217,110000,1.835,1.835,1.835,1.835,442,0
DDI,5,20210217,115000,1.84,1.84,1.84,1.84,1500,0
DDI,5,20210217,121000,1.84,1.875,1.84,1.875,1179,0
DDI,5,20210217,134000,1.835,1.835,1.835,1.835,200,0
DDI,5,20210217,143000,1.87,1.875,1.87,1.875,2000,0
DDI,5,20210217,143500,1.875,1.875,1.875,1.875,1000,0
DDI,5,20210218,090500,1.85,1.85,1.85,1.85,100,0
DDI,5,20210218,091500,1.87,1.87,1.87,1.87,200,0
DDI,5,20210218,095000,1.85,1.85,1.84,1.84,500,0
DDI,5,20210218,095500,1.89,1.89,1.89,1.89,10,0
DDI,5,20210218,122000,1.85,1.85,1.85,1.85,5,0
DDI,5,20210218,150500,1.85,1.85,1.85,1.85,495,0
DDI,5,20210218,151000,1.84,1.84,1.84,1.84,505,0
DDI,5,20210218,152500,1.89,1.89,1.89,1.89,870,0
DDI,5,20210218,155500,1.89,1.89,1.89,1.89,1100,0
DDI,5,20210218,160000,1.89,1.89,1.89,1.89,30,0
DDI,5,20210218,161000,1.84,1.84,1.835,1.835,2470,0
DDI,5,20210218,164500,1.89,1.89,1.89,1.89,11,0
DDI,5,20210219,093500,1.885,1.91,1.885,1.91,5029,0
DDI,5,20210219,094000,1.915,1.915,1.915,1.915,900,0
DDI,5,20210219,112000,1.88,1.88,1.88,1.88,50,0
DDI,5,20210219,112500,1.88,1.88,1.88,1.88,271,0
DDI,5,20210219,113000,1.9,1.9,1.9,1.9,200,0
DDI,5,20210219,114000,1.915,1.915,1.915,1.915,7355,0
DDI,5,20210219,114500,1.915,1.915,1.915,1.915,3000,0
DDI,5,20210219,115000,1.915,1.915,1.915,1.915,5646,0
DDI,5,20210219,120500,1.9,1.9,1.9,1.9,100,0
DDI,5,20210219,141000,1.915,1.915,1.915,1.915,194,0
DDI,5,20210219,145000,1.9,1.9,1.9,1.9,1000,0
DDI,5,20210219,145500,1.9,1.9,1.9,1.9,2699,0
DDI,5,20210219,153000,1.905,1.905,1.905,1.905,50,0
DDI,5,20210222,090000,1.9,1.9,1.9,1.9,10,0
DDI,5,20210222,090500,1.9,1.9,1.9,1.9,50,0
DDI,5,20210222,102000,1.84,1.84,1.84,1.84,104,0
DDI,5,20210222,112000,1.89,1.89,1.89,1.89,400,0
DDI,5,20210222,150000,1.88,1.895,1.88,1.895,2500,0
DDI,5,20210222,161000,1.87,1.87,1.87,1.87,500,0
DDI,5,20210223,094500,1.865,1.865,1.86,1.86,1200,0
DDI,5,20210223,102000,1.86,1.86,1.835,1.85,2900,0
DDI,5,20210223,103500,1.895,1.895,1.895,1.895,1000,0
DDI,5,20210223,110000,1.83,1.83,1.83,1.83,600,0
DDI,5,20210223,123000,1.86,1.86,1.86,1.86,50,0
DDI,5,20210223,133000,1.86,1.86,1.86,1.86,2120,0
DDI,5,20210223,134500,1.86,1.86,1.86,1.86,100,0
DDI,5,20210223,135500,1.88,1.89,1.88,1.89,250,0
DDI,5,20210223,150000,1.89,1.9,1.89,1.9,2500,0
DDI,5,20210223,154000,1.86,1.86,1.835,1.835,300,0
DDI,5,20210223,164500,1.89,1.89,1.89,1.89,10,0
DDI,5,20210224,090000,1.89,1.89,1.89,1.89,200,0
DDI,5,20210224,093500,1.89,1.89,1.89,1.89,268,0
DDI,5,20210224,125000,1.89,1.89,1.89,1.89,500,0
DDI,5,20210224,134500,1.89,1.895,1.89,1.895,500,0
DDI,5,20210224,135000,1.895,1.895,1.895,1.895,500,0
DDI,5,20210224,150000,1.895,1.895,1.895,1.895,2400,0
DDI,5,20210224,150500,1.84,1.84,1.84,1.84,122,0
DDI,5,20210224,153500,1.89,1.89,1.89,1.89,10,0
DDI,5,20210225,090000,1.89,1.89,1.89,1.89,100,0
DDI,5,20210225,110500,1.89,1.89,1.89,1.89,844,0
DDI,5,20210225,111500,1.895,1.895,1.895,1.895,100,0
DDI,5,20210225,120000,1.84,1.84,1.84,1.84,1,0
DDI,5,20210225,125500,1.89,1.89,1.89,1.89,550,0
DDI,5,20210225,143000,1.84,1.84,1.84,1.84,115,0
DDI,5,20210225,164500,1.89,1.89,1.89,1.89,10,0
DDI,5,20210226,090000,1.855,1.88,1.855,1.88,2139,0
DDI,5,20210226,092000,1.88,1.9,1.88,1.9,4589,0
DDI,5,20210226,092500,1.9,1.9,1.84,1.84,2026,0
DDI,5,20210226,094000,1.89,1.9,1.89,1.9,2775,0
DDI,5,20210226,095500,1.905,1.905,1.905,1.905,222,0
DDI,5,20210226,101500,1.9,1.9,1.9,1.9,100,0
DDI,5,20210226,104000,1.91,1.91,1.91,1.91,2000,0
DDI,5,20210226,111000,1.91,1.91,1.91,1.91,1089,0
DDI,5,20210226,111500,1.91,1.91,1.91,1.91,53,0
DDI,5,20210226,121000,1.88,1.88,1.88,1.88,150,0
DDI,5,20210226,122500,1.88,1.88,1.88,1.88,1000,0
DDI,5,20210226,124000,1.88,1.88,1.88,1.88,550,0
DDI,5,20210226,134500,1.88,1.88,1.88,1.88,450,0
DDI,5,20210226,142000,1.86,1.86,1.86,1.86,100,0
DDI,5,20210226,154500,1.9,1.9,1.9,1.9,10271,0
DDI,5,20210226,162500,1.9,1.9,1.9,1.9,100,0
DDI,5,20210226,164000,1.9,1.9,1.9,1.9,22300,0
DDI,5,20210301,090000,1.95,1.95,1.87,1.87,641,0
DDI,5,20210301,091000,1.875,1.875,1.86,1.86,1600,0
DDI,5,20210301,093500,1.915,1.915,1.915,1.915,500,0
DDI,5,20210301,094000,1.915,1.92,1.915,1.92,900,0
DDI,5,20210301,100000,1.92,1.92,1.92,1.92,500,0
DDI,5,20210301,102500,1.9,1.9,1.9,1.9,100,0
DDI,5,20210301,103000,1.92,1.93,1.92,1.93,1020,0
DDI,5,20210301,103500,1.93,1.93,1.93,1.93,980,0
DDI,5,20210301,104000,1.93,1.94,1.93,1.94,1742,0
DDI,5,20210301,104500,1.95,1.95,1.95,1.95,6488,0
DDI,5,20210301,105500,1.97,1.97,1.97,1.97,890,0
DDI,5,20210301,110500,2.02,2.02,1.97,1.97,3706,0
DDI,5,20210301,111000,1.97,1.97,1.97,1.97,500,0
DDI,5,20210301,111500,1.97,1.97,1.97,1.97,4000,0
DDI,5,20210301,112000,1.97,1.99,1.97,1.99,2010,0
