<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEG,5,20210204,090000,8.7,8.7,8.7,8.7,120,0
DEG,5,20210204,095500,8.511,8.511,8.511,8.511,100,0
DEG,5,20210204,101000,8.69,8.7,8.69,8.7,132,0
DEG,5,20210204,102500,8.75,8.768,8.75,8.768,341,0
DEG,5,20210204,103500,8.768,8.768,8.768,8.768,54,0
DEG,5,20210204,110000,8.768,8.769,8.768,8.769,485,0
DEG,5,20210204,110500,8.769,8.77,8.769,8.77,622,0
DEG,5,20210204,112000,8.79,8.82,8.79,8.82,340,0
DEG,5,20210204,112500,8.82,8.85,8.82,8.85,207,0
DEG,5,20210204,113000,8.88,8.98,8.88,8.98,147,0
DEG,5,20210204,113500,8.98,8.98,8.98,8.98,246,0
DEG,5,20210204,114500,8.85,8.85,8.85,8.85,50,0
DEG,5,20210204,115000,8.83,8.83,8.83,8.83,25,0
DEG,5,20210204,121000,8.83,8.83,8.83,8.83,400,0
DEG,5,20210204,121500,8.82,8.82,8.82,8.82,173,0
DEG,5,20210204,122000,8.82,8.85,8.82,8.85,535,0
DEG,5,20210204,132500,8.85,8.85,8.85,8.85,99,0
DEG,5,20210204,133000,8.97,8.97,8.85,8.85,116,0
DEG,5,20210204,145500,8.77,8.77,8.7,8.7,185,0
DEG,5,20210204,152500,8.7,8.7,8.7,8.7,21,0
DEG,5,20210204,155000,8.8,8.8,8.8,8.8,100,0
DEG,5,20210204,164000,8.7,8.7,8.7,8.7,29,0
DEG,5,20210204,164500,8.7,8.7,8.7,8.7,15,0
DEG,5,20210205,090000,8.84,8.84,8.84,8.84,15,0
DEG,5,20210205,090500,8.84,8.97,8.84,8.97,20,0
DEG,5,20210205,094500,8.72,8.72,8.7,8.7,425,0
DEG,5,20210205,095500,8.7,8.7,8.7,8.7,29,0
DEG,5,20210205,100000,8.8,8.8,8.8,8.8,21,0
DEG,5,20210205,101000,8.6,8.6,8.521,8.521,1025,0
DEG,5,20210205,102500,8.599,8.599,8.599,8.599,115,0
DEG,5,20210205,103000,8.53,8.599,8.52,8.599,326,0
DEG,5,20210205,104000,8.52,8.52,8.511,8.511,405,0
DEG,5,20210205,104500,8.5,8.5,8.5,8.5,388,0
DEG,5,20210205,105000,8.5,8.5,8.5,8.5,110,0
DEG,5,20210205,111000,8.5,8.5,8.5,8.5,110,0
DEG,5,20210205,122000,8.599,8.599,8.599,8.599,604,0
DEG,5,20210205,124500,8.6,8.6,8.6,8.6,23,0
DEG,5,20210205,125000,8.78,8.95,8.78,8.95,30,0
DEG,5,20210205,130000,8.61,8.61,8.61,8.61,15,0
DEG,5,20210205,130500,8.599,8.599,8.599,8.599,1,0
DEG,5,20210205,131000,8.45,8.45,8.45,8.45,97,0
DEG,5,20210205,132000,8.6,8.6,8.6,8.6,15,0
DEG,5,20210205,132500,8.6,8.85,8.6,8.85,15,0
DEG,5,20210205,134500,8.85,8.88,8.85,8.88,15,0
DEG,5,20210205,150500,8.7,8.7,8.7,8.7,136,0
DEG,5,20210205,153000,8.6,8.6,8.6,8.6,25,0
DEG,5,20210205,153500,8.6,8.6,8.6,8.6,180,0
DEG,5,20210205,160000,8.6,8.85,8.6,8.85,61,0
DEG,5,20210205,161500,8.62,8.62,8.62,8.62,49,0
DEG,5,20210205,163000,8.52,8.52,8.52,8.52,400,0
DEG,5,20210205,163500,8.6,8.85,8.6,8.85,33,0
DEG,5,20210208,090000,8.9,8.9,8.9,8.9,15,0
DEG,5,20210208,091500,8.61,8.61,8.451,8.451,656,0
DEG,5,20210208,092000,8.6,8.7,8.6,8.7,15,0
DEG,5,20210208,092500,8.47,8.47,8.47,8.47,685,0
DEG,5,20210208,093500,8.5,8.5,8.5,8.5,32,0
DEG,5,20210208,094500,8.6,8.699,8.6,8.699,15,0
DEG,5,20210208,100500,8.5,8.5,8.5,8.5,50,0
DEG,5,20210208,112000,8.6,8.6,8.6,8.6,100,0
DEG,5,20210208,113000,8.6,8.6,8.6,8.6,50,0
DEG,5,20210208,115000,8.6,8.6,8.6,8.6,50,0
DEG,5,20210208,120000,8.6,8.6,8.6,8.6,155,0
DEG,5,20210208,120500,8.6,8.6,8.6,8.6,25,0
DEG,5,20210208,121000,8.5,8.5,8.5,8.5,323,0
DEG,5,20210208,121500,8.698,8.698,8.698,8.698,100,0
DEG,5,20210208,124000,8.65,8.65,8.65,8.65,500,0
DEG,5,20210208,125500,8.5,8.5,8.47,8.47,1284,0
DEG,5,20210208,134000,8.47,8.47,8.47,8.47,100,0
DEG,5,20210208,152500,8.5,8.5,8.5,8.5,120,0
DEG,5,20210208,153500,8.59,8.59,8.59,8.59,117,0
DEG,5,20210208,154000,8.59,8.59,8.59,8.59,220,0
DEG,5,20210208,154500,8.59,8.59,8.59,8.59,160,0
DEG,5,20210208,155500,8.59,8.59,8.59,8.59,280,0
DEG,5,20210208,161500,8.59,8.59,8.59,8.59,120,0
DEG,5,20210208,164500,8.6,8.69,8.48,8.69,540,0
DEG,5,20210209,090000,8.46,8.46,8.452,8.452,157,0
DEG,5,20210209,090500,8.7,8.7,8.7,8.7,15,0
DEG,5,20210209,094500,8.5,8.5,8.5,8.5,200,0
DEG,5,20210209,100000,8.452,8.452,8.45,8.45,77,0
DEG,5,20210209,101000,8.45,8.5,8.45,8.5,375,0
DEG,5,20210209,101500,8.5,8.5,8.5,8.5,230,0
DEG,5,20210209,102500,8.54,8.54,8.54,8.54,40,0
DEG,5,20210209,110500,8.536,8.536,8.536,8.536,14,0
DEG,5,20210209,115500,8.5,8.6,8.5,8.6,794,0
DEG,5,20210209,120500,8.6,8.6,8.6,8.6,533,0
DEG,5,20210209,121000,8.68,8.68,8.68,8.68,15,0
DEG,5,20210209,122500,8.6,8.6,8.6,8.6,444,0
DEG,5,20210209,123000,8.6,8.6,8.6,8.6,229,0
DEG,5,20210209,131000,8.46,8.46,8.4,8.4,1000,0
DEG,5,20210209,131500,8.4,8.4,8.4,8.4,922,0
DEG,5,20210209,133500,8.4,8.4,8.4,8.4,78,0
DEG,5,20210209,134500,8.331,8.331,8.331,8.331,150,0
DEG,5,20210209,140000,8.4,8.4,8.4,8.4,60,0
DEG,5,20210209,141000,8.5,8.5,8.5,8.5,200,0
DEG,5,20210209,145500,8.5,8.65,8.401,8.401,65,0
