<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKR,5,20210204,105000,7.75,7.75,7.75,7.75,3,0
DKR,5,20210204,112500,7.75,7.75,7.75,7.75,20,0
DKR,5,20210204,114000,7.75,7.9,7.75,7.9,233,0
DKR,5,20210204,143500,7.7,7.7,7.7,7.7,68,0
DKR,5,20210205,094000,7.7,7.85,7.7,7.85,317,0
DKR,5,20210205,095000,7.9,7.9,7.9,7.9,20,0
DKR,5,20210205,101500,7.9,7.9,7.9,7.9,100,0
DKR,5,20210205,113500,7.9,7.9,7.9,7.9,70,0
DKR,5,20210205,133500,7.9,7.9,7.9,7.9,200,0
DKR,5,20210205,164500,7.9,7.9,7.9,7.9,200,0
DKR,5,20210208,151000,7.75,7.75,7.75,7.75,200,0
DKR,5,20210209,090000,8,8,8,8,100,0
DKR,5,20210209,090500,8,8,8,8,216,0
DKR,5,20210209,104500,7.8,7.8,7.8,7.8,20,0
DKR,5,20210209,105000,7.75,7.75,7.7,7.7,389,0
DKR,5,20210209,122500,7.7,7.7,7.7,7.7,331,0
DKR,5,20210209,123500,7.7,7.7,7.7,7.7,369,0
DKR,5,20210210,101000,7.7,7.7,7.7,7.7,5,0
DKR,5,20210211,093000,7.7,7.7,7.7,7.7,2,0
DKR,5,20210211,105500,7.7,7.7,7.7,7.7,3,0
DKR,5,20210211,115000,7.9,7.9,7.9,7.9,150,0
DKR,5,20210211,121000,7.85,7.9,7.85,7.9,48,0
DKR,5,20210211,144000,7.9,7.9,7.9,7.9,22,0
DKR,5,20210212,102000,7.9,7.9,7.9,7.9,252,0
DKR,5,20210212,103500,7.9,8,7.9,8,200,0
DKR,5,20210212,112000,7.75,7.75,7.75,7.75,100,0
DKR,5,20210212,112500,8,8,8,8,900,0
DKR,5,20210212,115500,8,8,8,8,158,0
DKR,5,20210212,122500,8,8,8,8,1,0
DKR,5,20210212,130000,8,8,8,8,77,0
DKR,5,20210212,132000,8.05,8.05,8.05,8.05,23,0
DKR,5,20210212,153000,8,8,8,8,200,0
DKR,5,20210215,092500,7.95,7.95,7.95,7.95,123,0
DKR,5,20210215,093000,7.95,7.95,7.9,7.9,359,0
DKR,5,20210215,104000,8,8.05,8,8.05,600,0
DKR,5,20210215,105500,8.05,8.05,8.05,8.05,10,0
DKR,5,20210215,122500,8,8,8,8,98,0
DKR,5,20210215,152500,8,8,8,8,2,0
DKR,5,20210216,090000,8.05,8.05,8.05,8.05,151,0
DKR,5,20210216,110500,8,8,8,8,20,0
DKR,5,20210216,115500,8,8,8,8,5,0
DKR,5,20210216,144500,7.9,7.9,7.75,7.75,1775,0
DKR,5,20210216,153000,7.9,7.9,7.9,7.9,100,0
DKR,5,20210217,091500,7.9,7.9,7.85,7.85,324,0
DKR,5,20210217,125000,7.9,7.9,7.9,7.9,50,0
DKR,5,20210217,144000,7.9,7.9,7.9,7.9,115,0
DKR,5,20210217,163000,7.9,7.9,7.9,7.9,175,0
DKR,5,20210219,110000,7.9,7.9,7.7,7.7,1937,0
DKR,5,20210219,114000,7.7,7.7,7.7,7.7,182,0
DKR,5,20210219,124000,7.95,7.95,7.95,7.95,5,0
DKR,5,20210219,133500,7.9,7.9,7.9,7.9,15,0
DKR,5,20210222,090000,7.8,7.8,7.8,7.8,470,0
DKR,5,20210222,112000,7.8,7.8,7.8,7.8,150,0
DKR,5,20210222,131500,7.85,7.85,7.85,7.85,28,0
DKR,5,20210223,113500,7.8,7.8,7.8,7.8,252,0
DKR,5,20210223,135000,7.85,7.9,7.85,7.9,652,0
DKR,5,20210223,135500,7.95,7.95,7.95,7.95,298,0
DKR,5,20210223,141000,7.95,8,7.95,8,400,0
DKR,5,20210223,163500,8,8,8,8,87,0
DKR,5,20210224,090000,8,8,8,8,150,0
DKR,5,20210224,100500,8,8,8,8,150,0
DKR,5,20210224,101000,8,8,8,8,120,0
DKR,5,20210224,115000,7.95,8.05,7.95,8.05,430,0
DKR,5,20210224,131500,8.1,8.1,8.1,8.1,50,0
DKR,5,20210225,115000,8.15,8.15,8.15,8.15,200,0
DKR,5,20210225,120000,8.15,8.15,8.15,8.15,94,0
DKR,5,20210225,121500,8.1,8.1,8.1,8.1,200,0
DKR,5,20210225,124000,8.15,8.15,8.15,8.15,100,0
DKR,5,20210225,152500,8.15,8.15,8.15,8.15,50,0
DKR,5,20210226,120000,8.1,8.2,8.1,8.2,400,0
DKR,5,20210226,145500,8.05,8.05,8.05,8.05,50,0
DKR,5,20210226,154000,8,8,8,8,17,0
DKR,5,20210301,101000,8.05,8.05,8.05,8.05,120,0
DKR,5,20210301,101500,8.15,8.15,8.15,8.15,20,0
DKR,5,20210301,155000,8.05,8.05,8,8,245,0
DKR,5,20210302,113000,8.15,8.2,8.15,8.2,580,0
DKR,5,20210302,121500,8.05,8.05,8.05,8.05,400,0
DKR,5,20210302,144000,8.05,8.05,8,8,220,0
DKR,5,20210302,163500,8.05,8.05,8.05,8.05,100,0
DKR,5,20210303,092000,8.1,8.15,8.1,8.15,181,0
DKR,5,20210303,121500,8.1,8.1,8.1,8.1,10,0
DKR,5,20210304,103000,8.1,8.1,8.1,8.1,2,0
DKR,5,20210304,114000,7.95,7.95,7.95,7.95,70,0
DKR,5,20210305,103500,8,8,8,8,5,0
DKR,5,20210305,132500,7.95,7.95,7.95,7.95,200,0
DKR,5,20210305,152500,7.95,7.95,7.95,7.95,115,0
DKR,5,20210308,102000,7.95,7.95,7.95,7.95,10,0
DKR,5,20210308,103500,8,8,8,8,2,0
DKR,5,20210308,153000,8,8,8,8,126,0
DKR,5,20210309,103000,8,8,8,8,2,0
DKR,5,20210309,134500,8.1,8.1,8.1,8.1,10,0
DKR,5,20210309,161500,8.1,8.1,8.1,8.1,168,0
DKR,5,20210310,092500,8.1,8.1,8.1,8.1,150,0
DKR,5,20210310,102500,8.1,8.1,8.1,8.1,30,0
DKR,5,20210310,111500,8.15,8.2,8.15,8.2,876,0
DKR,5,20210310,120000,8.25,8.25,8.25,8.25,499,0
DKR,5,20210310,122000,8.25,8.25,8.25,8.25,196,0
DKR,5,20210310,142500,8.35,8.35,8.35,8.35,140,0
DKR,5,20210310,144500,8.35,8.4,8.35,8.4,50,0
DKR,5,20210311,151500,8.35,8.35,8.35,8.35,20,0
DKR,5,20210312,092500,8.4,8.4,8.4,8.4,65,0
DKR,5,20210312,105000,8.4,8.4,8.4,8.4,50,0
DKR,5,20210312,105500,8.4,8.45,8.4,8.45,828,0
DKR,5,20210312,112000,8.45,8.5,8.45,8.5,105,0
DKR,5,20210312,123500,8.75,8.8,8.75,8.8,350,0
DKR,5,20210312,124000,8.75,8.75,8.75,8.75,500,0
DKR,5,20210312,130000,8.75,8.75,8.75,8.75,12,0
DKR,5,20210312,134000,8.75,8.75,8.75,8.75,23,0
DKR,5,20210312,142500,8.8,8.85,8.8,8.85,1256,0
DKR,5,20210312,144000,8.85,8.85,8.85,8.85,265,0
DKR,5,20210312,150000,8.85,8.85,8.85,8.85,423,0
DKR,5,20210312,161000,8.9,8.9,8.9,8.9,90,0
DKR,5,20210315,090000,9.2,9.2,9.2,9.2,353,0
DKR,5,20210315,091000,9.4,9.4,9.3,9.3,550,0
DKR,5,20210315,091500,9.45,9.45,9.45,9.45,197,0
DKR,5,20210315,092500,9.45,9.6,9.45,9.6,700,0
DKR,5,20210315,093000,9.85,9.9,9.85,9.9,175,0
DKR,5,20210315,093500,9.9,9.9,9.9,9.9,50,0
