<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLK,5,20210204,135000,7.95,9,7.95,9,160,0
DLK,5,20210204,141000,11.4,11.4,11.4,11.4,615,0
DLK,5,20210204,152500,11.4,11.4,11.4,11.4,35,0
DLK,5,20210204,153000,11.4,11.4,11.4,11.4,23,0
DLK,5,20210205,090000,12,12,12,12,140,0
DLK,5,20210205,093000,14.9,14.9,14.9,14.9,143,0
DLK,5,20210205,093500,14.9,15,14.9,15,90,0
DLK,5,20210205,094000,14,14,14,14,110,0
DLK,5,20210205,094500,14,14,14,14,33,0
DLK,5,20210205,095000,17,17,17,17,10,0
DLK,5,20210205,095500,17,17,16.9,17,85,0
DLK,5,20210205,100000,17,17,17,17,20,0
DLK,5,20210205,100500,17,17,17,17,2,0
DLK,5,20210208,103000,20.4,24,20.4,24,207,0
DLK,5,20210208,103500,24,24,24,24,25,0
DLK,5,20210208,104000,23.8,24.4,23.8,24.4,156,0
DLK,5,20210208,104500,24.4,24.4,24.4,24.4,66,0
DLK,5,20210208,105500,24.4,24.4,24.4,24.4,32,0
DLK,5,20210208,110000,24.4,24.4,24.4,24.4,45,0
DLK,5,20210208,115500,24.4,24.4,24.4,24.4,150,0
DLK,5,20210208,120500,24.4,24.4,24.4,24.4,50,0
DLK,5,20210208,121000,24.4,24.4,24.4,24.4,50,0
DLK,5,20210208,121500,24.4,24.4,24.4,24.4,45,0
DLK,5,20210208,122000,24.4,24.4,24.4,24.4,55,0
DLK,5,20210208,132000,24,24,24,24,227,0
DLK,5,20210208,132500,23,23,23,23,96,0
DLK,5,20210208,133000,24,24,24,24,20,0
DLK,5,20210208,133500,23,23,23,23,10,0
DLK,5,20210208,134000,23,23,23,23,10,0
DLK,5,20210208,140500,23.4,23.6,23.4,23.6,30,0
DLK,5,20210208,141000,23.6,23.6,23.6,23.6,30,0
DLK,5,20210208,141500,23.6,23.6,23.6,23.6,90,0
DLK,5,20210208,143000,23.4,23.4,23,23,35,0
DLK,5,20210208,143500,24.4,24.4,24.4,24.4,100,0
DLK,5,20210208,152000,24.4,24.4,24.4,24.4,5,0
DLK,5,20210208,152500,24.4,24.4,24.4,24.4,1,0
DLK,5,20210208,153000,24.4,24.4,24.4,24.4,20,0
DLK,5,20210208,154500,24.4,24.4,24.4,24.4,40,0
DLK,5,20210208,163000,24.4,24.4,24.4,24.4,234,0
DLK,5,20210209,090000,25,25,24.8,24.8,47,0
DLK,5,20210209,091500,24.4,24.4,24.4,24.4,115,0
DLK,5,20210209,093000,20.2,20.2,20.2,20.2,10,0
DLK,5,20210209,093500,20,20,20,20,10,0
DLK,5,20210209,100500,17.1,17.1,17.1,17.1,117,0
DLK,5,20210209,101000,17.1,17.1,17,17,36,0
DLK,5,20210209,102500,19.8,19.8,19.8,19.8,1,0
DLK,5,20210209,103000,21,21,21,21,15,0
DLK,5,20210209,105500,21.8,21.8,21.8,21.8,5,0
DLK,5,20210209,144500,21.4,21.4,21.4,21.4,100,0
DLK,5,20210209,154000,21.2,21.2,21.2,21.2,7,0
DLK,5,20210209,161500,18,18,17.8,17.8,50,0
DLK,5,20210209,162000,21,21,21,21,5,0
DLK,5,20210210,090500,19,19,19,19,110,0
DLK,5,20210210,091000,18,18,18,18,74,0
DLK,5,20210210,103000,18.3,18.3,17.9,17.9,114,0
DLK,5,20210210,105500,19,19.1,19,19.1,11,0
DLK,5,20210210,155000,18,18,18,18,50,0
DLK,5,20210211,091000,18.9,19,18.9,19,10,0
DLK,5,20210211,095500,18.5,19,18.5,19,124,0
DLK,5,20210211,101500,19.1,19.1,19.1,19.1,80,0
DLK,5,20210211,103000,19.1,19.1,19.1,19.1,45,0
DLK,5,20210211,110000,20.4,20.4,20.4,20.4,2,0
DLK,5,20210211,114000,20.4,20.4,20.4,20.4,10,0
DLK,5,20210211,115000,16.8,20.4,16.7,20.4,152,0
DLK,5,20210211,122000,18,18,18,18,10,0
DLK,5,20210211,132500,19.9,20.4,19.9,20.4,24,0
DLK,5,20210211,154000,17,17,16.7,16.7,30,0
DLK,5,20210211,163000,17,17,17,17,17,0
DLK,5,20210211,164500,19.8,19.8,19.8,19.8,1,0
DLK,5,20210212,115500,18,18,18,18,10,0
DLK,5,20210212,123500,17,17,17,17,60,0
DLK,5,20210212,125000,17,17,17,17,10,0
DLK,5,20210212,130000,17,17,17,17,10,0
DLK,5,20210212,164500,21,21.4,18,21.4,45,0
DLK,5,20210215,090000,21.4,21.4,21.4,21.4,3,0
DLK,5,20210215,105500,20.6,20.6,20.6,20.6,10,0
DLK,5,20210215,111000,19,19,17.2,17.2,64,0
DLK,5,20210215,111500,17.2,17.2,17.2,17.2,43,0
DLK,5,20210215,114500,18.3,18.3,18.3,18.3,5,0
DLK,5,20210215,130500,18.3,18.3,18.3,18.3,19,0
DLK,5,20210215,131000,18.3,18.3,18.3,18.3,36,0
DLK,5,20210215,164500,19,19.2,19,19.2,12,0
DLK,5,20210216,094500,18.1,18.1,18.1,18.1,3,0
DLK,5,20210216,101500,18.1,18.1,18.1,18.1,2,0
DLK,5,20210216,102500,17.5,17.5,17.5,17.5,30,0
DLK,5,20210216,103500,17.4,17.4,17,17,50,0
DLK,5,20210216,104000,17.5,17.5,17.5,17.5,10,0
DLK,5,20210216,112000,17.5,17.5,17,17,60,0
DLK,5,20210216,112500,17,17,17,17,40,0
DLK,5,20210217,093500,17.3,17.3,17.3,17.3,20,0
DLK,5,20210218,090500,16.6,16.6,16.5,16.5,50,0
DLK,5,20210218,091500,16.5,16.5,16.5,16.5,6,0
DLK,5,20210218,101000,16.6,16.6,16.6,16.6,30,0
DLK,5,20210218,154500,16.1,16.1,15.6,15.6,181,0
DLK,5,20210218,155000,16.3,16.3,16.3,16.3,3,0
DLK,5,20210218,164000,16.2,16.2,16.2,16.2,40,0
DLK,5,20210219,164500,16.5,16.5,16.5,16.5,2,0
DLK,5,20210222,090000,16.5,16.5,16.5,16.5,20,0
DLK,5,20210222,091500,15.7,15.7,15.7,15.7,65,0
DLK,5,20210222,101500,15,15,14.1,14.1,215,0
DLK,5,20210222,102500,15,15.1,15,15,72,0
DLK,5,20210222,104500,15,15,15,15,53,0
DLK,5,20210222,122000,15.2,15.2,15.1,15.1,98,0
DLK,5,20210222,123000,15.1,15.1,15.1,15.1,2,0
DLK,5,20210222,131500,15.1,15.1,15.1,15.1,28,0
DLK,5,20210222,141500,15.1,15.8,15.1,15.8,20,0
DLK,5,20210223,132500,15.1,15.1,15.1,15.1,70,0
DLK,5,20210223,162000,14.6,14.6,14.5,14.5,115,0
DLK,5,20210224,102000,15,15,15,15,2,0
DLK,5,20210225,092000,14.4,14.4,14.4,14.4,20,0
DLK,5,20210225,093000,14.3,14.3,14.3,14.3,69,0
DLK,5,20210225,094000,14.3,14.3,14.3,14.3,20,0
DLK,5,20210225,150000,13.5,14.1,13.5,14.1,86,0
DLK,5,20210226,120500,13.4,13.4,13,13,129,0
DLK,5,20210301,101500,13,13,13,13,1,0
DLK,5,20210302,092000,13.6,13.6,13.6,13.6,27,0
DLK,5,20210302,105000,12.7,12.7,12.7,12.7,13,0
DLK,5,20210302,134500,12.7,13.6,12.7,13.6,102,0
DLK,5,20210302,144000,12.7,12.7,12.7,12.7,20,0
DLK,5,20210304,103000,12.7,12.7,12.7,12.7,1,0
DLK,5,20210305,104000,12.7,12.7,12.7,12.7,1,0
DLK,5,20210305,142500,12.4,12.4,12.3,12.3,60,0
DLK,5,20210305,143000,12.2,12.2,12.2,12.2,56,0
DLK,5,20210308,141500,11.5,11.5,11.5,11.5,32,0
DLK,5,20210308,145500,11.4,11.4,11.4,11.4,58,0
DLK,5,20210308,150000,11,11,11,11,10,0
DLK,5,20210308,151500,10.6,10.6,10.2,10.2,175,0
DLK,5,20210308,152000,10.2,10.2,10.2,10.2,1,0
DLK,5,20210308,153000,9.6,9.6,9.5,9.5,105,0
DLK,5,20210308,161500,10.9,10.9,10.9,10.9,30,0
DLK,5,20210308,162000,10.9,11,10.9,11,115,0
DLK,5,20210308,162500,11,11,11,11,5,0
DLK,5,20210308,164500,10.8,10.8,10.8,10.8,40,0
DLK,5,20210309,090000,10.8,10.8,10.8,10.8,2,0
DLK,5,20210309,092500,10.8,12,10.8,12,130,0
DLK,5,20210309,093000,12,12.9,12,12,185,0
DLK,5,20210309,095000,12.6,12.6,12.6,12.6,10,0
DLK,5,20210309,103500,11.4,11.4,11.4,11.4,45,0
DLK,5,20210309,104500,11.9,12,11.9,12,100,0
DLK,5,20210309,120500,11.9,11.9,11.9,11.9,10,0
DLK,5,20210310,090000,11,11,11,11,70,0
DLK,5,20210310,093500,11,11,11,11,25,0
DLK,5,20210310,095500,11,11,11,11,14,0
DLK,5,20210310,101000,11,11,11,11,10,0
DLK,5,20210311,163000,11,11,11,11,50,0
DLK,5,20210312,145500,11,11,11,11,60,0
DLK,5,20210316,160000,11,11,11,11,2,0
DLK,5,20210317,092500,10.4,10.4,10.4,10.4,4,0
DLK,5,20210318,163500,10.5,10.5,10.3,10.3,100,0
