<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNS,5,20210204,153000,0.59,0.59,0.59,0.59,1000,0
DNS,5,20210205,141500,0.58,0.58,0.58,0.58,2500,0
DNS,5,20210205,142000,0.575,0.575,0.575,0.575,500,0
DNS,5,20210205,152500,0.58,0.58,0.58,0.58,500,0
DNS,5,20210208,100000,0.575,0.575,0.545,0.545,6000,0
DNS,5,20210208,101500,0.57,0.57,0.57,0.57,2000,0
DNS,5,20210208,110000,0.585,0.585,0.585,0.585,1500,0
DNS,5,20210208,115500,0.585,0.59,0.585,0.59,2000,0
DNS,5,20210208,134500,0.57,0.57,0.57,0.57,10952,0
DNS,5,20210208,140000,0.57,0.57,0.57,0.57,2457,0
DNS,5,20210208,140500,0.57,0.57,0.555,0.555,1354,0
DNS,5,20210208,161500,0.57,0.6,0.57,0.6,2000,0
DNS,5,20210209,095000,0.59,0.59,0.59,0.59,2400,0
DNS,5,20210209,164500,0.575,0.575,0.575,0.575,96,0
DNS,5,20210210,090000,0.6,0.6,0.6,0.6,1000,0
DNS,5,20210210,105000,0.595,0.61,0.595,0.61,6905,0
DNS,5,20210210,111000,0.615,0.635,0.615,0.635,4364,0
DNS,5,20210210,111500,0.65,0.65,0.65,0.65,2,0
DNS,5,20210210,112500,0.605,0.605,0.605,0.605,18800,0
DNS,5,20210210,113500,0.645,0.645,0.645,0.645,1000,0
DNS,5,20210210,114000,0.605,0.605,0.605,0.605,100,0
DNS,5,20210210,152500,0.605,0.605,0.605,0.605,4000,0
DNS,5,20210211,092500,0.61,0.61,0.61,0.61,1500,0
DNS,5,20210211,121000,0.635,0.635,0.635,0.635,100,0
DNS,5,20210211,131000,0.63,0.63,0.63,0.63,1000,0
DNS,5,20210211,141000,0.605,0.605,0.605,0.605,5900,0
DNS,5,20210211,142000,0.63,0.635,0.63,0.635,4499,0
DNS,5,20210212,094500,0.645,0.65,0.645,0.65,1000,0
DNS,5,20210212,100500,0.65,0.66,0.65,0.66,11047,0
DNS,5,20210212,101500,0.66,0.66,0.66,0.66,3193,0
DNS,5,20210212,102000,0.65,0.65,0.63,0.63,194,0
DNS,5,20210212,102500,0.67,0.68,0.67,0.68,12000,0
DNS,5,20210212,113000,0.65,0.65,0.65,0.65,4000,0
DNS,5,20210212,115500,0.65,0.65,0.65,0.65,1000,0
DNS,5,20210212,120000,0.65,0.65,0.65,0.65,2590,0
DNS,5,20210212,124000,0.65,0.65,0.65,0.65,1400,0
DNS,5,20210212,132000,0.66,0.675,0.65,0.65,6025,0
DNS,5,20210212,164500,0.68,0.68,0.68,0.68,10,0
DNS,5,20210215,130500,0.68,0.69,0.68,0.69,8000,0
DNS,5,20210215,164500,0.65,0.65,0.65,0.65,17,0
DNS,5,20210216,132500,0.66,0.67,0.66,0.67,2000,0
DNS,5,20210216,152000,0.67,0.67,0.67,0.67,1000,0
DNS,5,20210216,164500,0.635,0.635,0.635,0.635,10,0
DNS,5,20210217,114000,0.635,0.635,0.61,0.61,10000,0
DNS,5,20210217,120000,0.615,0.615,0.61,0.61,3016,0
DNS,5,20210217,141500,0.615,0.615,0.615,0.615,1745,0
DNS,5,20210217,164500,0.645,0.645,0.645,0.645,10,0
DNS,5,20210218,105000,0.66,0.66,0.66,0.66,10,0
DNS,5,20210218,163500,0.615,0.615,0.615,0.615,484,0
DNS,5,20210218,164500,0.66,0.66,0.66,0.66,10,0
DNS,5,20210219,142500,0.615,0.615,0.615,0.615,805,0
DNS,5,20210219,160500,0.655,0.655,0.655,0.655,2129,0
DNS,5,20210222,090000,0.615,0.615,0.615,0.615,650,0
DNS,5,20210223,102000,0.615,0.615,0.615,0.615,7000,0
DNS,5,20210223,153500,0.615,0.615,0.615,0.615,2000,0
DNS,5,20210223,164500,0.64,0.64,0.64,0.64,10,0
DNS,5,20210224,093500,0.635,0.64,0.635,0.64,5961,0
DNS,5,20210224,094000,0.665,0.67,0.665,0.67,9940,0
DNS,5,20210224,101000,0.67,0.67,0.67,0.67,160,0
DNS,5,20210224,134500,0.625,0.625,0.625,0.625,100,0
DNS,5,20210225,092500,0.68,0.68,0.68,0.68,10,0
DNS,5,20210225,125500,0.63,0.63,0.63,0.63,100,0
DNS,5,20210225,164500,0.68,0.68,0.68,0.68,10,0
DNS,5,20210226,090000,0.68,0.68,0.68,0.68,100,0
DNS,5,20210226,111500,0.635,0.635,0.635,0.635,1500,0
DNS,5,20210226,112500,0.63,0.63,0.625,0.625,1401,0
DNS,5,20210226,113500,0.625,0.625,0.625,0.625,1699,0
DNS,5,20210226,114500,0.625,0.625,0.625,0.625,301,0
DNS,5,20210226,130500,0.68,0.68,0.68,0.68,200,0
DNS,5,20210301,135500,0.63,0.63,0.63,0.63,260,0
DNS,5,20210301,155500,0.67,0.67,0.67,0.67,100,0
DNS,5,20210301,163000,0.63,0.63,0.63,0.63,900,0
DNS,5,20210301,164500,0.63,0.63,0.63,0.63,350,0
DNS,5,20210302,102000,0.66,0.68,0.66,0.66,4510,0
DNS,5,20210302,103000,0.68,0.68,0.68,0.68,7666,0
DNS,5,20210302,143500,0.68,0.68,0.68,0.68,523,0
DNS,5,20210302,161000,0.68,0.685,0.68,0.685,899,0
DNS,5,20210302,162500,0.685,0.69,0.685,0.69,1814,0
DNS,5,20210303,093500,0.69,0.73,0.665,0.665,30001,0
DNS,5,20210303,100000,0.72,0.72,0.72,0.72,2400,0
DNS,5,20210303,104000,0.67,0.67,0.67,0.67,5587,0
DNS,5,20210303,120500,0.71,0.71,0.71,0.71,10,0
DNS,5,20210303,124500,0.685,0.685,0.685,0.685,3000,0
DNS,5,20210303,141500,0.68,0.685,0.68,0.685,2800,0
DNS,5,20210303,155500,0.685,0.705,0.685,0.705,3200,0
DNS,5,20210303,160000,0.715,0.715,0.715,0.715,3600,0
DNS,5,20210303,160500,0.715,0.715,0.715,0.715,1550,0
DNS,5,20210303,164500,0.7,0.7,0.7,0.7,10,0
DNS,5,20210304,090000,0.7,0.7,0.7,0.7,2199,0
DNS,5,20210304,090500,0.7,0.7,0.7,0.7,3000,0
DNS,5,20210304,091000,0.69,0.69,0.69,0.69,10000,0
DNS,5,20210304,093000,0.72,0.72,0.72,0.72,10,0
DNS,5,20210304,100000,0.69,0.69,0.69,0.69,990,0
DNS,5,20210304,103500,0.69,0.72,0.66,0.72,22001,0
DNS,5,20210304,105000,0.66,0.66,0.66,0.66,8800,0
DNS,5,20210304,110000,0.66,0.66,0.66,0.66,5000,0
DNS,5,20210304,110500,0.66,0.66,0.66,0.66,4340,0
DNS,5,20210304,114000,0.68,0.68,0.68,0.68,1000,0
