<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOK,5,20210204,101000,5.5,5.5,5.5,5.5,5,0
DOK,5,20210204,111000,5.5,5.65,5.5,5.65,280,0
DOK,5,20210204,113500,5.7,5.7,5.7,5.7,444,0
DOK,5,20210205,134500,5.7,5.85,5.7,5.85,164,0
DOK,5,20210208,092500,5.9,5.9,5.9,5.9,10,0
DOK,5,20210208,112500,6,6,5.9,5.9,1000,0
DOK,5,20210208,114500,6.1,6.85,6.1,6.85,2398,0
DOK,5,20210208,121500,6.7,6.85,6.7,6.85,270,0
DOK,5,20210208,123000,6.85,6.85,6.85,6.85,30,0
DOK,5,20210208,135000,6.85,6.85,6.85,6.85,20,0
DOK,5,20210209,090000,6.75,6.75,6.75,6.75,15,0
DOK,5,20210210,093000,6.7,6.75,6.7,6.75,136,0
DOK,5,20210210,120500,6.7,6.7,6.5,6.5,239,0
DOK,5,20210211,090000,6.5,6.5,6.5,6.5,150,0
DOK,5,20210211,093500,6.5,6.5,6.5,6.5,4170,0
DOK,5,20210211,102500,6.5,6.5,6.5,6.5,20,0
DOK,5,20210212,104000,6.5,6.6,6.5,6.6,500,0
DOK,5,20210212,142500,6.5,6.5,6.35,6.35,165,0
DOK,5,20210215,101500,6.3,6.3,6.3,6.3,200,0
DOK,5,20210215,103000,6.3,6.3,6.3,6.3,10,0
DOK,5,20210215,152500,6.2,6.2,6.2,6.2,200,0
DOK,5,20210216,132500,6.35,6.35,6.35,6.35,5,0
DOK,5,20210216,133000,6.1,6.1,6,6,190,0
DOK,5,20210217,120500,5.8,5.8,5.65,5.65,185,0
DOK,5,20210217,161000,5.65,5.65,5.65,5.65,40,0
DOK,5,20210218,152000,5.7,5.7,5.7,5.7,200,0
DOK,5,20210218,164500,5.6,5.6,5.6,5.6,210,0
DOK,5,20210219,101500,5.35,5.35,5.35,5.35,200,0
DOK,5,20210219,124000,5.35,5.35,5.35,5.35,45,0
DOK,5,20210225,103000,5.4,5.4,5.4,5.4,5,0
DOK,5,20210226,090000,5.4,5.4,5.4,5.4,295,0
DOK,5,20210226,093000,5.35,5.35,5.3,5.3,190,0
DOK,5,20210226,104000,5.4,5.4,5.4,5.4,10,0
DOK,5,20210301,164500,5.4,5.4,5.4,5.4,2,0
DOK,5,20210303,092500,5.45,5.5,5.45,5.5,190,0
DOK,5,20210303,095500,5.5,5.5,5.5,5.5,35,0
DOK,5,20210303,110000,5.5,5.5,5.5,5.5,25,0
DOK,5,20210308,111000,5.5,5.5,5.5,5.5,5,0
DOK,5,20210308,142000,5.5,5.8,5.5,5.8,731,0
DOK,5,20210308,163500,5.8,5.85,5.8,5.85,264,0
DOK,5,20210309,091500,5.65,5.65,5.45,5.45,100,0
DOK,5,20210310,113500,5.45,5.45,5.45,5.45,5,0
DOK,5,20210311,103000,5.45,5.45,5.45,5.45,10,0
DOK,5,20210312,110000,5.45,5.45,5.45,5.45,5,0
DOK,5,20210315,094500,5.55,5.6,5.55,5.6,15,0
DOK,5,20210315,095000,5.85,6.05,5.85,6.05,835,0
DOK,5,20210315,151500,5.95,5.95,5.95,5.95,200,0
DOK,5,20210316,122500,6.05,6.05,6.05,6.05,5,0
DOK,5,20210317,100000,6.05,6.05,6.05,6.05,5,0
DOK,5,20210318,101500,6.05,6.05,6.05,6.05,2,0
DOK,5,20210318,111500,6,6.1,6,6.1,500,0
DOK,5,20210318,123000,6.1,6.1,6.1,6.1,10,0
DOK,5,20210318,151500,6.1,7.25,6.1,7.15,1975,0
