<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRG,5,20210204,122000,4.311,4.311,4.3,4.3,1400,0
DRG,5,20210204,131000,4.44,4.45,4.44,4.45,947,0
DRG,5,20210204,135000,4.45,4.45,4.45,4.45,123,0
DRG,5,20210205,121500,4.549,4.549,4.549,4.549,50,0
DRG,5,20210205,160500,4.33,4.33,4.33,4.33,1100,0
DRG,5,20210205,161000,4.549,4.549,4.549,4.549,41,0
DRG,5,20210208,134000,4.33,4.33,4.321,4.321,1000,0
DRG,5,20210208,155000,4.401,4.401,4.401,4.401,50,0
DRG,5,20210208,155500,4.4,4.4,4.3,4.3,2650,0
DRG,5,20210208,164000,4.35,4.35,4.35,4.35,250,0
DRG,5,20210208,164500,4.34,4.34,4.34,4.34,50,0
DRG,5,20210209,094000,4.5195,4.5195,4.5195,4.5195,10,0
DRG,5,20210209,103000,4.516,4.516,4.516,4.516,10,0
DRG,5,20210209,123500,4.31,4.31,4.31,4.31,271,0
DRG,5,20210209,132500,4.32,4.32,4.31,4.31,216,0
DRG,5,20210209,141000,4.455,4.455,4.455,4.455,200,0
DRG,5,20210210,131500,4.28,4.28,4.28,4.28,311,0
DRG,5,20210210,135000,4.261,4.261,4.21,4.21,200,0
DRG,5,20210210,135500,4.27,4.27,4.27,4.27,400,0
DRG,5,20210210,143500,4.22,4.22,4.2,4.2,500,0
DRG,5,20210210,144000,4.167,4.167,4.167,4.167,240,0
DRG,5,20210210,144500,4.42,4.439,4.42,4.439,300,0
DRG,5,20210210,162000,4.162,4.162,4.162,4.162,83,0
DRG,5,20210210,164500,4.35,4.35,4.35,4.35,333,0
DRG,5,20210211,120500,4.39,4.399,4.39,4.399,796,0
DRG,5,20210211,121000,4.4,4.4,4.4,4.4,204,0
DRG,5,20210211,160500,4.182,4.182,4.163,4.163,567,0
DRG,5,20210211,164500,4.39,4.39,4.39,4.39,10,0
DRG,5,20210212,090000,4.32,4.32,4.32,4.32,235,0
DRG,5,20210212,105500,4.2,4.2,4.2,4.2,15,0
DRG,5,20210212,112500,4.22,4.22,4.2,4.2,1000,0
DRG,5,20210212,134000,4.3,4.3,4.3,4.3,565,0
DRG,5,20210212,152500,4.23,4.23,4.22,4.22,750,0
DRG,5,20210212,154000,4.22,4.22,4.2,4.2,937,0
DRG,5,20210212,164000,4.2,4.32,4.2,4.32,21,0
DRG,5,20210212,164500,4.39,4.39,4.39,4.39,10,0
DRG,5,20210215,112000,4.38,4.38,4.38,4.38,67,0
DRG,5,20210215,121000,4.35,4.39,4.35,4.39,50,0
DRG,5,20210215,121500,4.2,4.2,4.162,4.162,1000,0
DRG,5,20210215,134000,4.1765,4.1765,4.1765,4.1765,150,0
DRG,5,20210215,144500,4.386,4.386,4.386,4.386,2,0
DRG,5,20210216,093500,4.388,4.388,4.388,4.388,2,0
DRG,5,20210216,111000,4.388,4.388,4.388,4.388,100,0
DRG,5,20210216,112500,4.172,4.172,4.162,4.162,770,0
DRG,5,20210216,122500,4.18,4.18,4.154,4.154,1000,0
DRG,5,20210216,132500,4.154,4.154,4.1505,4.1505,2470,0
DRG,5,20210216,135000,4.151,4.151,4.1,4.1,1988,0
DRG,5,20210216,135500,4.1,4.1,4.1,4.1,1866,0
DRG,5,20210216,140000,4.1,4.1,4.055,4.055,710,0
DRG,5,20210216,150500,4.25,4.25,4.25,4.25,200,0
DRG,5,20210216,154000,4.28,4.28,4.28,4.28,200,0
DRG,5,20210216,164000,4.27,4.27,4.27,4.27,100,0
DRG,5,20210216,164500,4.124,4.124,4.124,4.124,3,0
DRG,5,20210217,121000,4.22,4.22,4.22,4.22,200,0
DRG,5,20210218,091500,4.289,4.289,4.289,4.289,1,0
DRG,5,20210218,094500,4.12,4.12,4.06,4.06,1200,0
DRG,5,20210218,101500,4.25,4.25,4.25,4.25,15,0
DRG,5,20210218,143000,4.2475,4.2475,4.2475,4.2475,235,0
DRG,5,20210219,093500,4.245,4.245,4.245,4.245,70,0
DRG,5,20210219,111000,4.037,4.037,4.034,4.034,1310,0
DRG,5,20210219,134000,4.05,4.05,4.03,4.03,2500,0
DRG,5,20210219,141000,4.22,4.22,4.22,4.22,5,0
DRG,5,20210219,150500,4.219,4.219,4.219,4.219,200,0
DRG,5,20210219,164500,4.02,4.02,4.02,4.02,20,0
DRG,5,20210222,092500,4.15,4.15,4.15,4.15,100,0
DRG,5,20210222,093000,4.15,4.15,4.15,4.15,1000,0
DRG,5,20210222,100500,4.15,4.15,4.15,4.15,250,0
DRG,5,20210222,105500,4.1505,4.1505,4.15,4.15,650,0
DRG,5,20210222,160500,4.175,4.175,4.175,4.175,118,0
DRG,5,20210222,162000,4.1745,4.1745,4.15,4.15,230,0
DRG,5,20210223,090000,4.18,4.18,4.18,4.18,1100,0
DRG,5,20210223,091000,4.15,4.15,4.15,4.15,700,0
DRG,5,20210223,092000,4.15,4.15,4.15,4.15,299,0
DRG,5,20210223,092500,4.15,4.15,4.15,4.15,1610,0
