<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTX,5,20210204,115000,0.282,0.282,0.282,0.282,400,0
DTX,5,20210204,115500,0.295,0.295,0.295,0.295,111,0
DTX,5,20210205,092000,0.282,0.282,0.282,0.282,15000,0
DTX,5,20210205,094500,0.293,0.293,0.293,0.293,1,0
DTX,5,20210205,111000,0.292,0.292,0.292,0.292,40,0
DTX,5,20210205,161000,0.282,0.292,0.282,0.292,3111,0
DTX,5,20210208,113000,0.292,0.292,0.292,0.292,80,0
DTX,5,20210208,135000,0.282,0.282,0.282,0.282,1,0
DTX,5,20210208,144500,0.289,0.289,0.289,0.289,1,0
DTX,5,20210208,150000,0.282,0.282,0.281,0.281,5000,0
DTX,5,20210208,151000,0.289,0.289,0.289,0.289,11,0
DTX,5,20210209,093000,0.282,0.282,0.281,0.281,27500,0
DTX,5,20210209,094000,0.289,0.289,0.289,0.289,1111,0
DTX,5,20210209,121000,0.281,0.281,0.281,0.281,2031,0
DTX,5,20210209,121500,0.28,0.28,0.28,0.28,10001,0
DTX,5,20210209,130000,0.281,0.289,0.281,0.289,3333,0
DTX,5,20210210,093000,0.287,0.287,0.287,0.287,10,0
DTX,5,20210210,100000,0.285,0.285,0.285,0.285,4000,0
DTX,5,20210210,163000,0.284,0.284,0.284,0.284,1700,0
DTX,5,20210210,164500,0.286,0.286,0.286,0.286,5997,0
DTX,5,20210211,094000,0.289,0.289,0.289,0.289,5000,0
DTX,5,20210211,101500,0.279,0.279,0.279,0.279,1,0
DTX,5,20210211,104500,0.279,0.279,0.279,0.279,1163,0
DTX,5,20210211,105000,0.288,0.288,0.288,0.288,3000,0
DTX,5,20210211,112500,0.289,0.289,0.289,0.289,23505,0
DTX,5,20210211,113000,0.292,0.292,0.292,0.292,12400,0
DTX,5,20210211,113500,0.294,0.294,0.294,0.294,690,0
DTX,5,20210211,120000,0.294,0.3,0.294,0.3,23368,0
DTX,5,20210211,120500,0.283,0.324,0.283,0.31,64223,0
DTX,5,20210211,121000,0.32,0.324,0.32,0.323,45000,0
DTX,5,20210211,121500,0.323,0.324,0.32,0.324,24000,0
