<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUA,5,20210204,090000,8.5,8.5,8.5,8.5,2,0
DUA,5,20210204,094500,8.33,8.33,8.33,8.33,89,0
DUA,5,20210204,095500,8.45,8.45,8.45,8.45,200,0
DUA,5,20210204,100000,8.45,8.5,8.45,8.5,250,0
DUA,5,20210204,110500,8.48,8.48,8.48,8.48,275,0
DUA,5,20210204,111000,8.5,8.5,8.5,8.5,220,0
DUA,5,20210204,112000,8.48,8.48,8.48,8.48,313,0
DUA,5,20210204,113500,8.45,8.45,8.4,8.4,687,0
DUA,5,20210204,134000,8.5,8.5,8.5,8.5,70,0
DUA,5,20210204,142500,8.5,8.5,8.5,8.5,321,0
DUA,5,20210204,143500,8.5,8.5,8.5,8.5,52,0
DUA,5,20210204,144000,8.599,8.599,8.599,8.599,5,0
DUA,5,20210204,144500,8.5,8.5,8.5,8.5,127,0
DUA,5,20210204,154000,8.4,8.4,8.4,8.4,120,0
DUA,5,20210204,155500,8.4,8.4,8.4,8.4,483,0
DUA,5,20210204,164500,8.4,8.4,8.4,8.4,356,0
DUA,5,20210205,093500,8.4,8.4,8.4,8.4,170,0
DUA,5,20210205,094500,8.42,8.6,8.42,8.6,200,0
DUA,5,20210205,111000,8.5,8.5,8.5,8.5,1980,0
DUA,5,20210205,144000,8.55,8.55,8.5,8.5,210,0
DUA,5,20210205,161000,8.4,8.4,8.4,8.4,219,0
DUA,5,20210208,090000,8.48,8.48,8.48,8.48,47,0
DUA,5,20210208,090500,8.331,8.331,8.32,8.32,400,0
DUA,5,20210208,091000,8.3,8.3,8.3,8.3,220,0
DUA,5,20210208,091500,8.25,8.25,8.2,8.2,1648,0
DUA,5,20210208,092500,8.2,8.2,8.2,8.2,400,0
DUA,5,20210208,093000,8.2,8.2,8.2,8.2,1815,0
DUA,5,20210208,093500,8.2,8.29,8.2,8.29,259,0
DUA,5,20210208,094500,8.2,8.2,8.2,8.2,941,0
DUA,5,20210208,095000,8.2,8.2,8.2,8.2,304,0
DUA,5,20210208,095500,8.18,8.18,8.18,8.18,500,0
DUA,5,20210208,100000,8.17,8.17,8.15,8.15,1411,0
DUA,5,20210208,100500,8.18,8.18,8.18,8.18,620,0
DUA,5,20210208,104500,8.18,8.18,8.18,8.18,1430,0
DUA,5,20210208,105000,8.18,8.2,8.18,8.2,858,0
DUA,5,20210208,111500,8.2,8.2,8.19,8.19,270,0
DUA,5,20210208,114000,8.2,8.2,8.2,8.2,330,0
DUA,5,20210208,120500,8.21,8.21,8.21,8.21,128,0
DUA,5,20210208,121500,8.2,8.2,8.19,8.19,1300,0
DUA,5,20210208,123000,8.2,8.2,8.2,8.2,270,0
DUA,5,20210208,123500,8.19,8.19,8.18,8.18,600,0
DUA,5,20210208,124500,8.2,8.2,8.2,8.2,190,0
DUA,5,20210208,125500,8.18,8.18,8.15,8.15,120,0
DUA,5,20210208,130500,8.19,8.19,8.19,8.19,115,0
