<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBX,5,20210204,091500,0.43,0.436,0.43,0.436,11390,0
EBX,5,20210204,093000,0.436,0.436,0.436,0.436,500,0
EBX,5,20210204,133000,0.434,0.434,0.434,0.434,500,0
EBX,5,20210204,133500,0.436,0.436,0.436,0.436,10000,0
EBX,5,20210204,135500,0.436,0.436,0.436,0.436,5000,0
EBX,5,20210204,145000,0.436,0.436,0.436,0.436,2500,0
EBX,5,20210204,150000,0.436,0.44,0.436,0.44,4447,0
EBX,5,20210204,152000,0.446,0.448,0.446,0.448,900,0
EBX,5,20210204,152500,0.44,0.44,0.44,0.44,2318,0
EBX,5,20210204,164500,0.448,0.448,0.448,0.448,8,0
EBX,5,20210205,090000,0.45,0.45,0.45,0.45,5067,0
EBX,5,20210205,092000,0.44,0.44,0.438,0.438,4000,0
EBX,5,20210205,092500,0.448,0.448,0.448,0.448,30,0
EBX,5,20210208,121000,0.436,0.436,0.436,0.436,1000,0
EBX,5,20210208,164500,0.444,0.444,0.444,0.444,25,0
EBX,5,20210209,090500,0.444,0.446,0.444,0.446,500,0
EBX,5,20210209,124500,0.43,0.43,0.43,0.43,20,0
EBX,5,20210209,164500,0.442,0.442,0.442,0.442,25,0
EBX,5,20210210,090000,0.424,0.424,0.424,0.424,120,0
EBX,5,20210210,091500,0.442,0.446,0.442,0.446,500,0
EBX,5,20210210,100000,0.444,0.444,0.444,0.444,3000,0
EBX,5,20210210,114000,0.44,0.446,0.44,0.446,9345,0
EBX,5,20210210,121500,0.446,0.446,0.446,0.446,613,0
EBX,5,20210210,141500,0.446,0.446,0.446,0.446,1332,0
EBX,5,20210210,153000,0.446,0.46,0.446,0.46,7500,0
EBX,5,20210210,161500,0.46,0.46,0.46,0.46,1068,0
EBX,5,20210210,162000,0.462,0.468,0.462,0.468,1300,0
EBX,5,20210210,163500,0.456,0.456,0.456,0.456,547,0
EBX,5,20210211,090000,0.478,0.478,0.478,0.478,25,0
EBX,5,20210211,091500,0.478,0.478,0.478,0.478,20857,0
EBX,5,20210211,092000,0.478,0.48,0.478,0.48,3300,0
EBX,5,20210211,093500,0.48,0.484,0.48,0.484,693,0
EBX,5,20210211,094000,0.488,0.49,0.488,0.49,600,0
EBX,5,20210211,100500,0.488,0.49,0.488,0.49,3900,0
EBX,5,20210211,104500,0.486,0.488,0.486,0.488,2000,0
EBX,5,20210211,111000,0.488,0.49,0.488,0.49,3000,0
EBX,5,20210211,120500,0.488,0.49,0.488,0.49,3000,0
EBX,5,20210211,140000,0.488,0.488,0.488,0.488,5000,0
EBX,5,20210211,141500,0.48,0.48,0.48,0.48,53,0
EBX,5,20210211,162000,0.488,0.488,0.488,0.488,3,0
EBX,5,20210211,164500,0.47,0.488,0.47,0.488,462,0
EBX,5,20210212,091500,0.488,0.535,0.488,0.53,15913,0
EBX,5,20210212,092000,0.53,0.535,0.53,0.535,2879,0
EBX,5,20210212,092500,0.535,0.565,0.535,0.565,5745,0
EBX,5,20210212,093500,0.56,0.56,0.56,0.56,100,0
EBX,5,20210212,094000,0.54,0.54,0.53,0.54,2000,0
EBX,5,20210212,094500,0.515,0.54,0.5,0.5,20126,0
EBX,5,20210212,095000,0.53,0.565,0.5,0.565,28247,0
EBX,5,20210212,100000,0.56,0.565,0.53,0.53,17751,0
EBX,5,20210212,100500,0.55,0.55,0.55,0.55,176,0
EBX,5,20210212,101000,0.54,0.55,0.54,0.55,37000,0
EBX,5,20210212,102000,0.545,0.565,0.545,0.565,2359,0
EBX,5,20210212,103000,0.56,0.56,0.56,0.56,1967,0
EBX,5,20210212,103500,0.56,0.56,0.54,0.54,8433,0
EBX,5,20210212,104000,0.53,0.54,0.5,0.54,47270,0
EBX,5,20210212,110500,0.535,0.535,0.53,0.53,1200,0
EBX,5,20210212,112000,0.52,0.52,0.52,0.52,4000,0
EBX,5,20210212,112500,0.51,0.51,0.51,0.51,2634,0
EBX,5,20210212,120000,0.505,0.505,0.498,0.498,2634,0
EBX,5,20210212,120500,0.525,0.525,0.525,0.525,100,0
