<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EC2,5,20210204,153000,2.58,2.58,2.58,2.58,210,0
EC2,5,20210204,164500,2.6,2.6,2.6,2.6,5,0
EC2,5,20210205,093500,2.5,2.5,2.5,2.5,200,0
EC2,5,20210205,095000,2.48,2.48,2.48,2.48,400,0
EC2,5,20210205,111000,2.48,2.48,2.48,2.48,300,0
EC2,5,20210205,114500,2.48,2.48,2.48,2.48,555,0
EC2,5,20210205,120000,2.48,2.58,2.48,2.58,1200,0
EC2,5,20210209,104500,2.52,2.52,2.52,2.52,5,0
EC2,5,20210210,134000,2.42,2.42,2.4,2.4,2010,0
EC2,5,20210210,135000,2.42,2.46,2.42,2.46,16996,0
EC2,5,20210210,135500,2.52,2.52,2.52,2.52,100,0
EC2,5,20210210,164500,2.52,2.52,2.52,2.52,1091,0
EC2,5,20210211,124000,2.54,2.54,2.54,2.54,50,0
EC2,5,20210211,163000,2.46,2.46,2.34,2.34,5000,0
EC2,5,20210211,163500,2.48,2.48,2.48,2.48,5,0
EC2,5,20210212,095000,2.44,2.44,2.44,2.44,350,0
EC2,5,20210212,100000,2.44,2.44,2.44,2.44,73,0
EC2,5,20210212,112500,2.46,2.5,2.46,2.5,2850,0
EC2,5,20210212,113000,2.58,2.58,2.58,2.58,15,0
EC2,5,20210212,131000,2.5,2.5,2.5,2.5,569,0
EC2,5,20210212,135500,2.56,2.56,2.56,2.56,10,0
EC2,5,20210212,144500,2.5,2.5,2.5,2.5,4581,0
EC2,5,20210212,151500,2.5,2.5,2.5,2.5,429,0
EC2,5,20210212,161000,2.56,2.56,2.56,2.56,500,0
EC2,5,20210212,164500,2.56,2.64,2.56,2.64,4871,0
EC2,5,20210215,090000,2.56,2.56,2.28,2.28,3558,0
EC2,5,20210215,091000,2.46,2.64,2.46,2.64,6600,0
EC2,5,20210215,092000,2.5,2.5,2.5,2.5,1100,0
EC2,5,20210215,093000,2.5,2.5,2.5,2.5,10,0
EC2,5,20210215,094000,2.44,2.44,2.42,2.42,2107,0
EC2,5,20210215,094500,2.5,2.5,2.5,2.5,600,0
EC2,5,20210215,095000,2.42,2.42,2.36,2.36,960,0
EC2,5,20210215,095500,2.46,2.5,2.4,2.5,2400,0
EC2,5,20210215,100500,2.42,2.5,2.4,2.5,2590,0
EC2,5,20210215,101000,2.4,2.4,2.4,2.4,1850,0
EC2,5,20210215,101500,2.5,2.5,2.4,2.4,8150,0
EC2,5,20210215,102000,2.46,2.6,2.44,2.6,3150,0
EC2,5,20210215,103500,2.48,2.5,2.48,2.5,1850,0
EC2,5,20210215,104000,2.5,2.58,2.5,2.58,1200,0
EC2,5,20210215,113000,2.52,2.52,2.52,2.52,1000,0
EC2,5,20210215,113500,2.54,2.58,2.54,2.58,900,0
EC2,5,20210215,114000,2.52,2.52,2.52,2.52,850,0
EC2,5,20210215,114500,2.58,2.58,2.58,2.58,200,0
EC2,5,20210215,144000,2.48,2.48,2.48,2.48,1800,0
EC2,5,20210215,150500,2.52,2.54,2.52,2.54,610,0
EC2,5,20210215,162000,2.52,2.58,2.52,2.58,4979,0
EC2,5,20210215,162500,2.6,2.6,2.6,2.6,2619,0
EC2,5,20210215,163000,2.6,2.6,2.6,2.6,700,0
EC2,5,20210215,164500,2.64,2.7,2.64,2.7,16462,0
EC2,5,20210216,090000,2.7,2.86,2.7,2.86,6671,0
EC2,5,20210216,090500,2.86,2.86,2.86,2.86,460,0
EC2,5,20210216,091000,2.84,2.86,2.84,2.86,3616,0
EC2,5,20210216,091500,2.86,2.86,2.86,2.86,750,0
EC2,5,20210216,092000,2.86,2.86,2.86,2.86,605,0
EC2,5,20210216,092500,2.86,2.86,2.8,2.8,1409,0
EC2,5,20210216,093000,2.84,2.84,2.84,2.84,200,0
EC2,5,20210216,093500,2.82,2.84,2.82,2.84,310,0
EC2,5,20210216,094000,2.8,2.8,2.7,2.74,8779,0
EC2,5,20210216,095500,2.84,2.94,2.84,2.94,2304,0
EC2,5,20210216,101000,2.94,3.24,2.94,3.24,16372,0
EC2,5,20210216,102500,3.24,3.24,3.24,3.24,4195,0
EC2,5,20210216,103000,3.24,3.24,3.24,3.24,2000,0
EC2,5,20210216,105000,3.3,3.46,3.3,3.4,5641,0
EC2,5,20210216,105500,3.4,3.4,3,3,6665,0
EC2,5,20210216,110000,3.4,3.4,3.4,3.4,200,0
EC2,5,20210216,111000,3.36,3.36,3.36,3.36,1262,0
EC2,5,20210216,111500,3.04,3.32,3.02,3.32,4550,0
EC2,5,20210216,112500,3.08,3.08,3.08,3.08,1000,0
EC2,5,20210216,113000,3.08,3.26,3,3.26,1517,0
EC2,5,20210216,113500,3.26,3.26,3.26,3.26,250,0
EC2,5,20210216,114500,3.2,3.2,3.2,3.2,38,0
EC2,5,20210216,115500,3.1,3.1,3.1,3.1,343,0
EC2,5,20210216,120000,3.2,3.2,3.2,3.2,1359,0
EC2,5,20210216,120500,3.2,3.2,3.2,3.2,3,0
EC2,5,20210216,121000,3.26,3.28,3.26,3.28,705,0
EC2,5,20210216,121500,3.14,3.14,3.1,3.1,4127,0
EC2,5,20210216,122000,3.1,3.12,3.1,3.12,100,0
EC2,5,20210216,122500,3.12,3.12,3.12,3.12,1060,0
EC2,5,20210216,124000,3.08,3.12,3.04,3.06,1388,0
EC2,5,20210216,124500,3.04,3.04,3.04,3.04,38,0
EC2,5,20210216,125500,3.04,3.04,3,3,2373,0
EC2,5,20210216,130000,3.04,3.12,2.86,3.12,2423,0
EC2,5,20210216,131500,3.08,3.08,3.08,3.08,134,0
EC2,5,20210216,132500,3.08,3.08,3.08,3.08,226,0
EC2,5,20210216,133000,3.1,3.1,3.1,3.1,1200,0
EC2,5,20210216,133500,3.08,3.08,3.08,3.08,400,0
EC2,5,20210216,135000,3.08,3.08,3.08,3.08,500,0
