<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECA,5,20210204,105000,0.945,0.945,0.945,0.945,10,0
ECA,5,20210204,123500,0.945,0.945,0.945,0.945,1500,0
ECA,5,20210204,130000,0.985,0.985,0.985,0.985,50,0
ECA,5,20210204,155500,0.98,0.98,0.98,0.98,1000,0
ECA,5,20210204,161000,0.98,0.98,0.98,0.98,2000,0
ECA,5,20210204,164000,0.945,0.945,0.94,0.94,1000,0
ECA,5,20210205,102000,0.94,0.94,0.94,0.94,3144,0
ECA,5,20210205,105500,0.935,0.935,0.935,0.935,390,0
ECA,5,20210205,151500,0.97,0.99,0.97,0.99,1200,0
ECA,5,20210205,154500,0.985,0.99,0.985,0.99,1850,0
ECA,5,20210208,090500,0.99,0.99,0.99,0.99,20,0
ECA,5,20210208,092500,0.99,0.99,0.99,0.99,1200,0
ECA,5,20210208,105000,0.99,0.995,0.99,0.995,2085,0
ECA,5,20210208,110500,0.995,0.995,0.995,0.995,317,0
ECA,5,20210208,111000,1,1,1,1,1900,0
ECA,5,20210208,121500,1.01,1.02,1.01,1.02,1000,0
ECA,5,20210208,122500,1,1,1,1,921,0
ECA,5,20210208,134500,1,1,1,1,1079,0
ECA,5,20210208,161000,1,1,1,1,1000,0
ECA,5,20210209,090000,1,1,1,1,1600,0
ECA,5,20210209,090500,1,1,1,1,1400,0
ECA,5,20210209,094000,0.995,0.995,0.98,0.98,1500,0
ECA,5,20210209,160500,0.99,0.99,0.99,0.99,2000,0
ECA,5,20210209,161000,0.99,0.99,0.99,0.99,880,0
ECA,5,20210209,164000,0.99,1.02,0.99,1.02,265,0
ECA,5,20210209,164500,1.02,1.03,1,1,2706,0
ECA,5,20210210,090000,1.04,1.04,1.04,1.04,35,0
ECA,5,20210210,125500,1.03,1.05,1.03,1.05,9555,0
ECA,5,20210210,132000,1.07,1.07,1.07,1.07,2945,0
ECA,5,20210210,132500,1.08,1.08,1.08,1.08,2000,0
ECA,5,20210210,133000,1.08,1.08,1.08,1.08,1000,0
ECA,5,20210210,135000,1.08,1.08,1.08,1.08,1000,0
ECA,5,20210210,141000,1.08,1.08,1.08,1.08,3575,0
ECA,5,20210210,144500,1.07,1.07,1.07,1.07,405,0
ECA,5,20210210,161000,1.07,1.07,1.07,1.07,2095,0
ECA,5,20210210,163000,1.07,1.07,1.07,1.07,4201,0
ECA,5,20210210,164500,1.07,1.07,1.07,1.07,646,0
ECA,5,20210211,090000,1.1,1.1,1.1,1.1,2581,0
ECA,5,20210211,090500,1.1,1.1,1.1,1.1,2170,0
ECA,5,20210211,091500,1.1,1.1,1.1,1.1,1200,0
ECA,5,20210211,092500,1.11,1.11,1.11,1.11,1449,0
ECA,5,20210211,094000,1.11,1.11,1.11,1.11,958,0
ECA,5,20210211,101000,1.13,1.14,1.13,1.14,1886,0
ECA,5,20210211,105000,1.14,1.15,1.14,1.15,2468,0
ECA,5,20210211,110000,1.15,1.15,1.15,1.15,422,0
ECA,5,20210211,110500,1.15,1.16,1.15,1.16,600,0
ECA,5,20210211,112000,1.16,1.16,1.16,1.16,600,0
ECA,5,20210211,113500,1.14,1.14,1.14,1.14,2500,0
ECA,5,20210211,114500,1.11,1.11,1.09,1.1,3083,0
ECA,5,20210211,115500,1.14,1.14,1.14,1.14,275,0
ECA,5,20210211,120000,1.14,1.14,1.14,1.14,684,0
ECA,5,20210211,124000,1.14,1.14,1.14,1.14,1816,0
ECA,5,20210211,125500,1.14,1.14,1.14,1.14,517,0
ECA,5,20210211,135500,1.14,1.16,1.14,1.16,2200,0
ECA,5,20210211,151000,1.15,1.15,1.15,1.15,2800,0
ECA,5,20210211,152000,1.15,1.15,1.15,1.15,2200,0
ECA,5,20210211,153500,1.15,1.15,1.15,1.15,870,0
ECA,5,20210211,161000,1.11,1.11,1.11,1.11,1062,0
ECA,5,20210212,100500,1.1,1.1,1.1,1.1,3200,0
ECA,5,20210212,111500,1.1,1.1,1.1,1.1,1000,0
ECA,5,20210212,120500,1.07,1.1,1.06,1.1,3000,0
ECA,5,20210212,121500,1.1,1.1,1.1,1.1,1500,0
ECA,5,20210212,122000,1.03,1.03,1.02,1.02,3000,0
ECA,5,20210212,133500,1.12,1.12,1.12,1.12,2,0
ECA,5,20210212,145000,1.08,1.08,1.08,1.08,1000,0
ECA,5,20210212,150000,1.12,1.12,1.12,1.12,4,0
ECA,5,20210212,161000,1.11,1.11,1.11,1.11,300,0
ECA,5,20210215,090000,1.08,1.08,1.08,1.08,168,0
ECA,5,20210215,090500,1.11,1.11,1.11,1.11,832,0
ECA,5,20210215,092500,1.07,1.07,1.07,1.07,887,0
ECA,5,20210215,094000,1.11,1.11,1.11,1.11,10,0
ECA,5,20210215,094500,1.11,1.11,1.11,1.11,158,0
ECA,5,20210215,095000,1.12,1.12,1.12,1.12,2740,0
ECA,5,20210215,100000,1.12,1.12,1.12,1.12,1000,0
ECA,5,20210215,100500,1.12,1.12,1.12,1.12,213,0
ECA,5,20210215,101500,1.14,1.14,1.14,1.14,1000,0
ECA,5,20210215,104000,1.14,1.14,1.14,1.14,441,0
ECA,5,20210215,110000,1.14,1.15,1.11,1.15,2172,0
ECA,5,20210215,115000,1.14,1.14,1.14,1.14,1000,0
ECA,5,20210215,124000,1.13,1.14,1.13,1.14,900,0
ECA,5,20210215,125000,1.1,1.1,1.1,1.1,1513,0
ECA,5,20210215,130000,1.14,1.14,1.14,1.14,10,0
ECA,5,20210215,131500,1.15,1.15,1.15,1.15,1000,0
ECA,5,20210215,135500,1.11,1.11,1.1,1.1,3647,0
ECA,5,20210216,091000,1.1,1.1,1.1,1.1,85,0
ECA,5,20210216,092000,1.1,1.1,1.1,1.1,4915,0
ECA,5,20210216,093000,1.12,1.12,1.12,1.12,1400,0
ECA,5,20210216,105500,1.12,1.13,1.12,1.13,1300,0
ECA,5,20210216,160000,1.1,1.1,1.1,1.1,265,0
ECA,5,20210216,160500,1.08,1.08,1.08,1.08,2000,0
ECA,5,20210216,161000,1.08,1.08,1.08,1.08,2277,0
ECA,5,20210218,090500,1.11,1.11,1.11,1.11,2286,0
ECA,5,20210218,164500,1.05,1.05,1.05,1.05,6090,0
ECA,5,20210219,090000,1.11,1.11,1.11,1.11,677,0
ECA,5,20210219,101000,1.04,1.04,1.02,1.02,4333,0
ECA,5,20210219,111000,1.03,1.03,1.01,1.01,5000,0
ECA,5,20210219,113000,1.02,1.02,1.02,1.02,800,0
ECA,5,20210219,140000,1.02,1.02,1.02,1.02,3080,0
ECA,5,20210219,140500,1.01,1.01,1.01,1.01,1500,0
ECA,5,20210219,155500,1.01,1.01,1.01,1.01,1500,0
ECA,5,20210222,090000,1.04,1.04,1.04,1.04,100,0
ECA,5,20210222,091500,1.01,1.01,1.01,1.01,1700,0
ECA,5,20210222,122500,1.04,1.04,1.04,1.04,123,0
ECA,5,20210222,130000,1.05,1.05,1.05,1.05,1280,0
ECA,5,20210222,132000,1.07,1.09,1.07,1.09,3000,0
ECA,5,20210222,141500,1.04,1.04,1.02,1.02,3691,0
ECA,5,20210222,152500,1.02,1.02,1.02,1.02,2180,0
ECA,5,20210222,164000,1.02,1.02,1,1,4074,0
ECA,5,20210222,164500,1,1.08,1,1.08,1750,0
ECA,5,20210223,102500,1.06,1.06,1.06,1.06,1280,0
