<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECK,5,20210204,090000,0.72,0.72,0.72,0.72,1575,0
ECK,5,20210204,100500,0.72,0.72,0.72,0.72,1000,0
ECK,5,20210204,112500,0.72,0.72,0.7,0.7,7925,0
ECK,5,20210204,162500,0.7,0.7,0.7,0.7,1000,0
ECK,5,20210205,144500,0.67,0.67,0.67,0.67,500,0
ECK,5,20210205,162000,0.72,0.72,0.67,0.67,2100,0
ECK,5,20210205,162500,0.67,0.67,0.67,0.67,3000,0
ECK,5,20210205,163000,0.66,0.66,0.66,0.66,5075,0
ECK,5,20210208,103500,0.68,0.68,0.68,0.68,2000,0
ECK,5,20210208,111000,0.68,0.68,0.68,0.68,500,0
ECK,5,20210208,112000,0.68,0.68,0.68,0.68,107,0
ECK,5,20210208,151500,0.68,0.68,0.68,0.68,111,0
ECK,5,20210209,090000,0.68,0.68,0.68,0.68,2416,0
ECK,5,20210210,144500,0.68,0.68,0.68,0.68,4000,0
ECK,5,20210210,154000,0.71,0.71,0.71,0.71,2000,0
ECK,5,20210211,092000,0.71,0.73,0.71,0.73,770,0
ECK,5,20210211,140000,0.73,0.73,0.73,0.73,1500,0
ECK,5,20210211,164000,0.72,0.73,0.72,0.73,5700,0
ECK,5,20210212,091500,0.73,0.73,0.73,0.73,3300,0
ECK,5,20210212,111500,0.75,0.75,0.75,0.75,200,0
ECK,5,20210212,144000,0.75,0.75,0.75,0.75,1349,0
ECK,5,20210212,164500,0.73,0.73,0.71,0.71,1160,0
ECK,5,20210215,090000,0.76,0.76,0.76,0.76,3304,0
ECK,5,20210215,123500,0.75,0.75,0.75,0.75,1500,0
ECK,5,20210215,124000,0.76,0.8,0.76,0.8,8147,0
ECK,5,20210215,124500,0.85,0.89,0.85,0.89,22200,0
ECK,5,20210215,125000,0.89,0.89,0.89,0.89,18274,0
ECK,5,20210215,125500,0.85,0.89,0.81,0.89,9000,0
ECK,5,20210215,130500,0.89,0.89,0.89,0.89,245,0
ECK,5,20210215,131000,0.89,0.89,0.89,0.89,2000,0
ECK,5,20210215,134000,0.89,0.89,0.89,0.89,2000,0
ECK,5,20210215,141000,0.89,0.89,0.89,0.89,25400,0
ECK,5,20210215,141500,0.89,0.89,0.89,0.89,3899,0
ECK,5,20210215,142000,0.89,0.89,0.89,0.89,1200,0
ECK,5,20210215,143000,0.89,0.89,0.89,0.89,2739,0
ECK,5,20210215,144000,0.89,0.89,0.89,0.89,2899,0
ECK,5,20210215,151000,0.855,0.89,0.85,0.89,7238,0
