<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECL,5,20210204,090000,12.2,12.8,12.1,12.1,2174,0
ECL,5,20210204,090500,12.6,13.4,12.5,13,3855,0
ECL,5,20210204,091000,12.7,13.3,12.7,13.1,455,0
ECL,5,20210204,091500,12.7,13,12.6,13,678,0
ECL,5,20210204,092000,12.6,12.6,12.1,12.6,4128,0
ECL,5,20210204,092500,12.6,12.8,12.2,12.7,488,0
ECL,5,20210204,093500,12.1,12.1,12.1,12.1,132,0
ECL,5,20210204,094000,12.6,12.6,12.6,12.6,1,0
ECL,5,20210204,094500,12.6,12.6,12.4,12.4,478,0
ECL,5,20210204,095000,12.1,12.1,12,12,674,0
ECL,5,20210204,095500,12.4,12.4,12.4,12.4,100,0
ECL,5,20210204,102000,12,12,11.6,11.6,712,0
ECL,5,20210204,102500,12.1,12.2,12.1,12.2,252,0
ECL,5,20210204,105000,11.9,11.9,11.9,11.9,200,0
ECL,5,20210204,110000,11.9,11.9,11.8,11.8,70,0
ECL,5,20210204,110500,11.9,11.9,11.7,11.7,435,0
ECL,5,20210204,111000,11.8,11.9,11.8,11.9,130,0
ECL,5,20210204,111500,11.9,11.9,11.9,11.9,168,0
ECL,5,20210204,112500,11.9,11.9,11.9,11.9,56,0
ECL,5,20210204,115000,12,12,12,12,200,0
ECL,5,20210204,121500,12,12.3,12,12.3,306,0
ECL,5,20210204,122500,12.3,12.4,12.3,12.4,266,0
ECL,5,20210204,123500,12.1,12.1,12,12,218,0
ECL,5,20210204,124000,12,12,12,12,1653,0
ECL,5,20210204,125000,12.3,12.3,11.8,11.8,210,0
ECL,5,20210204,130000,12.3,12.3,11.8,11.8,62,0
ECL,5,20210204,130500,12.2,12.2,12.1,12.1,60,0
ECL,5,20210204,133000,12.1,12.1,12.1,12.1,23,0
ECL,5,20210204,144500,12,12,12,12,112,0
ECL,5,20210204,145000,12,12,12,12,16,0
ECL,5,20210204,153500,11.8,11.8,11.8,11.8,200,0
ECL,5,20210204,154500,11.9,12,11.9,12,184,0
