<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFE,5,20210204,090500,0.502,0.504,0.502,0.504,600,0
EFE,5,20210204,091000,0.504,0.508,0.504,0.508,10320,0
EFE,5,20210204,091500,0.52,0.52,0.52,0.52,2963,0
EFE,5,20210204,092000,0.53,0.53,0.52,0.52,4173,0
EFE,5,20210204,092500,0.53,0.53,0.53,0.53,2500,0
EFE,5,20210204,094500,0.5,0.5,0.5,0.5,4400,0
EFE,5,20210204,102000,0.5,0.5,0.5,0.5,1,0
EFE,5,20210204,103000,0.5,0.5,0.5,0.5,527,0
EFE,5,20210204,105000,0.5,0.5,0.5,0.5,71,0
EFE,5,20210204,111000,0.493,0.493,0.49,0.49,2500,0
EFE,5,20210204,111500,0.49,0.49,0.49,0.49,1134,0
EFE,5,20210204,121500,0.49,0.49,0.49,0.49,466,0
EFE,5,20210204,122000,0.482,0.482,0.482,0.482,2676,0
EFE,5,20210204,154500,0.482,0.482,0.482,0.482,1000,0
EFE,5,20210204,164500,0.49,0.499,0.49,0.499,1300,0
EFE,5,20210205,091500,0.497,0.497,0.497,0.497,300,0
EFE,5,20210205,093000,0.478,0.478,0.475,0.475,1500,0
EFE,5,20210205,110500,0.497,0.51,0.497,0.51,7600,0
EFE,5,20210205,115500,0.508,0.508,0.508,0.508,400,0
EFE,5,20210205,131500,0.475,0.475,0.475,0.475,4600,0
EFE,5,20210205,145000,0.475,0.475,0.475,0.475,2340,0
EFE,5,20210205,154000,0.499,0.499,0.499,0.499,100,0
EFE,5,20210208,090000,0.499,0.52,0.499,0.52,8000,0
EFE,5,20210208,090500,0.52,0.528,0.49,0.49,17151,0
EFE,5,20210208,091000,0.528,0.528,0.528,0.528,2000,0
EFE,5,20210208,092500,0.512,0.512,0.512,0.512,1,0
EFE,5,20210208,094500,0.52,0.52,0.52,0.52,1000,0
EFE,5,20210208,100500,0.52,0.52,0.512,0.512,19854,0
EFE,5,20210208,101000,0.512,0.52,0.5,0.5,17147,0
EFE,5,20210208,103000,0.518,0.52,0.502,0.502,8701,0
EFE,5,20210208,122000,0.52,0.52,0.52,0.52,10100,0
EFE,5,20210208,124000,0.526,0.526,0.526,0.526,1202,0
EFE,5,20210208,124500,0.528,0.528,0.528,0.528,11787,0
EFE,5,20210208,125000,0.53,0.54,0.53,0.54,5050,0
EFE,5,20210208,132000,0.528,0.528,0.528,0.528,1500,0
EFE,5,20210208,135500,0.538,0.538,0.538,0.538,240,0
EFE,5,20210208,142500,0.526,0.526,0.526,0.526,2100,0
EFE,5,20210208,145500,0.526,0.526,0.526,0.526,698,0
EFE,5,20210208,151000,0.512,0.52,0.51,0.52,4182,0
EFE,5,20210208,151500,0.534,0.534,0.534,0.534,100,0
EFE,5,20210208,152500,0.52,0.52,0.52,0.52,14500,0
EFE,5,20210208,163000,0.52,0.52,0.52,0.52,3700,0
EFE,5,20210208,163500,0.52,0.52,0.52,0.52,3500,0
EFE,5,20210209,090000,0.512,0.512,0.5,0.5,14000,0
EFE,5,20210209,090500,0.528,0.528,0.528,0.528,100,0
EFE,5,20210209,110000,0.524,0.524,0.524,0.524,2000,0
EFE,5,20210209,112000,0.502,0.502,0.502,0.502,500,0
EFE,5,20210209,133000,0.502,0.504,0.5,0.504,7000,0
EFE,5,20210209,141500,0.522,0.522,0.522,0.522,1,0
EFE,5,20210209,153000,0.504,0.504,0.47,0.47,11000,0
EFE,5,20210209,153500,0.518,0.518,0.518,0.518,100,0
EFE,5,20210209,163500,0.484,0.484,0.484,0.484,1072,0
EFE,5,20210209,164500,0.518,0.518,0.518,0.518,200,0
EFE,5,20210210,094000,0.512,0.512,0.512,0.512,100,0
EFE,5,20210210,095000,0.49,0.514,0.49,0.514,9658,0
EFE,5,20210210,131000,0.482,0.482,0.48,0.48,5000,0
EFE,5,20210210,132000,0.514,0.514,0.514,0.514,1,0
EFE,5,20210210,153500,0.491,0.491,0.491,0.491,1000,0
EFE,5,20210210,154000,0.512,0.512,0.512,0.512,1,0
EFE,5,20210210,164500,0.518,0.518,0.518,0.518,3730,0
EFE,5,20210211,094000,0.492,0.514,0.47,0.514,50001,0
EFE,5,20210211,115500,0.514,0.518,0.514,0.518,2000,0
EFE,5,20210211,120000,0.518,0.518,0.518,0.518,3000,0
EFE,5,20210211,125000,0.518,0.52,0.518,0.52,2000,0
EFE,5,20210211,132500,0.52,0.52,0.52,0.52,1000,0
EFE,5,20210211,161000,0.5,0.518,0.5,0.518,2001,0
EFE,5,20210211,164500,0.518,0.518,0.518,0.518,100,0
EFE,5,20210212,090000,0.484,0.534,0.484,0.534,2302,0
EFE,5,20210212,101500,0.518,0.518,0.518,0.518,2000,0
EFE,5,20210212,113500,0.52,0.52,0.52,0.52,9050,0
EFE,5,20210212,121500,0.52,0.52,0.52,0.52,732,0
EFE,5,20210212,123000,0.52,0.52,0.52,0.52,2500,0
EFE,5,20210212,125500,0.52,0.528,0.52,0.528,550,0
EFE,5,20210212,153000,0.526,0.526,0.5,0.5,4100,0
EFE,5,20210212,153500,0.524,0.524,0.524,0.524,100,0
EFE,5,20210215,090000,0.5,0.5,0.5,0.5,2500,0
EFE,5,20210215,090500,0.52,0.52,0.52,0.52,200,0
EFE,5,20210215,091000,0.522,0.522,0.522,0.522,500,0
EFE,5,20210215,092500,0.524,0.524,0.524,0.524,500,0
EFE,5,20210215,094500,0.524,0.56,0.522,0.522,45377,0
EFE,5,20210215,095000,0.562,0.562,0.532,0.532,3400,0
EFE,5,20210215,101000,0.536,0.564,0.53,0.53,14701,0
EFE,5,20210215,101500,0.564,0.564,0.564,0.564,100,0
EFE,5,20210215,102500,0.564,0.564,0.564,0.564,1000,0
EFE,5,20210215,112500,0.554,0.554,0.554,0.554,4641,0
EFE,5,20210215,113500,0.558,0.558,0.558,0.558,2500,0
EFE,5,20210215,123500,0.56,0.56,0.56,0.56,1416,0
EFE,5,20210215,133000,0.54,0.54,0.54,0.54,1000,0
EFE,5,20210215,141500,0.554,0.554,0.554,0.554,2000,0
EFE,5,20210215,144000,0.54,0.54,0.532,0.532,3510,0
EFE,5,20210215,145000,0.532,0.532,0.532,0.532,6072,0
EFE,5,20210215,152000,0.532,0.532,0.53,0.53,1421,0
EFE,5,20210215,153000,0.548,0.548,0.548,0.548,100,0
EFE,5,20210215,164000,0.538,0.538,0.538,0.538,1000,0
EFE,5,20210215,164500,0.538,0.548,0.538,0.548,420,0
EFE,5,20210216,090000,0.548,0.548,0.548,0.548,895,0
EFE,5,20210216,094500,0.556,0.556,0.556,0.556,100,0
EFE,5,20210216,095000,0.548,0.548,0.548,0.548,1064,0
EFE,5,20210216,095500,0.548,0.548,0.548,0.548,1000,0
EFE,5,20210216,103500,0.534,0.534,0.532,0.532,1416,0
EFE,5,20210216,104000,0.548,0.548,0.548,0.548,3736,0
