<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGH,5,20210204,090000,7.95,7.95,7.9,7.9,1710,0
EGH,5,20210204,090500,7.9,7.9,7.9,7.9,200,0
EGH,5,20210204,091500,7.85,7.85,7.85,7.85,600,0
EGH,5,20210204,100000,7.85,8,7.85,8,500,0
EGH,5,20210204,101000,7.75,7.75,7.45,7.45,1381,0
EGH,5,20210204,102000,7.95,7.95,7.95,7.95,100,0
EGH,5,20210204,102500,7.95,7.95,7.95,7.95,240,0
EGH,5,20210204,104500,7.8,7.8,7.8,7.8,260,0
EGH,5,20210204,105000,7.75,7.75,7.75,7.75,5,0
EGH,5,20210204,105500,7.95,8,7.95,8,500,0
EGH,5,20210204,115500,7.75,7.75,7.75,7.75,265,0
EGH,5,20210204,120000,7.6,7.6,7.6,7.6,200,0
EGH,5,20210204,120500,7.75,7.75,7.75,7.75,250,0
EGH,5,20210204,121000,7.75,7.75,7.75,7.75,130,0
EGH,5,20210204,123500,7.7,7.7,7.7,7.7,1648,0
EGH,5,20210204,133500,7.6,7.6,7.5,7.5,2000,0
EGH,5,20210204,144000,7.6,7.6,7.6,7.6,45,0
EGH,5,20210204,150500,7.6,7.6,7.6,7.6,223,0
EGH,5,20210204,160000,7.7,7.75,7.7,7.75,105,0
EGH,5,20210204,160500,7.75,7.75,7.75,7.75,50,0
EGH,5,20210204,161000,7.5,7.5,7.5,7.5,348,0
EGH,5,20210204,161500,7.5,7.5,7.5,7.5,86,0
EGH,5,20210204,162500,7.6,7.6,7.6,7.6,260,0
EGH,5,20210204,163000,7.6,7.6,7.6,7.6,8,0
EGH,5,20210204,163500,7.8,7.8,7.8,7.8,130,0
EGH,5,20210205,090000,7.8,7.9,7.8,7.9,665,0
EGH,5,20210205,090500,7.8,7.8,7.8,7.8,158,0
EGH,5,20210205,093500,7.85,7.85,7.85,7.85,250,0
EGH,5,20210205,094500,7.85,7.85,7.85,7.85,130,0
EGH,5,20210205,100500,7.9,7.9,7.9,7.9,277,0
EGH,5,20210205,102000,7.8,7.8,7.8,7.8,92,0
EGH,5,20210205,104500,7.75,7.75,7.75,7.75,180,0
EGH,5,20210205,112000,7.7,7.7,7.7,7.7,194,0
EGH,5,20210205,112500,7.7,7.7,7.7,7.7,6,0
EGH,5,20210205,115000,7.8,7.8,7.8,7.8,86,0
EGH,5,20210205,122500,7.55,7.8,7.4,7.8,1646,0
EGH,5,20210205,130500,7.6,7.9,7.6,7.9,3000,0
EGH,5,20210205,131000,7.55,7.9,7.5,7.9,2348,0
EGH,5,20210205,132000,7.85,7.85,7.85,7.85,37,0
EGH,5,20210205,132500,7.65,7.65,7.65,7.65,263,0
EGH,5,20210205,133000,7.4,7.4,7.4,7.4,439,0
EGH,5,20210205,133500,7.4,7.4,7.4,7.4,11,0
EGH,5,20210205,144500,7.45,7.45,7.45,7.45,1000,0
EGH,5,20210205,145000,7.4,7.4,7.4,7.4,67,0
EGH,5,20210205,145500,7.4,7.4,7.4,7.4,483,0
EGH,5,20210205,153500,7.5,7.5,7.5,7.5,50,0
EGH,5,20210205,155000,7.5,7.5,7.5,7.5,221,0
EGH,5,20210208,092000,7.5,7.5,7.4,7.4,995,0
EGH,5,20210208,093000,7.25,7.25,7.25,7.25,93,0
EGH,5,20210208,093500,7.25,7.25,7.25,7.25,100,0
EGH,5,20210208,105000,7.3,7.3,7.3,7.3,5,0
EGH,5,20210208,111000,7.3,7.3,7.25,7.25,772,0
EGH,5,20210208,111500,7.2,7.2,7.15,7.15,1930,0
EGH,5,20210208,112500,7.2,7.2,7.2,7.2,890,0
EGH,5,20210208,113000,7.2,7.2,7.2,7.2,250,0
EGH,5,20210208,114000,7.2,7.2,7.1,7.1,730,0
EGH,5,20210208,115000,7.1,7.1,7.1,7.1,176,0
EGH,5,20210208,115500,7.1,7.1,7.1,7.1,634,0
EGH,5,20210208,120000,7.05,7.05,7,7,269,0
EGH,5,20210208,120500,7.25,7.25,7.25,7.25,250,0
EGH,5,20210208,122500,7.3,7.3,7.3,7.3,45,0
EGH,5,20210208,123500,7.25,7.25,7.25,7.25,280,0
EGH,5,20210208,124500,7.25,7.25,7.25,7.25,800,0
EGH,5,20210208,131500,7.3,7.3,7.3,7.3,19,0
EGH,5,20210208,134500,7.3,7.3,7.3,7.3,136,0
EGH,5,20210208,141500,7.3,7.3,7.3,7.3,200,0
EGH,5,20210208,143500,7.3,7.3,7.3,7.3,220,0
EGH,5,20210208,154500,7.25,7.25,7.25,7.25,135,0
EGH,5,20210208,160000,7.25,7.25,7.25,7.25,350,0
EGH,5,20210208,160500,7.3,7.55,7.3,7.55,1000,0
EGH,5,20210208,163500,7.3,7.3,7.3,7.3,120,0
EGH,5,20210208,164000,7.3,7.3,7.3,7.3,135,0
EGH,5,20210208,164500,7.25,7.25,7.25,7.25,351,0
