<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELQ,5,20210204,090000,2.9,2.9,2.9,2.9,223,0
ELQ,5,20210204,090500,2.9,2.9,2.9,2.9,252,0
ELQ,5,20210204,124500,2.86,2.86,2.86,2.86,200,0
ELQ,5,20210204,130000,2.86,2.86,2.86,2.86,296,0
ELQ,5,20210204,142500,2.8,2.8,2.8,2.8,100,0
ELQ,5,20210204,143000,2.76,2.76,2.74,2.74,400,0
ELQ,5,20210204,145000,2.74,2.74,2.74,2.74,20,0
ELQ,5,20210204,145500,2.7,2.7,2.7,2.7,128,0
ELQ,5,20210204,150000,2.7,2.7,2.7,2.7,200,0
ELQ,5,20210205,100000,2.62,2.62,2.6,2.6,74,0
ELQ,5,20210205,100500,2.6,2.6,2.6,2.6,366,0
ELQ,5,20210205,101000,2.6,2.6,2.6,2.6,550,0
ELQ,5,20210205,112500,2.52,2.52,2.52,2.52,25,0
ELQ,5,20210205,115000,2.52,2.52,2.52,2.52,845,0
ELQ,5,20210205,134500,2.52,2.52,2.52,2.52,430,0
ELQ,5,20210205,164500,2.54,2.54,2.54,2.54,100,0
ELQ,5,20210208,091000,2.6,2.6,2.6,2.6,1,0
ELQ,5,20210208,092500,2.6,2.6,2.6,2.6,100,0
ELQ,5,20210208,112500,2.64,2.64,2.64,2.64,100,0
ELQ,5,20210208,123000,2.7,2.74,2.68,2.74,400,0
ELQ,5,20210208,161000,2.7,2.7,2.7,2.7,60,0
ELQ,5,20210209,101500,2.62,2.62,2.6,2.6,1000,0
ELQ,5,20210209,102000,2.68,2.7,2.68,2.7,344,0
ELQ,5,20210209,111000,2.7,2.7,2.7,2.7,1,0
ELQ,5,20210209,154500,2.7,2.7,2.7,2.7,95,0
ELQ,5,20210211,090000,2.36,2.36,2.36,2.36,1000,0
ELQ,5,20210211,110000,2.6,2.64,2.6,2.64,100,0
ELQ,5,20210211,111000,2.64,2.64,2.58,2.58,489,0
ELQ,5,20210211,150500,2.54,2.58,2.54,2.58,344,0
ELQ,5,20210211,154500,2.5,2.5,2.5,2.5,40,0
ELQ,5,20210211,162500,2.58,2.58,2.58,2.58,113,0
ELQ,5,20210211,163000,2.6,2.68,2.6,2.68,110,0
ELQ,5,20210211,163500,2.68,2.68,2.68,2.68,293,0
ELQ,5,20210212,101500,2.68,2.68,2.68,2.68,200,0
ELQ,5,20210212,121500,2.6,2.6,2.6,2.6,400,0
ELQ,5,20210212,133000,2.68,2.68,2.68,2.68,333,0
ELQ,5,20210212,163500,2.62,2.62,2.6,2.6,350,0
ELQ,5,20210215,114000,2.62,2.62,2.6,2.6,1213,0
ELQ,5,20210215,115500,2.48,2.48,2.48,2.48,15,0
ELQ,5,20210215,132500,2.62,2.62,2.62,2.62,452,0
ELQ,5,20210215,144500,2.6,2.6,2.6,2.6,567,0
ELQ,5,20210215,163000,2.66,2.66,2.66,2.66,183,0
ELQ,5,20210215,163500,2.66,2.66,2.66,2.66,217,0
ELQ,5,20210216,090000,2.68,2.68,2.66,2.66,1163,0
ELQ,5,20210216,090500,2.6,2.6,2.6,2.6,150,0
ELQ,5,20210216,111500,2.58,2.6,2.58,2.6,766,0
ELQ,5,20210216,113000,2.48,2.48,2.46,2.46,357,0
ELQ,5,20210216,121000,2.58,2.6,2.58,2.6,484,0
ELQ,5,20210216,122000,2.6,2.6,2.56,2.56,520,0
ELQ,5,20210217,145500,2.6,2.6,2.6,2.6,50,0
ELQ,5,20210218,091500,2.58,2.58,2.56,2.56,500,0
ELQ,5,20210218,092500,2.48,2.48,2.3,2.3,3910,0
ELQ,5,20210218,101500,2.34,2.34,2.34,2.34,400,0
ELQ,5,20210218,161000,2.4,2.4,2.4,2.4,1000,0
ELQ,5,20210218,161500,2.38,2.38,2.38,2.38,100,0
ELQ,5,20210219,093000,2.4,2.4,2.4,2.4,50,0
ELQ,5,20210219,105500,2.4,2.4,2.4,2.4,11,0
ELQ,5,20210219,133000,2.4,2.4,2.4,2.4,463,0
ELQ,5,20210219,154000,2.4,2.4,2.4,2.4,577,0
