<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMA,5,20210204,101000,11,11,11,11,5,0
EMA,5,20210204,112500,11,11,11,11,195,0
EMA,5,20210204,125500,11,11,11,11,100,0
EMA,5,20210204,150500,11,11,11,11,300,0
EMA,5,20210204,160500,11,11,11,11,200,0
EMA,5,20210205,090000,11.4,11.4,11.4,11.4,5,0
EMA,5,20210205,091000,11.4,11.4,11.4,11.4,869,0
EMA,5,20210205,105000,11.4,11.4,11.4,11.4,100,0
EMA,5,20210205,145000,11.1,11.1,11,11,400,0
EMA,5,20210205,163500,11.2,11.2,11.2,11.2,15,0
EMA,5,20210205,164500,11.2,11.2,11.2,11.2,385,0
EMA,5,20210208,090000,11.2,11.2,11.1,11.1,766,0
EMA,5,20210208,090500,11.1,11.1,11.1,11.1,259,0
EMA,5,20210208,120000,11.1,11.1,11,11,500,0
EMA,5,20210208,131000,11,11,11,11,100,0
EMA,5,20210208,132500,11,11,11,11,287,0
EMA,5,20210208,140500,11,11,11,11,213,0
EMA,5,20210209,090500,11,11,11,11,700,0
EMA,5,20210209,092500,11,11,11,11,700,0
EMA,5,20210209,102500,11,11,11,11,16,0
EMA,5,20210210,100500,11.1,11.1,11.1,11.1,5,0
EMA,5,20210210,103000,11.1,11.1,11.1,11.1,95,0
EMA,5,20210210,122000,11,11,11,11,600,0
EMA,5,20210210,130500,11,11,11,11,300,0
EMA,5,20210210,153000,11,11,11,11,35,0
EMA,5,20210211,102500,11,11,11,11,5,0
EMA,5,20210212,092000,11.2,11.2,11.2,11.2,5,0
EMA,5,20210212,112000,11.1,11.1,11.1,11.1,5,0
EMA,5,20210212,115500,11.2,11.2,11.2,11.2,102,0
EMA,5,20210212,164500,11.9,11.9,11.9,11.9,19,0
EMA,5,20210215,103000,11.5,11.5,11.5,11.5,5,0
EMA,5,20210215,133000,11.5,11.5,11.5,11.5,305,0
EMA,5,20210216,121500,11.2,11.2,11.1,11.1,100,0
EMA,5,20210218,120000,11.2,11.2,11.2,11.2,505,0
EMA,5,20210218,121000,11.1,11.1,11.1,11.1,450,0
EMA,5,20210218,122500,11.2,11.2,11.2,11.2,700,0
EMA,5,20210218,124500,11.3,11.5,11.3,11.5,100,0
EMA,5,20210218,132000,11.4,11.4,11,11,910,0
EMA,5,20210218,132500,11,11,11,11,10,0
EMA,5,20210218,133000,11,11,11,11,180,0
EMA,5,20210218,141000,11.2,11.2,11.2,11.2,500,0
EMA,5,20210218,144000,11.4,11.4,11.4,11.4,700,0
EMA,5,20210218,150500,11.3,11.3,11.3,11.3,500,0
EMA,5,20210218,152000,11.5,11.5,11.5,11.5,5,0
EMA,5,20210219,094000,11.6,11.6,11.3,11.3,1100,0
EMA,5,20210219,111500,11.2,11.2,11.2,11.2,1000,0
EMA,5,20210219,112000,11.2,11.2,11.2,11.2,1000,0
EMA,5,20210219,145000,11.1,11.1,11.1,11.1,330,0
EMA,5,20210219,164500,11.1,11.1,11.1,11.1,170,0
EMA,5,20210222,101500,11,11,11,11,70,0
EMA,5,20210223,090000,11.3,11.3,11.3,11.3,10,0
EMA,5,20210223,102000,11.3,11.3,10.8,10.8,420,0
EMA,5,20210223,102500,10.9,11,10.9,11,122,0
EMA,5,20210226,104000,11,11,11,11,69,0
EMA,5,20210226,110500,11,11,11,11,345,0
EMA,5,20210226,112000,11,11,11,11,155,0
EMA,5,20210226,140000,11,11,11,11,121,0
EMA,5,20210226,142500,11,11,11,11,179,0
EMA,5,20210226,152500,11,11,11,11,101,0
EMA,5,20210301,105000,11,11,11,11,5,0
EMA,5,20210301,112000,11,11,11,11,50,0
EMA,5,20210302,102500,11,11,11,11,5,0
EMA,5,20210303,095000,11,11,11,11,292,0
