<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMU,5,20210204,123500,4.3,4.3,4.3,4.3,308,0
EMU,5,20210204,130500,4.74,4.74,4.74,4.74,40,0
EMU,5,20210204,153000,4.32,4.32,4.32,4.32,6000,0
EMU,5,20210204,155500,4.32,4.32,4.32,4.32,1000,0
EMU,5,20210204,161500,4.72,4.72,4.72,4.72,11,0
EMU,5,20210205,104500,4.38,4.38,4.38,4.38,1400,0
EMU,5,20210205,105000,4.38,4.38,4.38,4.38,2800,0
EMU,5,20210205,124000,4.72,4.72,4.72,4.72,200,0
EMU,5,20210208,090000,4.6,4.6,4.6,4.6,224,0
EMU,5,20210208,113000,4.5,4.5,4.5,4.5,360,0
EMU,5,20210209,113500,4.48,4.48,4.48,4.48,250,0
EMU,5,20210210,134500,4.48,4.48,4.48,4.48,197,0
EMU,5,20210210,140000,4.48,4.6,4.48,4.6,50,0
EMU,5,20210211,090000,4.54,4.54,4.54,4.54,440,0
EMU,5,20210211,124000,4.74,4.74,4.74,4.74,20,0
EMU,5,20210212,093500,4.42,4.42,4.4,4.4,5525,0
EMU,5,20210212,094500,4.74,4.74,4.74,4.74,54,0
EMU,5,20210215,093500,4.74,4.74,4.74,4.74,336,0
EMU,5,20210215,094000,4.74,4.74,4.74,4.74,10,0
EMU,5,20210215,131000,4.7,4.74,4.7,4.74,30,0
EMU,5,20210216,121000,4.74,4.74,4.74,4.74,230,0
EMU,5,20210217,131500,4.74,4.8,4.74,4.8,1624,0
EMU,5,20210217,145500,4.98,4.98,4.98,4.98,300,0
EMU,5,20210218,102500,4.98,4.98,4.98,4.98,25,0
EMU,5,20210219,132000,4.98,4.98,4.98,4.98,100,0
EMU,5,20210222,091500,4.82,4.82,4.82,4.82,200,0
EMU,5,20210222,093000,4.82,4.82,4.82,4.82,305,0
EMU,5,20210222,103500,4.84,4.84,4.82,4.82,1011,0
EMU,5,20210222,162000,5,5.75,5,5.75,5000,0
EMU,5,20210223,090000,6.4,6.4,6.4,6.4,37,0
EMU,5,20210223,091500,6,6,6,6,16,0
EMU,5,20210223,093000,5.7,5.7,5.7,5.7,865,0
EMU,5,20210223,162500,5.7,5.7,5.7,5.7,466,0
EMU,5,20210223,164500,5.7,5.7,5.7,5.7,34,0
EMU,5,20210224,142000,5.7,5.7,5.7,5.7,266,0
EMU,5,20210224,164000,6,6.15,6,6.15,1452,0
EMU,5,20210225,113000,6.2,6.2,6.2,6.2,250,0
EMU,5,20210225,113500,6.2,6.2,6.2,6.2,150,0
EMU,5,20210226,111500,6.2,6.2,6.2,6.2,10,0
EMU,5,20210226,153000,6.2,6.2,6.2,6.2,500,0
EMU,5,20210226,154500,6.2,6.2,6.2,6.2,329,0
EMU,5,20210302,125000,6.4,6.4,6.4,6.4,18,0
EMU,5,20210302,135000,6.4,6.4,6.4,6.4,32,0
EMU,5,20210305,153500,5.75,5.75,5.6,5.6,2000,0
EMU,5,20210305,154500,5.6,5.6,5.4,5.4,1278,0
EMU,5,20210305,160000,5.6,5.6,5.6,5.6,1712,0
EMU,5,20210308,101500,5.4,5.8,5.4,5.8,139,0
EMU,5,20210308,144500,4.64,4.64,4.32,4.34,16000,0
EMU,5,20210308,145000,5.35,5.35,5.35,5.35,10,0
EMU,5,20210308,164500,5.7,5.7,5.7,5.7,240,0
EMU,5,20210309,090000,5.35,5.35,5.35,5.35,99,0
EMU,5,20210309,094000,5.3,5.6,5.3,5.6,150,0
EMU,5,20210309,165500,5.7,5.7,5.7,5.7,10,0
EMU,5,20210310,090000,5.6,5.6,5.6,5.6,80,0
EMU,5,20210310,092500,5.2,5.2,5.2,5.2,150,0
EMU,5,20210310,093500,5.2,5.2,5.2,5.2,690,0
EMU,5,20210310,094000,5.2,5.2,5.2,5.2,40,0
EMU,5,20210310,100000,5.4,5.4,5.4,5.4,152,0
EMU,5,20210310,110500,5.4,5.45,5.4,5.45,371,0
EMU,5,20210310,113000,5.3,5.3,5.3,5.3,14,0
EMU,5,20210310,114000,5.6,5.6,5.6,5.6,100,0
EMU,5,20210310,133500,5.6,5.65,5.6,5.65,900,0
EMU,5,20210310,164500,5.7,5.7,5.7,5.7,10,0
EMU,5,20210315,090000,5.2,5.85,5.2,5.85,1342,0
EMU,5,20210315,111500,5.85,6.15,5.85,6.15,400,0
EMU,5,20210315,112500,6.15,6.15,6.15,6.15,100,0
EMU,5,20210315,142500,6.15,6.15,6.15,6.15,708,0
EMU,5,20210315,164500,6.5,6.5,6.5,6.5,150,0
EMU,5,20210316,090000,6.05,6.05,6.05,6.05,313,0
EMU,5,20210316,100000,6.5,6.5,6.5,6.5,10,0
EMU,5,20210316,164000,6.5,6.5,6.5,6.5,1155,0
EMU,5,20210317,090000,7,7,6.1,7,540,0
EMU,5,20210323,104500,6.9,6.9,6.9,6.9,470,0
EMU,5,20210324,100500,6.7,6.7,6.7,6.7,3,0
EMU,5,20210324,163000,7.05,7.05,7.05,7.05,10,0
