<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EON,5,20210210,110000,10.9,10.9,10.9,10.9,2684,0
EON,5,20210210,111000,10.9,10.9,10.9,10.9,1000,0
EON,5,20210210,115500,10.9,10.9,10.9,10.9,300,0
EON,5,20210217,110000,10.9,10.9,10.9,10.9,3405,0
EON,5,20210217,110500,10.9,10.9,10.9,10.9,520,0
EON,5,20210217,121500,10.9,10.9,10.9,10.9,1000,0
EON,5,20210224,110000,11,11,11,11,3020,0
EON,5,20210303,110000,11,11,11,11,1000,0
EON,5,20210303,111000,11,11,11,11,942,0
EON,5,20210310,110000,11.5,11.5,11.5,11.5,1611,0
EON,5,20210310,120500,11.5,11.5,11.5,11.5,1000,0
EON,5,20210317,110000,11.5,11.5,11.5,11.5,5382,0
EON,5,20210324,110000,11.3,11.3,11.3,11.3,4007,0
