<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPR,5,20210204,095500,3.5,3.5,3.5,3.5,20,0
EPR,5,20210204,100500,3.5,3.5,3.5,3.5,284,0
EPR,5,20210204,105000,3.5,3.5,3.5,3.5,1,0
EPR,5,20210204,130500,3.48,3.48,3.48,3.48,1,0
EPR,5,20210204,142000,3.48,3.48,3.34,3.34,1053,0
EPR,5,20210204,144500,3.4,3.7,3.4,3.7,2950,0
EPR,5,20210204,160500,3.42,3.42,3.4,3.4,2450,0
EPR,5,20210204,161000,3.4,3.4,3.4,3.4,50,0
EPR,5,20210204,162500,3.6,3.6,3.6,3.6,1,0
EPR,5,20210204,164500,3.68,3.68,3.68,3.68,1,0
EPR,5,20210205,093500,3.64,3.64,3.64,3.64,200,0
EPR,5,20210205,110000,3.66,3.66,3.66,3.66,1000,0
EPR,5,20210205,140500,3.56,3.56,3.56,3.56,498,0
EPR,5,20210208,090500,3.56,3.56,3.56,3.56,10,0
EPR,5,20210208,100500,3.56,3.64,3.44,3.44,1970,0
EPR,5,20210208,124500,3.64,3.64,3.64,3.64,50,0
EPR,5,20210208,141000,3.44,3.44,3.44,3.44,500,0
EPR,5,20210208,150000,3.44,3.44,3.44,3.44,499,0
EPR,5,20210208,151500,3.64,3.64,3.64,3.64,1,0
EPR,5,20210209,090500,3.6,3.6,3.6,3.6,30,0
EPR,5,20210209,091500,3.5,3.5,3.4,3.4,420,0
EPR,5,20210209,092000,3.38,3.38,3.06,3.24,5080,0
EPR,5,20210209,095000,3.32,3.5,3.32,3.5,233,0
EPR,5,20210209,100500,3.4,3.4,3.4,3.4,5,0
EPR,5,20210209,102500,3.4,3.42,3.4,3.42,795,0
EPR,5,20210209,122500,3.42,3.42,3.42,3.42,28,0
EPR,5,20210209,123000,3.42,3.42,3.42,3.42,272,0
EPR,5,20210209,124000,3.42,3.42,3.42,3.42,164,0
EPR,5,20210209,142500,3.46,3.58,3.46,3.56,2805,0
EPR,5,20210210,090000,3.56,3.56,3.56,3.56,10,0
EPR,5,20210210,091000,3.54,3.54,3.54,3.54,20,0
EPR,5,20210210,093500,3.54,3.56,3.54,3.56,1732,0
EPR,5,20210210,135000,3.5,3.5,3.5,3.5,661,0
EPR,5,20210211,124500,3.56,3.56,3.56,3.56,1,0
EPR,5,20210212,092000,3.56,3.56,3.56,3.56,1,0
EPR,5,20210212,101500,3.56,3.58,3.56,3.58,1000,0
EPR,5,20210212,151500,3.58,3.6,3.58,3.6,300,0
EPR,5,20210212,161000,3.58,3.58,3.58,3.58,207,0
EPR,5,20210215,090000,3.64,3.64,3.64,3.64,10,0
EPR,5,20210215,101000,3.62,3.64,3.62,3.64,1500,0
EPR,5,20210215,113500,3.46,3.46,3.46,3.46,300,0
