<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERH,5,20210204,150000,10,10,10,10,600,0
ERH,5,20210204,150500,10,10,10,10,10,0
ERH,5,20210205,110000,9.5,9.5,9.5,9.5,1501,0
ERH,5,20210205,112000,9.5,9.5,9.5,9.5,655,0
ERH,5,20210205,150000,9.3,9.3,9.3,9.3,100,0
ERH,5,20210205,152000,9.3,9.3,9.3,9.3,184,0
ERH,5,20210209,110000,9.5,9.5,9.5,9.5,14,0
ERH,5,20210209,111000,9.5,9.5,9.5,9.5,21,0
ERH,5,20210209,150000,9.7,9.7,9.7,9.7,150,0
ERH,5,20210210,110000,9.5,9.5,9.5,9.5,145,0
ERH,5,20210211,110000,9.35,9.35,9.35,9.35,355,0
ERH,5,20210211,150000,9.35,9.35,9.35,9.35,179,0
ERH,5,20210212,110000,9.35,9.35,9.35,9.35,305,0
ERH,5,20210212,150000,9.35,9.35,9.35,9.35,180,0
ERH,5,20210212,150500,9.35,9.35,9.35,9.35,250,0
ERH,5,20210215,110000,9.4,9.4,9.4,9.4,110,0
ERH,5,20210216,110000,9.5,9.5,9.5,9.5,100,0
ERH,5,20210216,150000,9.5,9.5,9.5,9.5,2,0
ERH,5,20210216,150500,9.5,9.5,9.5,9.5,324,0
ERH,5,20210217,110000,9.4,9.4,9.4,9.4,1,0
ERH,5,20210217,150000,9.6,9.6,9.6,9.6,1,0
ERH,5,20210219,150000,9.6,9.6,9.6,9.6,180,0
ERH,5,20210222,110000,9.65,9.65,9.65,9.65,63,0
ERH,5,20210223,110000,9.75,9.75,9.75,9.75,54,0
ERH,5,20210224,150000,9.8,9.8,9.8,9.8,1,0
ERH,5,20210225,150000,9.8,9.8,9.8,9.8,20,0
ERH,5,20210301,110000,9.9,9.9,9.9,9.9,159,0
ERH,5,20210301,110500,9.9,9.9,9.9,9.9,45,0
ERH,5,20210301,150000,10,10,10,10,5,0
ERH,5,20210302,110000,9.95,9.95,9.95,9.95,120,0
ERH,5,20210302,152500,9.95,9.95,9.95,9.95,30,0
ERH,5,20210303,110000,9.95,9.95,9.95,9.95,200,0
ERH,5,20210305,150000,9.95,9.95,9.95,9.95,10,0
ERH,5,20210308,111000,9.95,9.95,9.95,9.95,50,0
ERH,5,20210308,150000,9.95,9.95,9.95,9.95,240,0
ERH,5,20210309,110000,9.9,9.9,9.9,9.9,171,0
ERH,5,20210310,110000,9.9,9.9,9.9,9.9,110,0
ERH,5,20210312,110000,9.3,9.3,9.3,9.3,380,0
ERH,5,20210312,150000,9.3,9.3,9.3,9.3,343,0
ERH,5,20210315,110000,9.1,9.1,9.1,9.1,105,0
ERH,5,20210316,150000,9.15,9.15,9.15,9.15,663,0
ERH,5,20210317,150000,9,9,9,9,100,0
ERH,5,20210317,152000,9,9,9,9,177,0
ERH,5,20210322,110000,8.55,8.55,8.55,8.55,46,0
ERH,5,20210322,150000,8.6,8.6,8.6,8.6,407,0
ERH,5,20210322,152500,8.6,8.6,8.6,8.6,470,0
ERH,5,20210323,150000,9,9,9,9,5,0
ERH,5,20210324,110000,9.2,9.2,9.2,9.2,50,0
ERH,5,20210325,150000,9.2,9.2,9.2,9.2,250,0
ERH,5,20210326,110000,9.2,9.2,9.2,9.2,50,0
ERH,5,20210326,111000,9.2,9.2,9.2,9.2,100,0
