<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETX,5,20210205,150000,2.8,2.8,2.8,2.8,2745,0
ETX,5,20210208,150000,2.7,2.7,2.7,2.7,3000,0
ETX,5,20210209,110000,2.94,2.94,2.94,2.94,150,0
ETX,5,20210209,150000,2.94,2.94,2.94,2.94,355,0
ETX,5,20210210,150000,2.94,2.94,2.94,2.94,46,0
ETX,5,20210211,110000,2.74,2.74,2.74,2.74,1000,0
ETX,5,20210211,150000,2.94,2.94,2.94,2.94,150,0
ETX,5,20210211,151500,2.94,2.94,2.94,2.94,26,0
ETX,5,20210212,110000,2.8,2.8,2.8,2.8,200,0
ETX,5,20210212,150000,2.74,2.74,2.74,2.74,260,0
ETX,5,20210215,110000,2.74,2.74,2.74,2.74,1129,0
ETX,5,20210215,150000,2.74,2.74,2.74,2.74,500,0
ETX,5,20210216,110000,2.68,2.68,2.68,2.68,1031,0
ETX,5,20210216,110500,2.68,2.68,2.68,2.68,444,0
ETX,5,20210216,150000,2.78,2.78,2.78,2.78,1500,0
ETX,5,20210218,110000,2.64,2.64,2.64,2.64,89,0
ETX,5,20210218,150000,2.8,2.8,2.8,2.8,94,0
ETX,5,20210222,110000,2.8,2.8,2.8,2.8,50,0
ETX,5,20210224,110000,2.8,2.8,2.8,2.8,348,0
ETX,5,20210224,150000,2.9,2.9,2.9,2.9,1000,0
ETX,5,20210226,110000,2.9,2.9,2.9,2.9,100,0
ETX,5,20210226,150000,2.62,2.62,2.62,2.62,1707,0
ETX,5,20210301,110000,2.6,2.6,2.6,2.6,4682,0
ETX,5,20210302,110000,2.52,2.52,2.52,2.52,500,0
ETX,5,20210302,150000,2.54,2.54,2.54,2.54,55,0
ETX,5,20210303,150000,2.5,2.5,2.5,2.5,1000,0
ETX,5,20210304,110000,2.5,2.5,2.5,2.5,382,0
ETX,5,20210305,150000,2.5,2.5,2.5,2.5,608,0
ETX,5,20210305,152000,2.5,2.5,2.5,2.5,57,0
ETX,5,20210308,150000,2.52,2.52,2.52,2.52,854,0
ETX,5,20210308,152000,2.52,2.52,2.52,2.52,446,0
ETX,5,20210309,110000,2.52,2.52,2.52,2.52,250,0
ETX,5,20210309,150000,2.54,2.54,2.54,2.54,472,0
ETX,5,20210310,150000,2.58,2.58,2.58,2.58,76,0
ETX,5,20210310,152000,2.58,2.58,2.58,2.58,504,0
ETX,5,20210312,150000,2.5,2.5,2.5,2.5,1000,0
ETX,5,20210315,150000,2.5,2.5,2.5,2.5,850,0
ETX,5,20210316,112500,2.5,2.5,2.5,2.5,100,0
ETX,5,20210317,110000,2.5,2.5,2.5,2.5,34,0
ETX,5,20210317,150000,2.5,2.5,2.5,2.5,379,0
ETX,5,20210318,110000,2.52,2.52,2.52,2.52,800,0
ETX,5,20210318,150000,2.4,2.4,2.4,2.4,950,0
ETX,5,20210319,150000,2.4,2.4,2.4,2.4,1530,0
ETX,5,20210322,110000,2.64,2.64,2.64,2.64,50,0
ETX,5,20210322,150000,2.44,2.44,2.44,2.44,1153,0
ETX,5,20210323,150000,2.34,2.34,2.34,2.34,800,0
ETX,5,20210325,150000,2.3,2.3,2.3,2.3,2000,0
