<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXA,5,20210205,090000,5.6,5.6,5.6,5.6,1000,0
EXA,5,20210205,133000,5.7,5.7,5.7,5.7,200,0
EXA,5,20210205,152000,5.7,5.7,5.7,5.7,800,0
EXA,5,20210208,110000,5.7,5.7,5.7,5.7,50,0
EXA,5,20210209,092000,5.7,5.7,5.7,5.7,2,0
EXA,5,20210210,113000,5.65,5.65,5.65,5.65,10,0
EXA,5,20210210,164500,5.6,5.6,5.6,5.6,250,0
EXA,5,20210211,090000,5.65,5.65,5.65,5.65,149,0
EXA,5,20210211,093000,5.65,5.65,5.65,5.65,250,0
EXA,5,20210211,095000,5.6,5.6,5.55,5.55,370,0
EXA,5,20210212,092500,5.5,5.5,5.5,5.5,2,0
EXA,5,20210212,093000,5.6,5.65,5.6,5.65,100,0
EXA,5,20210215,094500,5.65,5.65,5.65,5.65,2,0
EXA,5,20210215,114000,5.6,5.65,5.6,5.65,400,0
EXA,5,20210216,092000,5.65,5.65,5.65,5.65,2,0
EXA,5,20210216,103500,5.5,5.5,5.5,5.5,116,0
EXA,5,20210216,161000,5.5,5.5,5.5,5.5,1000,0
EXA,5,20210217,124000,5.6,5.65,5.6,5.65,100,0
EXA,5,20210218,093500,5.65,5.65,5.65,5.65,2,0
EXA,5,20210219,094000,5.65,5.65,5.65,5.65,2,0
EXA,5,20210222,095000,5.65,5.65,5.65,5.65,2,0
EXA,5,20210223,091500,5.65,5.65,5.65,5.65,2,0
EXA,5,20210223,150500,5.5,5.5,5.5,5.5,600,0
EXA,5,20210224,100000,5.5,5.5,5.5,5.5,2,0
EXA,5,20210225,094000,5.5,5.5,5.5,5.5,10,0
EXA,5,20210225,145500,5.5,5.5,5.5,5.5,100,0
EXA,5,20210226,093500,5.5,5.5,5.5,5.5,10,0
EXA,5,20210302,094000,5.55,5.55,5.55,5.55,365,0
EXA,5,20210302,102000,5.55,5.55,5.55,5.55,105,0
EXA,5,20210302,132500,5.6,5.6,5.6,5.6,30,0
EXA,5,20210303,091500,5.6,5.6,5.6,5.6,2,0
EXA,5,20210303,103500,5.6,5.6,5.6,5.6,626,0
EXA,5,20210304,093500,5.5,5.5,5.5,5.5,5,0
EXA,5,20210305,104000,5.5,5.5,5.5,5.5,2,0
EXA,5,20210305,111500,5.5,5.5,5.5,5.5,544,0
EXA,5,20210308,092500,5.55,5.55,5.55,5.55,2,0
EXA,5,20210309,093500,5.55,5.55,5.55,5.55,2,0
EXA,5,20210310,095000,5.55,5.55,5.55,5.55,2,0
EXA,5,20210311,093500,5.55,5.55,5.55,5.55,2,0
EXA,5,20210312,095000,5.55,5.55,5.55,5.55,2,0
EXA,5,20210312,144000,5.45,5.45,5.4,5.4,470,0
EXA,5,20210312,144500,5.4,5.4,5.4,5.4,50,0
EXA,5,20210315,094000,5.4,5.4,5.4,5.4,10,0
EXA,5,20210316,104500,5.4,5.4,5.4,5.4,20,0
EXA,5,20210317,091000,5.45,5.45,5.45,5.45,2,0
EXA,5,20210318,093000,5.4,5.4,5.4,5.4,2,0
EXA,5,20210318,100000,5.4,5.4,5.4,5.4,152,0
EXA,5,20210318,151000,5.4,5.4,5.4,5.4,669,0
EXA,5,20210319,101500,5.45,5.45,5.45,5.45,2,0
EXA,5,20210322,102000,5.45,5.45,5.45,5.45,2,0
EXA,5,20210323,095000,5.45,5.45,5.45,5.45,2,0
EXA,5,20210324,095500,5.45,5.45,5.45,5.45,2,0
EXA,5,20210325,092500,5.45,5.45,5.45,5.45,2,0
EXA,5,20210325,120000,5.45,5.45,5.45,5.45,228,0
EXA,5,20210326,101500,5.4,5.4,5.4,5.4,2,0
EXA,5,20210326,113000,5.5,5.55,5.5,5.55,90,0
EXA,5,20210326,132000,5.6,5.6,5.55,5.55,400,0
