<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXC,5,20210204,090000,0.28,0.288,0.276,0.288,246243,0
EXC,5,20210204,090500,0.286,0.3,0.286,0.29,242050,0
EXC,5,20210204,091000,0.29,0.298,0.29,0.296,84628,0
EXC,5,20210204,091500,0.298,0.298,0.292,0.296,59900,0
EXC,5,20210204,092000,0.294,0.294,0.294,0.294,3450,0
EXC,5,20210204,092500,0.29,0.292,0.29,0.29,37000,0
EXC,5,20210204,093000,0.292,0.298,0.292,0.298,93672,0
EXC,5,20210204,093500,0.3,0.3,0.29,0.298,182201,0
EXC,5,20210204,094000,0.298,0.3,0.294,0.294,57180,0
EXC,5,20210204,094500,0.298,0.3,0.292,0.3,78143,0
EXC,5,20210204,095000,0.3,0.306,0.298,0.306,307527,0
EXC,5,20210204,095500,0.306,0.316,0.306,0.31,330909,0
EXC,5,20210204,100000,0.31,0.32,0.31,0.32,267822,0
EXC,5,20210204,100500,0.32,0.33,0.32,0.328,367973,0
EXC,5,20210204,101000,0.328,0.33,0.308,0.32,257687,0
EXC,5,20210204,101500,0.314,0.32,0.312,0.32,113409,0
EXC,5,20210204,102000,0.32,0.324,0.314,0.324,137082,0
EXC,5,20210204,102500,0.32,0.328,0.318,0.318,203418,0
EXC,5,20210204,103000,0.324,0.326,0.32,0.32,115448,0
EXC,5,20210204,103500,0.32,0.322,0.32,0.32,49015,0
EXC,5,20210204,104000,0.322,0.324,0.32,0.32,49425,0
EXC,5,20210204,104500,0.318,0.32,0.314,0.32,44975,0
EXC,5,20210204,105000,0.32,0.328,0.32,0.328,201107,0
EXC,5,20210204,105500,0.326,0.328,0.324,0.328,182509,0
EXC,5,20210204,110000,0.326,0.332,0.326,0.332,460327,0
EXC,5,20210204,110500,0.33,0.33,0.32,0.33,159421,0
EXC,5,20210204,111000,0.33,0.336,0.33,0.334,198354,0
EXC,5,20210204,111500,0.334,0.336,0.328,0.328,88402,0
EXC,5,20210204,112000,0.326,0.33,0.322,0.33,151650,0
EXC,5,20210204,112500,0.332,0.334,0.33,0.334,66334,0
EXC,5,20210204,113000,0.334,0.334,0.324,0.33,81359,0
EXC,5,20210204,113500,0.33,0.334,0.33,0.33,39229,0
EXC,5,20210204,114000,0.33,0.33,0.326,0.326,26000,0
EXC,5,20210204,114500,0.326,0.332,0.324,0.332,236344,0
EXC,5,20210204,115000,0.33,0.336,0.33,0.336,112462,0
EXC,5,20210204,115500,0.336,0.336,0.33,0.33,93810,0
EXC,5,20210204,120000,0.33,0.336,0.33,0.336,281927,0
EXC,5,20210204,122500,0.346,0.36,0.346,0.356,1140924,0
EXC,5,20210204,123000,0.356,0.362,0.356,0.36,366125,0
EXC,5,20210204,123500,0.358,0.358,0.34,0.342,330504,0
EXC,5,20210204,124000,0.346,0.35,0.336,0.34,323640,0
EXC,5,20210204,124500,0.338,0.342,0.334,0.336,253555,0
EXC,5,20210204,125000,0.34,0.34,0.324,0.324,216342,0
EXC,5,20210204,125500,0.328,0.33,0.31,0.312,828925,0
EXC,5,20210204,130000,0.312,0.32,0.3,0.3,1404682,0
EXC,5,20210204,130500,0.298,0.316,0.292,0.312,798167,0
EXC,5,20210204,131000,0.316,0.316,0.3,0.302,328293,0
EXC,5,20210204,131500,0.306,0.318,0.302,0.318,107672,0
EXC,5,20210204,132000,0.316,0.316,0.308,0.316,33248,0
EXC,5,20210204,132500,0.316,0.32,0.316,0.318,115936,0
EXC,5,20210204,133000,0.318,0.318,0.316,0.316,19400,0
EXC,5,20210204,133500,0.316,0.318,0.316,0.318,43754,0
EXC,5,20210204,134000,0.318,0.324,0.31,0.32,131012,0
EXC,5,20210204,134500,0.32,0.32,0.316,0.32,26100,0
EXC,5,20210204,135000,0.32,0.328,0.316,0.328,141559,0
EXC,5,20210204,135500,0.32,0.324,0.316,0.324,69774,0
EXC,5,20210204,140000,0.316,0.316,0.316,0.316,2500,0
EXC,5,20210204,140500,0.32,0.326,0.32,0.324,38638,0
EXC,5,20210204,141000,0.324,0.326,0.324,0.326,13100,0
EXC,5,20210204,141500,0.324,0.324,0.31,0.314,88714,0
EXC,5,20210204,142000,0.314,0.318,0.31,0.318,45327,0
EXC,5,20210204,142500,0.314,0.314,0.312,0.312,25640,0
EXC,5,20210204,143000,0.314,0.32,0.314,0.32,27322,0
EXC,5,20210204,143500,0.314,0.318,0.314,0.314,35558,0
EXC,5,20210204,144000,0.314,0.318,0.314,0.314,26112,0
EXC,5,20210204,144500,0.314,0.314,0.312,0.312,27663,0
EXC,5,20210204,145000,0.31,0.312,0.31,0.31,83343,0
EXC,5,20210204,145500,0.31,0.312,0.306,0.306,101836,0
EXC,5,20210204,150000,0.306,0.31,0.304,0.304,60290,0
EXC,5,20210204,150500,0.308,0.31,0.304,0.304,21340,0
EXC,5,20210204,151000,0.31,0.314,0.31,0.314,22053,0
EXC,5,20210204,151500,0.314,0.314,0.314,0.314,32000,0
EXC,5,20210204,152000,0.314,0.318,0.314,0.318,3330,0
EXC,5,20210204,152500,0.314,0.314,0.31,0.31,20000,0
EXC,5,20210204,153000,0.31,0.31,0.31,0.31,7337,0
EXC,5,20210204,153500,0.316,0.316,0.316,0.316,20000,0
EXC,5,20210204,154000,0.312,0.314,0.31,0.314,13925,0
EXC,5,20210204,154500,0.312,0.314,0.312,0.314,5450,0
EXC,5,20210204,155000,0.314,0.314,0.314,0.314,22900,0
EXC,5,20210204,155500,0.316,0.318,0.316,0.318,31783,0
EXC,5,20210204,160000,0.318,0.322,0.318,0.322,117917,0
EXC,5,20210204,160500,0.322,0.322,0.322,0.322,11065,0
EXC,5,20210204,161000,0.322,0.326,0.322,0.326,67500,0
EXC,5,20210204,161500,0.326,0.326,0.326,0.326,12600,0
EXC,5,20210204,162000,0.326,0.326,0.318,0.318,87250,0
EXC,5,20210204,162500,0.322,0.324,0.318,0.324,81945,0
EXC,5,20210204,163000,0.32,0.324,0.32,0.324,9000,0
EXC,5,20210204,163500,0.324,0.324,0.318,0.32,13873,0
EXC,5,20210204,164000,0.32,0.32,0.32,0.32,5000,0
EXC,5,20210204,164500,0.32,0.324,0.32,0.322,65349,0
EXC,5,20210205,090000,0.33,0.34,0.328,0.34,552260,0
EXC,5,20210205,090500,0.34,0.348,0.334,0.338,298913,0
EXC,5,20210205,091000,0.338,0.34,0.338,0.338,41915,0
EXC,5,20210205,091500,0.34,0.34,0.328,0.328,155242,0
EXC,5,20210205,092000,0.326,0.33,0.308,0.33,230477,0
