<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
F51,5,20210204,090000,53.5,53.7,53.5,53.7,709,0
F51,5,20210204,090500,53.7,53.7,53.7,53.7,30,0
F51,5,20210204,092500,53.2,53.2,53.2,53.2,100,0
F51,5,20210204,093500,53.7,54,53.7,54,1948,0
F51,5,20210204,094000,54.2,54.5,54.2,54.5,621,0
F51,5,20210204,094500,54.4,54.5,54.4,54.5,100,0
F51,5,20210204,095000,54.5,54.6,54.5,54.6,990,0
F51,5,20210204,095500,54.7,54.7,54.7,54.7,90,0
F51,5,20210204,100500,54.8,54.9,54.6,54.6,272,0
F51,5,20210204,101000,54.6,54.6,54.6,54.6,75,0
F51,5,20210204,101500,54.6,54.6,54.6,54.6,77,0
F51,5,20210204,102000,54.6,54.6,54.6,54.6,100,0
F51,5,20210204,102500,54.7,54.7,54.7,54.7,41,0
F51,5,20210204,103000,54.8,54.8,54.6,54.6,160,0
F51,5,20210204,103500,54.6,54.6,54.6,54.6,96,0
F51,5,20210204,105500,54.4,54.4,54.3,54.3,243,0
F51,5,20210204,111000,54.7,54.7,54.7,54.7,15,0
F51,5,20210204,112000,54.6,54.7,54.6,54.7,273,0
F51,5,20210204,113000,54.6,54.6,54.6,54.6,30,0
F51,5,20210204,114500,54.5,54.5,54.2,54.2,120,0
F51,5,20210204,115500,54.6,54.6,54.6,54.6,2,0
F51,5,20210204,120500,54.6,54.6,54.6,54.6,100,0
F51,5,20210204,122000,54.6,54.6,54.6,54.6,4,0
F51,5,20210204,122500,54.6,54.6,54.6,54.6,175,0
F51,5,20210204,123000,54.6,54.6,54.3,54.3,50,0
F51,5,20210204,124500,54.6,54.6,54.6,54.6,9,0
F51,5,20210204,125000,54.3,54.3,54.3,54.3,3,0
F51,5,20210204,131000,54.3,54.3,54.2,54.2,93,0
F51,5,20210204,131500,54.2,54.2,54.2,54.2,7,0
F51,5,20210204,132000,54.4,54.4,54.4,54.4,12,0
F51,5,20210204,132500,54.2,54.2,54.2,54.2,90,0
F51,5,20210204,133000,54.4,54.4,54.4,54.4,183,0
F51,5,20210204,134000,54.1,54.1,54.1,54.1,30,0
F51,5,20210204,143500,54.4,54.6,54.4,54.6,667,0
F51,5,20210204,150000,54.5,54.7,54.5,54.7,179,0
F51,5,20210204,150500,54.8,54.8,54.8,54.8,300,0
F51,5,20210204,152500,54.7,54.7,54.1,54.4,682,0
F51,5,20210204,153500,54.4,54.8,54.1,54.8,195,0
F51,5,20210204,160000,54.6,54.6,54.6,54.6,5,0
F51,5,20210204,161000,54.8,55,54.8,55,784,0
F51,5,20210204,161500,55,55.3,55,55.3,378,0
F51,5,20210204,162000,55.5,55.7,55.5,55.7,825,0
F51,5,20210204,162500,55.7,55.7,55.2,55.2,337,0
F51,5,20210204,163000,55.6,55.7,55.6,55.7,150,0
F51,5,20210204,163500,55.7,55.7,55.7,55.7,75,0
F51,5,20210204,164500,55.7,55.7,55.7,55.7,280,0
F51,5,20210205,090000,55.5,55.5,55.5,55.5,100,0
F51,5,20210205,091000,55.4,55.6,55.4,55.5,169,0
F51,5,20210205,091500,54.7,54.7,54.4,54.5,273,0
F51,5,20210205,092000,55.5,55.5,55.5,55.5,10,0
F51,5,20210205,095500,55.3,55.3,55.3,55.3,5,0
F51,5,20210205,100500,55,55,55,55,10,0
F51,5,20210205,101000,55.3,55.3,55.3,55.3,1,0
F51,5,20210205,103500,55.3,55.5,54.5,55.4,70,0
F51,5,20210205,105500,54.9,54.9,54.9,54.9,140,0
F51,5,20210205,110000,54.9,55.2,54.9,55.2,30,0
F51,5,20210205,112000,55.3,55.3,55.3,55.3,60,0
F51,5,20210205,112500,55.3,55.4,55.3,55.4,130,0
F51,5,20210205,113000,55,55.4,54.9,55.4,60,0
F51,5,20210205,114500,55.4,55.4,55.4,55.4,15,0
F51,5,20210205,115000,55.4,55.4,55.4,55.4,32,0
F51,5,20210205,124000,55.3,55.3,55.3,55.3,200,0
F51,5,20210205,124500,55.4,55.4,55.4,55.4,54,0
F51,5,20210205,130000,55.4,55.4,55.4,55.4,128,0
F51,5,20210205,130500,55.4,55.4,55,55,13,0
F51,5,20210205,131000,54.9,55.3,54.9,55.3,62,0
F51,5,20210205,131500,55.3,55.5,55.3,55.5,19,0
F51,5,20210205,133000,55.5,55.6,55.5,55.6,100,0
F51,5,20210205,134500,55,55,55,55,70,0
F51,5,20210205,135000,55.6,55.6,55.6,55.6,5,0
F51,5,20210205,135500,55.5,55.5,55.5,55.5,50,0
F51,5,20210205,140000,55.5,55.5,55.5,55.5,9,0
F51,5,20210205,141500,55.1,55.1,55.1,55.1,100,0
F51,5,20210205,144000,55.1,55.1,55.1,55.1,93,0
F51,5,20210205,145500,55.1,55.1,55,55,132,0
F51,5,20210205,152000,55,55,55,55,10,0
F51,5,20210205,154500,54.9,54.9,54.6,54.6,116,0
F51,5,20210205,155000,54.6,54.6,54.6,54.6,1,0
F51,5,20210205,161500,55.3,55.3,55.3,55.3,50,0
F51,5,20210205,162000,55.4,55.5,55.4,55.5,325,0
F51,5,20210205,162500,55.5,55.8,55.5,55.8,920,0
F51,5,20210205,163000,55.8,55.8,55.8,55.8,293,0
F51,5,20210205,163500,56,56.5,56,56.5,810,0
F51,5,20210205,164000,56,56,56,56,1494,0
F51,5,20210205,164500,56.5,56.5,56.5,56.5,248,0
F51,5,20210208,090000,57.8,57.8,56.6,56.8,1748,0
F51,5,20210208,090500,57.1,58,57.1,58,915,0
F51,5,20210208,091000,56.8,57.8,56.8,57.8,39,0
F51,5,20210208,092000,57,57,57,57,260,0
F51,5,20210208,092500,57,57,57,57,40,0
F51,5,20210208,093000,57.5,57.5,57.5,57.5,200,0
F51,5,20210208,094500,56.8,56.8,56.8,56.8,10,0
F51,5,20210208,095500,57.2,57.2,56.8,57.2,225,0
F51,5,20210208,100000,56.9,56.9,56.9,56.9,25,0
F51,5,20210208,100500,56.9,56.9,56.9,56.9,100,0
F51,5,20210208,101000,56.9,56.9,56.9,56.9,24,0
F51,5,20210208,101500,57,57,57,57,37,0
F51,5,20210208,102000,57,57.1,57,57.1,190,0
F51,5,20210208,102500,57.1,57.2,57.1,57.2,15,0
F51,5,20210208,104000,56.9,56.9,56.7,56.7,285,0
F51,5,20210208,104500,56.7,56.7,56.6,56.6,114,0
F51,5,20210208,105000,56.7,56.7,56.7,56.7,3,0
F51,5,20210208,105500,56.5,56.5,56.5,56.5,196,0
F51,5,20210208,110000,56.5,56.5,56.2,56.2,275,0
F51,5,20210208,110500,56.5,57,56.5,56.8,20,0
F51,5,20210208,111500,56.5,56.5,56.5,56.5,10,0
F51,5,20210208,112000,56.5,56.8,56.5,56.8,120,0
F51,5,20210208,112500,57,57,57,57,100,0
F51,5,20210208,113000,57,57,57,57,440,0
F51,5,20210208,113500,57.2,57.4,57,57,603,0
F51,5,20210208,114000,57,57,57,57,15,0
F51,5,20210208,114500,57,57,57,57,95,0
F51,5,20210208,115000,57.4,57.4,57.4,57.4,10,0
F51,5,20210208,115500,57,57,57,57,14,0
F51,5,20210208,120000,57.1,57.4,57.1,57.4,111,0
F51,5,20210208,121500,57.4,57.4,57.4,57.4,39,0
F51,5,20210208,122000,57.1,57.1,57.1,57.1,5,0
F51,5,20210208,124000,57.1,57.1,57,57,263,0
F51,5,20210208,124500,57,57,57,57,55,0
F51,5,20210208,125000,57,57,56.9,57,23,0
F51,5,20210208,125500,56.6,57,56.6,57,135,0
F51,5,20210208,131500,57,57,57,57,40,0
F51,5,20210208,132000,56.5,56.5,56.5,56.5,200,0
F51,5,20210208,132500,56.6,56.6,56.6,56.6,119,0
F51,5,20210208,133000,56.5,56.5,56.5,56.5,1440,0
F51,5,20210208,133500,56.5,56.5,56,56,306,0
F51,5,20210208,134000,56.6,56.6,56.6,56.6,250,0
F51,5,20210208,134500,56.6,56.6,56,56,110,0
F51,5,20210208,140500,56.7,56.7,56.7,56.7,10,0
F51,5,20210208,150000,56.1,56.1,56.1,56.1,10,0
F51,5,20210208,150500,56.7,56.7,56.1,56.7,51,0
F51,5,20210208,151500,56.7,56.7,56.7,56.7,79,0
F51,5,20210208,152000,56.9,56.9,56.2,56.2,60,0
F51,5,20210208,152500,56.9,56.9,56.9,56.9,336,0
F51,5,20210208,155000,56.5,56.9,56.5,56.9,163,0
F51,5,20210208,160500,56.8,56.8,56.8,56.8,8,0
F51,5,20210208,162500,56.5,56.5,56.3,56.5,244,0
F51,5,20210208,163000,56.7,56.8,56.2,56.2,141,0
F51,5,20210208,164000,56.7,56.7,56.7,56.7,5,0
F51,5,20210208,164500,56.8,56.8,56.8,56.8,20,0
F51,5,20210209,090000,56,56,56,56,217,0
F51,5,20210209,090500,55.1,56,54,55.9,547,0
F51,5,20210209,091000,55.6,55.8,55.6,55.8,61,0
F51,5,20210209,091500,55,55,55,55,100,0
F51,5,20210209,092000,55.4,55.4,55.4,55.4,15,0
F51,5,20210209,092500,55.4,55.4,55.4,55.4,8,0
F51,5,20210209,093000,55.4,55.4,54.8,54.8,160,0
F51,5,20210209,093500,55,55,54.1,54.5,804,0
F51,5,20210209,094000,54.1,54.1,54,54,1503,0
F51,5,20210209,094500,54.7,54.7,54.7,54.7,3,0
F51,5,20210209,095000,54.7,54.8,54.7,54.8,72,0
F51,5,20210209,095500,54.8,54.8,53.9,53.9,992,0
F51,5,20210209,100000,53.8,54,53,53.1,2590,0
F51,5,20210209,100500,53.9,53.9,53.7,53.7,76,0
F51,5,20210209,101000,54,54.5,54,54.5,288,0
F51,5,20210209,102000,54.5,54.5,54.5,54.5,20,0
F51,5,20210209,102500,54.4,54.4,54,54,28,0
F51,5,20210209,103500,54.6,54.7,54.3,54.3,106,0
F51,5,20210209,104500,54.5,54.8,53.9,53.9,392,0
F51,5,20210209,110000,54.1,54.1,54,54,100,0
F51,5,20210209,110500,54,54,54,54,665,0
F51,5,20210209,112000,54.7,54.7,54,54,52,0
F51,5,20210209,114000,54.7,54.7,54.7,54.7,20,0
F51,5,20210209,114500,54.7,54.7,54.7,54.7,110,0
F51,5,20210209,115000,54.8,54.8,54.1,54.1,133,0
F51,5,20210209,120000,54.7,54.7,54.7,54.7,5,0
F51,5,20210209,121000,54.7,54.7,54.7,54.7,20,0
F51,5,20210209,122000,54.7,54.8,54.7,54.7,84,0
F51,5,20210209,124000,54.5,54.5,54.5,54.5,175,0
F51,5,20210209,130000,54.7,54.7,54.7,54.7,73,0
F51,5,20210209,130500,54.2,54.2,54.2,54.2,150,0
F51,5,20210209,131500,54.7,54.7,54.5,54.7,117,0
F51,5,20210209,134000,54.5,54.5,54.5,54.5,289,0
F51,5,20210209,140000,54.6,54.6,54.5,54.5,150,0
F51,5,20210209,140500,54.6,54.6,54.5,54.5,351,0
F51,5,20210209,141000,54.2,54.5,54.2,54.5,43,0
F51,5,20210209,141500,54.2,54.2,53.7,53.7,578,0
F51,5,20210209,142500,54.2,54.2,54.2,54.2,14,0
F51,5,20210209,143500,54.3,54.3,54.3,54.3,123,0
F51,5,20210209,145500,54,54,54,54,16,0
F51,5,20210209,151500,53.6,53.6,53.6,53.6,98,0
F51,5,20210209,152000,53.5,54,53.4,53.9,325,0
F51,5,20210209,152500,53.9,54,53.9,54,163,0
F51,5,20210209,153000,54,54,54,54,29,0
F51,5,20210209,155000,53.8,53.8,53.8,53.8,100,0
F51,5,20210209,160500,54,54,53.9,53.9,157,0
F51,5,20210209,161500,53.8,54,53.8,54,244,0
F51,5,20210209,162000,54,55,54,55,1574,0
F51,5,20210209,162500,54.9,55.8,54.8,55.8,600,0
F51,5,20210209,163000,55.7,55.8,55.7,55.8,170,0
F51,5,20210209,163500,55.3,55.5,55.3,55.5,600,0
F51,5,20210209,164500,55.5,55.8,55.5,55.5,193,0
F51,5,20210210,090000,54.1,55,53.9,53.9,672,0
F51,5,20210210,090500,53.7,54.9,53.7,54.9,74,0
F51,5,20210210,091000,54.9,55,54.1,54.1,96,0
F51,5,20210210,091500,54.1,54.1,54,54,20,0
F51,5,20210210,093500,55,55.8,55,55.8,150,0
F51,5,20210210,094000,54.2,54.2,54.2,54.2,5,0
F51,5,20210210,094500,55.4,55.5,54.3,54.3,339,0
F51,5,20210210,095500,54.2,54.2,54.2,54.2,1,0
F51,5,20210210,100000,54.2,54.2,54.1,54.1,150,0
F51,5,20210210,101000,54,54,54,54,133,0
F51,5,20210210,102000,54.9,54.9,54.9,54.9,10,0
F51,5,20210210,102500,54.9,54.9,54.9,54.9,48,0
F51,5,20210210,103500,54,54,54,54,100,0
F51,5,20210210,105000,54,54,54,54,20,0
F51,5,20210210,110500,54,54,53.8,54,830,0
F51,5,20210210,111500,53.8,53.8,53.7,53.7,100,0
F51,5,20210210,113000,54,54,54,54,100,0
F51,5,20210210,113500,54.2,54.2,54.2,54.2,80,0
F51,5,20210210,114000,54.4,54.4,54.4,54.4,44,0
F51,5,20210210,115000,54,54,54,54,20,0
F51,5,20210210,121500,54,54.3,54,54.3,120,0
F51,5,20210210,123500,54.4,54.5,54.4,54.5,105,0
F51,5,20210210,124500,53.8,53.8,53.8,53.8,30,0
F51,5,20210210,130000,53.7,53.7,53.7,53.7,110,0
F51,5,20210210,130500,54,54,54,54,3,0
F51,5,20210210,132000,53.7,53.7,53.6,53.6,200,0
F51,5,20210210,132500,53.7,54.2,53.7,54.2,207,0
F51,5,20210210,133500,54,54.1,54,54.1,240,0
F51,5,20210210,134000,54.1,54.2,54,54.2,112,0
F51,5,20210210,135000,54.5,54.8,54.5,54.8,10,0
F51,5,20210210,141500,54.8,54.9,54.8,54.9,440,0
F51,5,20210210,142000,54.9,54.9,54.9,54.9,40,0
F51,5,20210210,142500,54.9,54.9,53.9,53.9,151,0
F51,5,20210210,143000,54,54,54,54,18,0
F51,5,20210210,143500,54.1,54.1,54.1,54.1,57,0
F51,5,20210210,144000,54.8,54.8,54.8,54.8,3,0
F51,5,20210210,151500,55,55,55,55,5,0
F51,5,20210210,152000,55,55,55,55,45,0
F51,5,20210210,152500,54.2,54.2,54.2,54.2,5,0
F51,5,20210210,154000,54.9,54.9,54.9,54.9,15,0
