<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHD,5,20210208,093500,2.54,2.54,2.54,2.54,187,0
FHD,5,20210208,100000,2.56,2.56,2.56,2.56,400,0
FHD,5,20210208,101500,2.5,2.5,2.5,2.5,800,0
FHD,5,20210208,120500,2.5,2.5,2.5,2.5,800,0
FHD,5,20210208,124500,2.58,2.62,2.58,2.62,1994,0
FHD,5,20210208,132500,2.62,2.62,2.6,2.6,2002,0
FHD,5,20210208,133000,2.58,2.58,2.58,2.58,595,0
FHD,5,20210208,140000,2.6,2.6,2.6,2.6,998,0
FHD,5,20210208,142000,2.62,2.62,2.62,2.62,770,0
FHD,5,20210209,121000,2.6,2.6,2.6,2.6,770,0
FHD,5,20210211,103000,2.6,2.6,2.6,2.6,101,0
FHD,5,20210212,153000,2.5,2.5,2.5,2.5,319,0
FHD,5,20210218,093500,2.62,2.62,2.62,2.62,607,0
FHD,5,20210218,095000,2.52,2.52,2.5,2.5,3881,0
FHD,5,20210219,123000,2.56,2.58,2.56,2.58,1796,0
FHD,5,20210219,164000,2.58,2.58,2.58,2.58,776,0
FHD,5,20210222,090000,2.62,2.62,2.62,2.62,274,0
FHD,5,20210222,090500,2.62,2.62,2.62,2.62,776,0
FHD,5,20210222,114500,2.68,2.68,2.68,2.68,1087,0
FHD,5,20210222,140500,2.74,2.74,2.74,2.74,80,0
FHD,5,20210223,134000,2.62,2.62,2.62,2.62,767,0
FHD,5,20210223,140500,2.52,2.52,2.52,2.52,1000,0
FHD,5,20210223,164000,2.52,2.52,2.52,2.52,700,0
FHD,5,20210224,093000,2.58,2.62,2.58,2.62,2661,0
FHD,5,20210224,132000,2.6,2.6,2.6,2.6,770,0
FHD,5,20210224,163500,2.52,2.52,2.52,2.52,3180,0
FHD,5,20210224,165500,2.6,2.6,2.6,2.6,770,0
FHD,5,20210226,162000,2.52,2.52,2.5,2.5,1351,0
FHD,5,20210226,162500,2.56,2.9,2.56,2.9,1344,0
FHD,5,20210301,091000,3,3.02,2.9,2.9,1554,0
FHD,5,20210302,132000,2.7,2.7,2.7,2.7,741,0
FHD,5,20210302,141500,2.74,2.74,2.74,2.74,202,0
FHD,5,20210305,102000,2.64,2.64,2.64,2.64,1000,0
FHD,5,20210305,105500,2.62,2.62,2.62,2.62,300,0
FHD,5,20210312,100000,2.66,2.66,2.66,2.66,5,0
FHD,5,20210312,121500,2.68,2.68,2.68,2.68,288,0
FHD,5,20210312,144000,2.68,2.68,2.68,2.68,162,0
FHD,5,20210317,091000,2.68,2.68,2.68,2.68,943,0
FHD,5,20210317,091500,2.68,2.68,2.68,2.68,57,0
FHD,5,20210318,111500,2.74,2.74,2.74,2.74,741,0
FHD,5,20210322,095500,3.22,3.24,3.22,3.24,306,0
FHD,5,20210322,163000,2.88,2.88,2.88,2.88,347,0
FHD,5,20210322,164500,3,3,3,3,1,0
FHD,5,20210323,090000,3,3,3,3,260,0
FHD,5,20210324,154000,2.88,2.88,2.88,2.88,400,0
FHD,5,20210325,094000,2.88,2.88,2.88,2.88,241,0
FHD,5,20210325,155000,2.88,2.88,2.88,2.88,254,0
FHD,5,20210325,162000,2.86,2.86,2.86,2.86,246,0
