<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIG,5,20210204,090000,0.88,0.88,0.88,0.88,1050,0
FIG,5,20210204,090500,0.88,0.88,0.88,0.88,400,0
FIG,5,20210204,091000,0.88,0.88,0.88,0.88,50,0
FIG,5,20210204,095000,0.92,0.92,0.92,0.92,30,0
FIG,5,20210204,104000,0.88,0.88,0.87,0.87,723,0
FIG,5,20210204,105000,0.855,0.855,0.855,0.855,1098,0
FIG,5,20210204,114500,0.855,0.855,0.85,0.85,3000,0
FIG,5,20210204,120000,0.91,0.91,0.91,0.91,1,0
FIG,5,20210204,152500,0.91,0.91,0.91,0.91,150,0
FIG,5,20210205,115500,0.9,0.9,0.9,0.9,407,0
FIG,5,20210205,124000,0.9,0.9,0.9,0.9,7078,0
FIG,5,20210205,133500,0.9,0.9,0.9,0.9,1015,0
FIG,5,20210205,163500,0.87,0.87,0.87,0.87,2441,0
FIG,5,20210205,164500,0.9,0.9,0.9,0.9,1,0
FIG,5,20210208,113000,0.88,0.88,0.87,0.87,8400,0
FIG,5,20210209,090000,0.9,0.9,0.9,0.9,1000,0
FIG,5,20210209,120500,0.89,0.89,0.89,0.89,1000,0
FIG,5,20210209,122000,0.89,0.89,0.89,0.89,500,0
FIG,5,20210210,102000,0.89,0.89,0.89,0.89,1000,0
FIG,5,20210210,114500,0.9,0.9,0.9,0.9,1500,0
FIG,5,20210211,090000,0.9,0.9,0.9,0.9,833,0
FIG,5,20210211,090500,0.91,0.91,0.91,0.91,298,0
FIG,5,20210211,092500,0.9,0.9,0.9,0.9,500,0
FIG,5,20210212,135000,0.9,0.9,0.855,0.855,565,0
FIG,5,20210215,092000,0.915,0.915,0.915,0.915,1200,0
FIG,5,20210215,095000,0.915,0.915,0.915,0.915,800,0
FIG,5,20210215,095500,0.915,0.915,0.915,0.915,300,0
FIG,5,20210215,101000,0.92,0.92,0.92,0.92,2103,0
FIG,5,20210215,105500,0.915,0.93,0.915,0.93,8144,0
FIG,5,20210215,112000,0.99,0.99,0.99,0.99,800,0
FIG,5,20210215,112500,1.01,1.01,1.01,1.01,2307,0
FIG,5,20210215,113000,1.02,1.02,0.93,0.93,9353,0
FIG,5,20210215,115500,1,1,1,1,503,0
FIG,5,20210215,120000,1,1.05,0.9,1.05,6838,0
FIG,5,20210215,120500,1.1,1.3,1.1,1.3,28541,0
FIG,5,20210215,121000,1.1,1.1,1.1,1.1,1164,0
FIG,5,20210215,121500,1.3,1.3,1.25,1.25,4246,0
FIG,5,20210215,122000,1.15,1.15,1.15,1.15,3000,0
FIG,5,20210215,122500,1.18,1.2,1.05,1.05,2800,0
FIG,5,20210215,123000,1.05,1.05,1.05,1.05,4892,0
FIG,5,20210215,123500,1.1,1.1,1.1,1.1,1951,0
FIG,5,20210215,124000,1.17,1.17,1.17,1.17,1999,0
FIG,5,20210215,125500,1.17,1.17,1.17,1.17,500,0
FIG,5,20210215,130000,1.17,1.18,1.17,1.18,3864,0
FIG,5,20210215,131000,1.15,1.15,1.15,1.15,7954,0
FIG,5,20210215,131500,1.15,1.15,1.15,1.15,3010,0
FIG,5,20210215,132000,1.15,1.15,1.14,1.15,2760,0
FIG,5,20210215,132500,1.1,1.18,1.1,1.16,2701,0
FIG,5,20210215,133500,1.12,1.12,1.12,1.12,360,0
FIG,5,20210215,134000,1.1,1.15,1.1,1.15,6000,0
FIG,5,20210215,135500,1.08,1.14,1.08,1.14,2000,0
FIG,5,20210215,142000,1.14,1.14,1.14,1.14,83,0
FIG,5,20210215,143500,1.13,1.13,1.13,1.13,3231,0
FIG,5,20210215,144000,1.13,1.13,1.13,1.13,1341,0
FIG,5,20210215,145000,1.14,1.15,1.14,1.15,6806,0
FIG,5,20210215,145500,1.15,1.17,1.15,1.17,3288,0
FIG,5,20210215,150000,1.18,1.18,1.18,1.18,1700,0
FIG,5,20210215,150500,1.19,1.26,1.19,1.26,16412,0
FIG,5,20210215,151000,1.26,1.26,1.26,1.26,500,0
FIG,5,20210215,151500,1.25,1.25,1.24,1.24,1400,0
FIG,5,20210215,152000,1.25,1.25,1.25,1.25,2000,0
FIG,5,20210215,152500,1.25,1.25,1.25,1.25,4438,0
FIG,5,20210215,153000,1.23,1.23,1.21,1.21,5100,0
FIG,5,20210215,154500,1.23,1.23,1.18,1.18,7000,0
FIG,5,20210215,155000,1.17,1.24,1.15,1.24,14049,0
FIG,5,20210215,155500,1.2,1.2,1.16,1.16,2749,0
FIG,5,20210215,160000,1.16,1.16,1.16,1.16,2400,0
FIG,5,20210215,161500,1.17,1.17,1.16,1.16,2300,0
FIG,5,20210215,162000,1.18,1.18,1.18,1.18,850,0
FIG,5,20210215,162500,1.18,1.18,1.18,1.18,1000,0
FIG,5,20210215,163000,1.18,1.18,1.18,1.18,93,0
FIG,5,20210215,163500,1.18,1.18,1.18,1.18,2197,0
FIG,5,20210215,164000,1.16,1.16,1.15,1.15,6677,0
FIG,5,20210215,164500,1.15,1.18,1.15,1.18,4739,0
