<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIV,5,20210204,090000,0.988,0.988,0.988,0.988,20,0
FIV,5,20210204,091000,0.98,0.99,0.98,0.99,6680,0
FIV,5,20210204,091500,1.01,1.01,1.01,1.01,15,0
FIV,5,20210204,093000,1.01,1.02,1.01,1.02,7975,0
FIV,5,20210204,095000,1,1.01,1,1.01,900,0
FIV,5,20210204,103500,1.02,1.02,1.02,1.02,490,0
FIV,5,20210204,112000,1.02,1.02,1.02,1.02,41,0
FIV,5,20210204,125500,1.01,1.01,1,1,6260,0
FIV,5,20210204,130000,1.02,1.02,1.02,1.02,1,0
FIV,5,20210204,135500,1,1,0.98,0.98,1000,0
FIV,5,20210204,140000,1.02,1.02,1.02,1.02,10,0
FIV,5,20210205,101500,1.02,1.02,1.02,1.02,10,0
FIV,5,20210205,102000,1.02,1.03,1.02,1.03,3810,0
FIV,5,20210205,103000,0.98,1.04,0.98,1.04,6190,0
FIV,5,20210205,105000,1.03,1.03,1.03,1.03,474,0
FIV,5,20210205,112500,1.02,1.02,1.02,1.02,938,0
FIV,5,20210205,132000,1,1,1,1,1500,0
FIV,5,20210205,132500,1,1.02,1,1.02,311,0
FIV,5,20210208,091000,1,1,1,1,20,0
FIV,5,20210208,092000,0.972,0.972,0.972,0.972,3113,0
FIV,5,20210208,092500,0.972,0.972,0.972,0.972,1025,0
FIV,5,20210208,101000,0.95,0.95,0.95,0.95,1000,0
FIV,5,20210208,102000,0.95,0.95,0.95,0.95,3000,0
FIV,5,20210208,103000,0.94,0.94,0.94,0.94,980,0
FIV,5,20210208,103500,0.972,1.01,0.972,1.01,962,0
FIV,5,20210208,110500,1.01,1.02,1.01,1.02,542,0
FIV,5,20210208,163500,0.99,0.99,0.99,0.99,1890,0
FIV,5,20210208,164000,1.02,1.02,1.02,1.02,1,0
FIV,5,20210209,090000,1.03,1.03,1.03,1.03,13,0
FIV,5,20210209,104500,1.02,1.03,1.02,1.03,1000,0
FIV,5,20210209,105000,0.96,0.96,0.96,0.96,3252,0
FIV,5,20210209,110000,1.03,1.03,1.03,1.03,18,0
FIV,5,20210209,110500,1.02,1.02,1.02,1.02,14,0
FIV,5,20210210,091000,1.02,1.02,1.02,1.02,20,0
FIV,5,20210210,095000,0.96,0.96,0.95,0.95,3000,0
FIV,5,20210210,100000,1.02,1.02,1.02,1.02,1,0
FIV,5,20210210,121000,0.96,0.96,0.96,0.96,1800,0
FIV,5,20210210,122000,0.99,0.99,0.99,0.99,10,0
FIV,5,20210210,153000,0.96,0.96,0.852,0.852,10000,0
FIV,5,20210210,153500,0.93,0.96,0.93,0.96,1314,0
FIV,5,20210210,155000,0.96,0.99,0.96,0.99,2046,0
FIV,5,20210210,162500,0.97,0.97,0.97,0.97,338,0
FIV,5,20210211,090000,0.98,0.98,0.98,0.98,1,0
FIV,5,20210211,152500,0.96,0.96,0.96,0.96,800,0
FIV,5,20210212,095000,0.96,0.96,0.96,0.96,100,0
FIV,5,20210212,110500,0.96,0.96,0.96,0.96,1270,0
FIV,5,20210212,115500,0.95,0.96,0.95,0.96,2100,0
FIV,5,20210212,125000,0.958,0.958,0.958,0.958,467,0
FIV,5,20210212,131500,0.958,0.958,0.958,0.958,80,0
FIV,5,20210212,144000,0.9,0.9,0.9,0.9,3900,0
