<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLG,5,20210204,090000,1,1,1,1,2700,0
FLG,5,20210204,091000,1,1.05,0.905,1.05,891,0
FLG,5,20210204,100500,1.02,1.02,1.02,1.02,5300,0
FLG,5,20210204,101500,1.02,1.03,1.02,1.03,1511,0
FLG,5,20210204,114000,0.95,1.02,0.95,1.02,2333,0
FLG,5,20210204,123500,1.02,1.03,1.02,1.03,1500,0
FLG,5,20210204,132000,1.03,1.03,1.03,1.03,8000,0
FLG,5,20210204,164000,1.03,1.03,1.03,1.03,600,0
FLG,5,20210205,111000,0.985,0.985,0.95,0.95,3139,0
FLG,5,20210205,145000,0.95,0.975,0.94,0.975,5012,0
FLG,5,20210205,155500,0.975,0.975,0.975,0.975,1400,0
FLG,5,20210208,090000,1,1,1,1,11,0
FLG,5,20210208,092500,0.945,0.945,0.94,0.94,498,0
FLG,5,20210208,093500,0.91,0.91,0.91,0.91,402,0
FLG,5,20210208,095000,1,1,1,1,11,0
FLG,5,20210208,141000,0.995,1,0.995,1,6000,0
FLG,5,20210208,145500,0.94,1,0.94,1,1043,0
FLG,5,20210208,150500,1,1.06,1,1.06,6237,0
FLG,5,20210208,154000,1.03,1.03,1.03,1.03,50,0
FLG,5,20210208,154500,1.01,1.01,1.01,1.01,1000,0
FLG,5,20210208,160500,1.03,1.03,1.03,1.03,23,0
FLG,5,20210209,090000,1.02,1.02,1.02,1.02,121,0
FLG,5,20210209,112000,0.995,0.995,0.97,0.97,4000,0
FLG,5,20210209,122500,1.02,1.02,1.02,1.02,11,0
FLG,5,20210209,131500,1.02,1.02,1.02,1.02,500,0
FLG,5,20210210,090000,1.02,1.05,1.02,1.05,7366,0
FLG,5,20210210,105000,1.03,1.03,1.03,1.03,2480,0
FLG,5,20210210,113000,1.05,1.05,1.05,1.05,19,0
FLG,5,20210210,150500,1.01,1.01,1.01,1.01,2000,0
