<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPO,5,20210204,095500,1.53,1.53,1.53,1.53,1000,0
FPO,5,20210204,100000,1.53,1.53,1.53,1.53,4274,0
FPO,5,20210204,100500,1.53,1.53,1.53,1.53,2000,0
FPO,5,20210204,113000,1.53,1.53,1.53,1.53,1953,0
FPO,5,20210204,125500,1.53,1.58,1.53,1.58,123,0
FPO,5,20210204,131500,1.62,1.62,1.62,1.62,700,0
FPO,5,20210204,132000,1.62,1.62,1.62,1.62,300,0
FPO,5,20210205,092000,1.5,1.5,1.5,1.5,50,0
FPO,5,20210205,092500,1.48,1.48,1.46,1.46,1949,0
FPO,5,20210205,100000,1.47,1.47,1.45,1.45,346,0
FPO,5,20210205,164500,1.53,1.53,1.53,1.53,1,0
FPO,5,20210208,090500,1.49,1.49,1.47,1.47,1995,0
FPO,5,20210208,091000,1.42,1.42,1.42,1.42,50,0
FPO,5,20210208,131500,1.49,1.5,1.49,1.5,50,0
FPO,5,20210209,090000,1.49,1.49,1.49,1.49,400,0
FPO,5,20210209,094000,1.42,1.42,1.42,1.42,20,0
FPO,5,20210209,095500,1.42,1.42,1.42,1.42,20,0
FPO,5,20210209,104000,1.42,1.42,1.42,1.42,50,0
FPO,5,20210209,104500,1.41,1.41,1.41,1.41,100,0
FPO,5,20210209,110000,1.41,1.41,1.41,1.41,120,0
FPO,5,20210209,112500,1.37,1.37,1.37,1.37,610,0
FPO,5,20210209,114000,1.37,1.37,1.37,1.37,614,0
FPO,5,20210209,121500,1.37,1.37,1.37,1.37,900,0
FPO,5,20210209,130000,1.41,1.41,1.41,1.41,400,0
FPO,5,20210210,101500,1.46,1.48,1.46,1.48,130,0
FPO,5,20210210,115000,1.4,1.4,1.4,1.4,174,0
FPO,5,20210210,131500,1.47,1.49,1.47,1.49,1000,0
FPO,5,20210210,132000,1.49,1.53,1.49,1.53,516,0
FPO,5,20210210,142000,1.54,1.54,1.43,1.43,351,0
FPO,5,20210210,160000,1.49,1.5,1.49,1.5,500,0
FPO,5,20210210,161000,1.5,1.5,1.5,1.5,321,0
FPO,5,20210210,162500,1.54,1.55,1.54,1.55,150,0
FPO,5,20210210,163000,1.57,1.58,1.57,1.58,200,0
FPO,5,20210210,163500,1.56,1.56,1.56,1.56,665,0
FPO,5,20210210,164500,1.58,1.58,1.56,1.56,500,0
FPO,5,20210211,090000,1.51,1.51,1.51,1.51,500,0
FPO,5,20210211,091000,1.51,1.51,1.51,1.51,218,0
FPO,5,20210211,091500,1.55,1.66,1.55,1.66,1716,0
FPO,5,20210211,105000,1.58,1.58,1.55,1.55,80,0
FPO,5,20210211,105500,1.55,1.55,1.55,1.55,1,0
FPO,5,20210211,112500,1.55,1.55,1.55,1.55,19,0
FPO,5,20210211,113000,1.64,1.65,1.64,1.65,52,0
FPO,5,20210211,115500,1.65,1.65,1.65,1.65,2500,0
FPO,5,20210211,120000,1.66,1.67,1.66,1.67,1028,0
FPO,5,20210211,132000,1.61,1.61,1.61,1.61,500,0
FPO,5,20210211,134500,1.65,1.67,1.65,1.67,1200,0
FPO,5,20210211,141500,1.67,1.68,1.67,1.68,942,0
FPO,5,20210211,143500,1.68,1.7,1.68,1.7,400,0
FPO,5,20210211,153500,1.7,1.7,1.7,1.7,2000,0
FPO,5,20210211,154000,1.7,1.7,1.7,1.7,365,0
FPO,5,20210211,154500,1.74,1.74,1.74,1.74,10,0
FPO,5,20210211,155000,1.7,1.7,1.7,1.7,1735,0
FPO,5,20210211,160500,1.74,1.79,1.74,1.79,1500,0
FPO,5,20210211,161000,1.79,1.79,1.79,1.79,200,0
FPO,5,20210212,090000,1.76,1.76,1.76,1.76,500,0
FPO,5,20210212,091000,1.7,1.7,1.7,1.7,90,0
FPO,5,20210212,091500,1.7,1.7,1.7,1.7,180,0
FPO,5,20210212,092500,1.79,1.79,1.79,1.79,10,0
FPO,5,20210212,093000,1.77,1.77,1.77,1.77,10,0
FPO,5,20210212,093500,1.71,1.71,1.71,1.71,20,0
FPO,5,20210212,100000,1.77,1.77,1.77,1.77,50,0
FPO,5,20210212,101500,1.77,1.77,1.77,1.77,627,0
FPO,5,20210212,102000,1.77,1.77,1.77,1.77,150,0
FPO,5,20210212,102500,1.77,1.79,1.77,1.79,346,0
FPO,5,20210212,103000,1.79,1.82,1.79,1.82,1000,0
FPO,5,20210212,103500,1.82,1.87,1.82,1.87,104,0
FPO,5,20210212,104500,1.83,1.87,1.83,1.87,1100,0
FPO,5,20210212,121000,1.86,1.98,1.86,1.96,4141,0
FPO,5,20210212,122000,2.1,2.1,2.1,2.1,50,0
FPO,5,20210212,123500,2.08,2.08,2.08,2.08,1000,0
FPO,5,20210212,124500,1.86,2.02,1.86,2.02,1565,0
FPO,5,20210212,125000,2.02,2.02,2.02,2.02,30,0
FPO,5,20210212,132500,1.92,1.92,1.88,1.88,590,0
FPO,5,20210212,133000,2,2,2,2,500,0
FPO,5,20210212,141000,1.9,2.02,1.9,2.02,7091,0
FPO,5,20210212,141500,2.04,2.04,2.04,2.04,50,0
FPO,5,20210212,142500,2.02,2.02,2.02,2.02,2394,0
FPO,5,20210212,145500,2.06,2.1,2.06,2.1,1025,0
FPO,5,20210212,161000,2.06,2.06,2.06,2.06,42,0
FPO,5,20210212,161500,2.06,2.06,2.06,2.06,50,0
FPO,5,20210212,163500,1.98,1.98,1.96,1.96,473,0
FPO,5,20210212,164500,1.96,1.96,1.96,1.96,178,0
FPO,5,20210215,090000,2,2,2,2,100,0
FPO,5,20210215,092500,1.96,2,1.96,2,2369,0
FPO,5,20210215,093000,2.06,2.06,2.06,2.06,426,0
FPO,5,20210215,094000,2.06,2.06,2.06,2.06,301,0
FPO,5,20210215,100500,2,2,2,2,3173,0
FPO,5,20210215,101000,2,2.16,2,2.16,2510,0
FPO,5,20210215,102000,2.16,2.16,2.16,2.16,100,0
FPO,5,20210215,103000,2.16,2.4,2.16,2.4,886,0
FPO,5,20210215,112000,2.34,2.34,2.34,2.34,282,0
FPO,5,20210215,112500,2.4,2.4,2.4,2.4,1250,0
FPO,5,20210215,113000,2.4,2.4,2.4,2.4,980,0
FPO,5,20210215,114500,2.34,2.34,2.34,2.34,2003,0
FPO,5,20210215,115500,2.34,2.34,2.34,2.34,750,0
FPO,5,20210215,123500,2.2,2.2,2.2,2.2,1000,0
FPO,5,20210215,125000,2.2,2.2,2.12,2.12,1000,0
FPO,5,20210215,162500,2.28,2.28,2.28,2.28,10,0
FPO,5,20210215,164500,2.28,2.28,2.28,2.28,10,0
FPO,5,20210216,093000,2.2,2.2,1.9,1.9,2220,0
FPO,5,20210216,093500,1.9,2.14,1.86,2.14,1301,0
FPO,5,20210216,095000,1.85,1.85,1.81,1.81,3000,0
FPO,5,20210216,101500,1.99,1.99,1.99,1.99,80,0
FPO,5,20210216,102500,1.84,1.84,1.84,1.84,1,0
FPO,5,20210216,104500,1.84,1.84,1.84,1.84,90,0
FPO,5,20210216,110500,1.84,1.84,1.81,1.81,2000,0
FPO,5,20210216,112500,1.84,1.84,1.84,1.84,120,0
FPO,5,20210216,113000,1.9,1.9,1.9,1.9,204,0
FPO,5,20210216,115000,1.85,1.85,1.85,1.85,655,0
FPO,5,20210216,121500,1.86,1.86,1.81,1.81,1445,0
FPO,5,20210216,124000,1.82,1.82,1.82,1.82,50,0
FPO,5,20210216,124500,1.82,1.82,1.82,1.82,27,0
FPO,5,20210216,125000,1.88,1.98,1.88,1.98,1005,0
FPO,5,20210216,152500,1.83,1.83,1.76,1.76,5523,0
FPO,5,20210216,154500,1.65,1.66,1.62,1.62,5004,0
FPO,5,20210216,155000,1.65,1.65,1.64,1.64,1545,0
FPO,5,20210216,155500,1.7,1.77,1.7,1.77,3150,0
FPO,5,20210216,161000,1.76,1.76,1.76,1.76,300,0
FPO,5,20210216,161500,1.77,1.8,1.77,1.8,895,0
FPO,5,20210216,164000,1.79,1.79,1.79,1.79,450,0
FPO,5,20210217,090500,1.79,1.8,1.79,1.8,600,0
FPO,5,20210217,091000,1.79,1.8,1.79,1.8,850,0
FPO,5,20210217,092500,1.79,1.79,1.76,1.76,450,0
FPO,5,20210217,101500,1.76,1.8,1.75,1.8,1087,0
FPO,5,20210217,115000,1.8,1.8,1.8,1.8,488,0
FPO,5,20210217,141500,1.91,1.91,1.91,1.91,10,0
FPO,5,20210217,145000,1.89,1.92,1.89,1.92,827,0
FPO,5,20210218,095000,1.78,1.78,1.78,1.78,800,0
FPO,5,20210218,095500,1.87,1.89,1.87,1.89,100,0
FPO,5,20210218,102000,1.81,1.81,1.81,1.81,50,0
FPO,5,20210218,105500,1.89,1.89,1.89,1.89,6,0
FPO,5,20210218,110000,1.89,1.89,1.89,1.89,650,0
FPO,5,20210218,112500,1.89,1.89,1.89,1.89,807,0
