<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTH,5,20210204,131500,1.5,1.5,1.45,1.45,3048,0
FTH,5,20210204,135000,1.45,1.45,1.4,1.4,2000,0
FTH,5,20210204,151500,1.4,1.4,1.4,1.4,695,0
FTH,5,20210205,090000,1.5,1.5,1.5,1.5,664,0
FTH,5,20210205,102000,1.49,1.49,1.49,1.49,100,0
FTH,5,20210205,104000,1.49,1.49,1.49,1.49,100,0
FTH,5,20210205,105500,1.49,1.5,1.49,1.5,392,0
FTH,5,20210208,101500,1.41,1.41,1.41,1.41,100,0
FTH,5,20210208,122000,1.41,1.41,1.41,1.41,350,0
FTH,5,20210208,132500,1.41,1.41,1.41,1.41,650,0
FTH,5,20210209,103000,1.41,1.41,1.41,1.41,10,0
FTH,5,20210210,101500,1.41,1.41,1.41,1.41,10,0
FTH,5,20210210,121000,1.41,1.41,1.41,1.41,500,0
FTH,5,20210210,125500,1.41,1.41,1.41,1.41,70,0
FTH,5,20210216,120000,1.41,1.41,1.41,1.41,100,0
FTH,5,20210217,103500,1.41,1.41,1.41,1.41,10,0
FTH,5,20210217,104000,1.49,1.5,1.49,1.5,210,0
FTH,5,20210217,153000,1.49,1.49,1.49,1.49,131,0
FTH,5,20210217,164500,1.5,1.5,1.5,1.5,34,0
FTH,5,20210218,090000,1.5,1.5,1.5,1.5,69,0
FTH,5,20210301,095500,1.43,1.43,1.43,1.43,34,0
FTH,5,20210302,102500,1.43,1.43,1.4,1.4,329,0
FTH,5,20210302,103000,1.35,1.35,1.35,1.35,363,0
FTH,5,20210302,110000,1.36,1.36,1.36,1.36,200,0
FTH,5,20210303,164500,1.36,1.36,1.36,1.36,50,0
FTH,5,20210304,103000,1.36,1.36,1.36,1.36,30,0
FTH,5,20210304,131500,1.36,1.36,1.36,1.36,100,0
FTH,5,20210308,104000,1.36,1.36,1.36,1.36,10,0
FTH,5,20210309,112500,1.36,1.36,1.36,1.36,10,0
FTH,5,20210310,100000,1.38,1.38,1.38,1.38,10,0
FTH,5,20210311,113500,1.38,1.38,1.38,1.38,20,0
FTH,5,20210311,120500,1.5,1.5,1.5,1.5,100,0
FTH,5,20210312,142000,1.38,1.38,1.38,1.38,188,0
FTH,5,20210312,153500,1.5,1.5,1.5,1.5,500,0
FTH,5,20210315,090000,1.54,1.54,1.54,1.54,300,0
FTH,5,20210319,123000,1.53,1.53,1.53,1.53,200,0
FTH,5,20210323,161000,1.4,1.4,1.38,1.38,350,0
FTH,5,20210323,164500,1.53,1.53,1.53,1.53,50,0
FTH,5,20210324,095500,1.52,1.52,1.52,1.52,10,0
FTH,5,20210325,100500,1.5,1.5,1.5,1.5,10,0
FTH,5,20210326,103000,1.49,1.49,1.49,1.49,10,0
