<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTN,5,20210210,120500,0.034,0.034,0.034,0.034,47001,0
FTN,5,20210217,110000,0.0465,0.0465,0.0465,0.0465,33702,0
FTN,5,20210303,110000,0.078,0.078,0.078,0.078,10684,0
FTN,5,20210303,110500,0.078,0.078,0.078,0.078,5150,0
FTN,5,20210303,111000,0.078,0.078,0.078,0.078,14926,0
FTN,5,20210303,112500,0.078,0.078,0.078,0.078,74,0
FTN,5,20210303,113000,0.078,0.078,0.078,0.078,26,0
FTN,5,20210303,113500,0.078,0.078,0.078,0.078,1300,0
FTN,5,20210303,121000,0.078,0.078,0.078,0.078,10047,0
FTN,5,20210303,122500,0.078,0.078,0.078,0.078,10000,0
FTN,5,20210310,110000,0.112,0.112,0.112,0.112,90666,0
FTN,5,20210310,110500,0.112,0.112,0.112,0.112,20000,0
FTN,5,20210310,111000,0.112,0.112,0.112,0.112,6000,0
FTN,5,20210310,112000,0.112,0.112,0.112,0.112,16416,0
FTN,5,20210310,114000,0.112,0.112,0.112,0.112,1000,0
FTN,5,20210310,114500,0.112,0.112,0.112,0.112,10000,0
FTN,5,20210310,115000,0.112,0.112,0.112,0.112,4000,0
FTN,5,20210310,120500,0.112,0.112,0.112,0.112,7500,0
FTN,5,20210317,110000,0.071,0.071,0.071,0.071,22050,0
FTN,5,20210324,115500,0.106,0.106,0.106,0.106,21299,0
FTN,5,20210324,120500,0.106,0.106,0.106,0.106,18701,0
FTN,5,20210324,122500,0.106,0.106,0.106,0.106,182,0
FTN,5,20210324,123500,0.106,0.106,0.106,0.106,2213,0
