<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVE,5,20210204,090000,1.25,1.25,1.25,1.25,1,0
FVE,5,20210204,103000,1.23,1.23,1.23,1.23,100,0
FVE,5,20210204,115000,1.2,1.2,1.19,1.19,3193,0
FVE,5,20210204,134000,1.16,1.24,1.16,1.24,599,0
FVE,5,20210204,152000,1.24,1.24,1.24,1.24,2979,0
FVE,5,20210204,153500,1.24,1.24,1.24,1.24,1021,0
FVE,5,20210204,161000,1.17,1.23,1.17,1.23,350,0
FVE,5,20210204,162000,1.17,1.23,1.17,1.23,1438,0
FVE,5,20210204,164500,1.24,1.24,1.24,1.24,539,0
FVE,5,20210205,093000,1.22,1.22,1.16,1.16,10000,0
FVE,5,20210205,101000,1.19,1.19,1.19,1.19,400,0
FVE,5,20210205,111500,1.18,1.18,1.18,1.18,30,0
FVE,5,20210205,113000,1.17,1.17,1.16,1.16,2400,0
FVE,5,20210205,121500,1.18,1.2,1.18,1.18,10260,0
FVE,5,20210205,122500,1.18,1.18,1.18,1.18,300,0
FVE,5,20210205,134000,1.18,1.24,1.18,1.24,4500,0
FVE,5,20210205,134500,1.22,1.22,1.22,1.22,500,0
FVE,5,20210205,135500,1.21,1.22,1.21,1.22,2650,0
FVE,5,20210205,140000,1.22,1.24,1.22,1.24,1550,0
FVE,5,20210208,094500,1.24,1.24,1.24,1.24,11,0
FVE,5,20210208,132500,1.19,1.19,1.19,1.19,100,0
FVE,5,20210208,134000,1.19,1.23,1.19,1.23,601,0
FVE,5,20210208,154000,1.22,1.22,1.22,1.22,250,0
FVE,5,20210209,090000,1.22,1.22,1.22,1.22,299,0
FVE,5,20210209,090500,1.18,1.18,1.18,1.18,150,0
FVE,5,20210209,092000,1.18,1.22,1.18,1.22,2,0
FVE,5,20210209,104000,1.19,1.19,1.19,1.19,150,0
FVE,5,20210209,104500,1.19,1.19,1.19,1.19,1050,0
FVE,5,20210209,110500,1.18,1.18,1.18,1.18,130,0
FVE,5,20210209,111000,1.18,1.18,1.18,1.18,919,0
FVE,5,20210209,112000,1.18,1.18,1.18,1.18,110,0
FVE,5,20210209,121000,1.18,1.18,1.18,1.18,300,0
FVE,5,20210209,121500,1.17,1.17,1.17,1.17,270,0
FVE,5,20210209,122000,1.17,1.17,1.15,1.15,6715,0
FVE,5,20210209,122500,1.15,1.15,1.15,1.15,15,0
FVE,5,20210209,124000,1.17,1.17,1.17,1.17,270,0
FVE,5,20210209,132000,1.18,1.18,1.18,1.18,715,0
FVE,5,20210209,142500,1.16,1.16,1.15,1.15,2860,0
FVE,5,20210209,150500,1.15,1.15,1.15,1.15,1358,0
FVE,5,20210209,152000,1.15,1.15,1.15,1.15,180,0
FVE,5,20210209,152500,1.15,1.15,1.15,1.15,40,0
FVE,5,20210209,153500,1.15,1.15,1.15,1.15,5000,0
