<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAL,5,20210204,095000,1.06,1.06,1.02,1.02,6004,0
GAL,5,20210205,091000,1.05,1.05,1.05,1.05,1500,0
GAL,5,20210205,102500,1.04,1.04,1.04,1.04,1363,0
GAL,5,20210208,121000,1.04,1.04,1.04,1.04,606,0
GAL,5,20210208,134500,1.04,1.04,1.04,1.04,1000,0
GAL,5,20210208,144000,1.11,1.11,1.11,1.11,926,0
GAL,5,20210208,164500,1.12,1.12,1.12,1.12,926,0
GAL,5,20210210,141500,1.1,1.1,1.09,1.09,2371,0
GAL,5,20210211,095000,1.09,1.09,1.08,1.08,2426,0
GAL,5,20210211,095500,1.12,1.18,1.12,1.18,11399,0
GAL,5,20210211,100000,1.18,1.18,1.18,1.18,1913,0
GAL,5,20210211,100500,1.18,1.18,1.18,1.18,1688,0
GAL,5,20210211,102000,1.2,1.21,1.2,1.21,3889,0
GAL,5,20210211,112500,1.1,1.1,1.1,1.1,881,0
GAL,5,20210211,114000,1.2,1.21,1.2,1.21,1714,0
GAL,5,20210211,115000,1.22,1.23,1.22,1.23,1600,0
GAL,5,20210211,121000,1.23,1.28,1.23,1.28,10000,0
GAL,5,20210211,121500,1.28,1.3,1.28,1.3,5722,0
GAL,5,20210211,123000,1.29,1.3,1.29,1.3,4674,0
GAL,5,20210211,124000,1.3,1.3,1.3,1.3,1000,0
GAL,5,20210211,124500,1.26,1.27,1.26,1.27,2000,0
GAL,5,20210211,125000,1.27,1.27,1.27,1.27,11111,0
GAL,5,20210211,125500,1.28,1.28,1.28,1.28,1000,0
GAL,5,20210211,130000,1.3,1.3,1.3,1.3,1411,0
GAL,5,20210211,142000,1.3,1.3,1.3,1.3,2586,0
GAL,5,20210211,143000,1.38,1.39,1.38,1.39,23374,0
GAL,5,20210211,143500,1.39,1.44,1.39,1.44,6000,0
GAL,5,20210211,144500,1.33,1.33,1.32,1.32,4586,0
GAL,5,20210211,145000,1.4,1.4,1.4,1.4,100,0
GAL,5,20210211,145500,1.4,1.4,1.4,1.4,1900,0
GAL,5,20210211,150500,1.37,1.37,1.27,1.27,5324,0
GAL,5,20210211,160500,1.28,1.28,1.28,1.28,740,0
GAL,5,20210211,161000,1.33,1.33,1.33,1.33,750,0
GAL,5,20210211,164000,1.3,1.3,1.3,1.3,1000,0
GAL,5,20210211,164500,1.33,1.4,1.33,1.4,4889,0
GAL,5,20210212,100500,1.39,1.39,1.39,1.39,100,0
GAL,5,20210212,103500,1.3,1.3,1.3,1.3,600,0
GAL,5,20210212,125500,1.33,1.33,1.33,1.33,100,0
GAL,5,20210215,094500,1.3,1.3,1.3,1.3,100,0
GAL,5,20210215,100000,1.3,1.32,1.3,1.32,740,0
GAL,5,20210215,122000,1.24,1.24,1.24,1.24,900,0
GAL,5,20210215,150500,1.23,1.23,1.23,1.23,1000,0
GAL,5,20210216,113500,1.23,1.23,1.22,1.22,1000,0
GAL,5,20210216,144500,1.18,1.18,1.17,1.17,1000,0
GAL,5,20210216,150500,1.17,1.17,1.17,1.17,855,0
GAL,5,20210217,111500,1.07,1.07,1.07,1.07,145,0
GAL,5,20210217,123000,1.18,1.18,1.18,1.18,420,0
GAL,5,20210217,150000,1.2,1.2,1.2,1.2,1500,0
GAL,5,20210217,151000,1.24,1.24,1.24,1.24,807,0
GAL,5,20210217,153500,1.21,1.21,1.2,1.2,8020,0
GAL,5,20210218,090000,1.24,1.24,1.24,1.24,1694,0
GAL,5,20210218,092000,1.24,1.24,1.24,1.24,500,0
GAL,5,20210222,093500,1.25,1.29,1.25,1.29,2700,0
GAL,5,20210222,095500,1.21,1.21,1.21,1.21,788,0
GAL,5,20210222,100000,1.25,1.25,1.25,1.25,12,0
GAL,5,20210223,151000,1.19,1.19,1.19,1.19,1000,0
GAL,5,20210223,155500,1.14,1.18,1.14,1.18,2530,0
GAL,5,20210223,161500,1.18,1.18,1.18,1.18,3995,0
GAL,5,20210224,130500,1.12,1.12,1.12,1.12,1788,0
GAL,5,20210225,132500,1.21,1.21,1.21,1.21,2500,0
GAL,5,20210225,135500,1.21,1.21,1.21,1.21,1389,0
GAL,5,20210226,125000,1.22,1.24,1.22,1.24,4000,0
GAL,5,20210301,142000,1.25,1.25,1.25,1.25,11000,0
GAL,5,20210301,144000,1.25,1.25,1.25,1.25,1500,0
GAL,5,20210301,144500,1.25,1.25,1.25,1.25,7800,0
GAL,5,20210301,145500,1.35,1.35,1.35,1.35,1000,0
GAL,5,20210302,094500,1.23,1.23,1.23,1.23,420,0
GAL,5,20210302,100000,1.34,1.35,1.34,1.35,2222,0
GAL,5,20210302,162000,1.28,1.28,1.28,1.28,1093,0
GAL,5,20210303,124000,1.34,1.34,1.34,1.34,200,0
GAL,5,20210304,094000,1.34,1.34,1.34,1.34,575,0
GAL,5,20210308,090000,1.34,1.49,1.34,1.49,24000,0
GAL,5,20210308,090500,1.49,1.58,1.49,1.58,2778,0
GAL,5,20210308,092000,1.56,1.56,1.56,1.56,281,0
GAL,5,20210308,092500,1.56,1.56,1.56,1.56,500,0
GAL,5,20210308,093500,1.52,1.52,1.52,1.52,1000,0
GAL,5,20210308,094000,1.52,1.52,1.52,1.52,600,0
GAL,5,20210308,095000,1.56,1.56,1.56,1.56,100,0
GAL,5,20210308,100000,1.56,1.56,1.56,1.56,300,0
GAL,5,20210308,110000,1.54,1.56,1.54,1.56,2000,0
GAL,5,20210308,114500,1.55,1.55,1.55,1.55,80,0
GAL,5,20210308,115500,1.43,1.43,1.43,1.43,281,0
GAL,5,20210308,123500,1.44,1.44,1.44,1.44,1095,0
GAL,5,20210308,125500,1.43,1.43,1.42,1.42,1600,0
GAL,5,20210308,140500,1.42,1.42,1.42,1.42,1114,0
GAL,5,20210308,141500,1.41,1.41,1.38,1.38,4300,0
GAL,5,20210308,145500,1.37,1.37,1.37,1.37,998,0
GAL,5,20210308,153500,1.42,1.42,1.42,1.42,200,0
GAL,5,20210308,164000,1.42,1.42,1.42,1.42,10,0
GAL,5,20210308,164500,1.42,1.55,1.42,1.55,6490,0
GAL,5,20210309,091000,1.55,1.58,1.55,1.58,100,0
GAL,5,20210309,093000,1.55,1.55,1.55,1.55,1,0
GAL,5,20210309,100000,1.43,1.43,1.43,1.43,2401,0
GAL,5,20210309,112000,1.55,1.55,1.55,1.55,1437,0
GAL,5,20210309,112500,1.55,1.55,1.55,1.55,4562,0
GAL,5,20210309,113000,1.59,1.63,1.59,1.63,1956,0
GAL,5,20210309,113500,1.63,1.72,1.63,1.72,2735,0
GAL,5,20210309,133000,1.65,1.66,1.65,1.66,2694,0
GAL,5,20210309,144500,1.66,1.66,1.66,1.66,300,0
GAL,5,20210309,164500,1.66,1.66,1.52,1.52,99,0
GAL,5,20210309,165500,1.68,1.68,1.68,1.68,100,0
GAL,5,20210310,090000,1.76,1.76,1.76,1.76,10,0
GAL,5,20210310,092000,1.69,1.69,1.69,1.69,600,0
GAL,5,20210310,093500,1.6,1.6,1.6,1.6,3000,0
GAL,5,20210310,094000,1.6,1.6,1.6,1.6,500,0
GAL,5,20210310,101500,1.6,1.6,1.6,1.6,7400,0
GAL,5,20210310,110500,1.54,1.54,1.54,1.54,1000,0
GAL,5,20210310,134000,1.62,1.62,1.62,1.62,181,0
GAL,5,20210310,152000,1.62,1.7,1.62,1.7,3000,0
GAL,5,20210311,111500,1.59,1.59,1.56,1.56,4738,0
GAL,5,20210311,112500,1.54,1.54,1.51,1.51,1914,0
GAL,5,20210311,113000,1.44,1.44,1.44,1.44,1191,0
GAL,5,20210311,113500,1.44,1.44,1.44,1.44,628,0
GAL,5,20210311,140000,1.48,1.48,1.44,1.44,4145,0
GAL,5,20210311,144500,1.47,1.47,1.47,1.47,1500,0
GAL,5,20210311,151000,1.49,1.49,1.49,1.49,672,0
