<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEN,5,20210204,090000,33.8,33.8,33.8,33.8,10,0
GEN,5,20210204,091000,34.8,34.8,34.8,34.8,16,0
GEN,5,20210204,105500,35,35,35,35,13,0
GEN,5,20210205,104000,34,34,33.6,33.6,40,0
GEN,5,20210205,114000,34,34,34,34,6,0
GEN,5,20210208,100500,34.2,34.2,33.4,33.4,44,0
GEN,5,20210208,155000,33.4,33.4,33.4,33.4,6,0
GEN,5,20210208,163000,34,34,34,34,10,0
GEN,5,20210209,090000,34.2,34.2,34.2,34.2,30,0
GEN,5,20210210,105000,34.2,34.2,34.2,34.2,2,0
GEN,5,20210211,091500,34.2,34.2,34.2,34.2,1,0
GEN,5,20210215,090000,33.6,33.6,33.6,33.6,6,0
GEN,5,20210215,115000,33.6,33.6,33.6,33.6,16,0
GEN,5,20210215,134500,33.6,33.6,32.4,32.4,301,0
GEN,5,20210215,151000,32.4,32.4,32.4,32.4,68,0
GEN,5,20210216,130500,34,34,34,34,29,0
GEN,5,20210217,094000,34,34,34,34,5,0
GEN,5,20210218,150000,34,34,34,34,2,0
GEN,5,20210223,094500,35,35,35,35,15,0
GEN,5,20210223,120000,35,35,35,35,9,0
GEN,5,20210224,091000,34.8,34.8,34.8,34.8,5,0
GEN,5,20210226,143500,34.8,34.8,34.8,34.8,2,0
GEN,5,20210301,090000,34.6,34.6,34.6,34.6,10,0
GEN,5,20210302,091500,34.8,35,34.8,35,32,0
GEN,5,20210303,121000,35,35,35,35,10,0
GEN,5,20210304,111500,34.6,34.6,34.6,34.6,9,0
GEN,5,20210304,160000,35,35,35,35,10,0
GEN,5,20210308,114500,35,35,35,35,5,0
GEN,5,20210309,092000,35,35,35,35,1,0
GEN,5,20210310,100000,35,35,35,35,1,0
GEN,5,20210311,090000,35.6,35.6,35.6,35.6,27,0
GEN,5,20210315,090000,36.8,36.8,36.8,36.8,30,0
GEN,5,20210315,092000,36.8,36.8,36.8,36.8,75,0
GEN,5,20210315,163000,37.4,37.8,37.4,37.8,31,0
GEN,5,20210316,091000,37,37,37,37,2,0
GEN,5,20210316,101500,38,38,38,38,100,0
GEN,5,20210316,134500,38,38,38,38,12,0
GEN,5,20210316,162500,38,38.6,38,38.6,75,0
GEN,5,20210316,164500,38.6,38.6,38.6,38.6,100,0
GEN,5,20210317,090000,38.6,38.6,38.6,38.6,80,0
GEN,5,20210317,090500,38.6,38.6,38.6,38.6,51,0
GEN,5,20210317,092000,39,39,39,39,30,0
GEN,5,20210317,094000,39,39,39,39,100,0
GEN,5,20210317,102500,39,39,39,39,10,0
GEN,5,20210317,114500,39,39,39,39,10,0
GEN,5,20210317,120000,39,39,39,39,100,0
GEN,5,20210317,121500,39,39.4,39,39.4,109,0
GEN,5,20210317,122000,39,39,39,39,9,0
GEN,5,20210317,132000,39.2,39.4,39.2,39.4,20,0
GEN,5,20210317,132500,39.4,39.4,39.4,39.4,65,0
GEN,5,20210317,133000,39,39,39,39,37,0
GEN,5,20210317,133500,38.6,38.6,38.6,38.6,48,0
GEN,5,20210319,152000,38.8,38.8,38.8,38.8,10,0
GEN,5,20210319,153000,38.8,38.8,38.8,38.8,5,0
GEN,5,20210319,164500,38.8,38.8,38.8,38.8,101,0
GEN,5,20210322,090000,38.8,38.8,38.8,38.8,160,0
GEN,5,20210322,090500,37,37,33,33.2,51,0
GEN,5,20210322,113500,36.2,36.2,36.2,36.2,30,0
GEN,5,20210322,114000,38,38,38,38,5,0
GEN,5,20210322,130000,38.6,41,38.6,41,308,0
GEN,5,20210322,142000,40.8,41,40.8,41,32,0
GEN,5,20210323,090000,39.6,39.6,39.6,39.6,1,0
GEN,5,20210323,092000,40,40,40,40,5,0
GEN,5,20210323,113000,39.6,39.6,37,37,32,0
GEN,5,20210325,141000,39.4,40,39.4,40,80,0
GEN,5,20210326,093500,39.8,39.8,39.8,39.8,17,0
