<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GKS,5,20210210,110000,0.106,0.106,0.106,0.106,9500,0
GKS,5,20210217,110000,0.131,0.131,0.131,0.131,2000,0
GKS,5,20210224,110000,0.173,0.173,0.173,0.173,3941,0
GKS,5,20210224,113000,0.173,0.173,0.173,0.173,2161,0
GKS,5,20210224,114000,0.173,0.173,0.173,0.173,3898,0
GKS,5,20210224,115000,0.173,0.173,0.173,0.173,2102,0
GKS,5,20210224,115500,0.173,0.173,0.173,0.173,398,0
GKS,5,20210224,122500,0.173,0.173,0.173,0.173,1602,0
GKS,5,20210303,110000,0.159,0.159,0.159,0.159,13973,0
GKS,5,20210303,112000,0.159,0.159,0.159,0.159,12000,0
GKS,5,20210310,110000,0.177,0.177,0.177,0.177,6230,0
GKS,5,20210310,122500,0.177,0.177,0.177,0.177,4770,0
GKS,5,20210317,110000,0.16,0.16,0.16,0.16,8890,0
GKS,5,20210317,110500,0.16,0.16,0.16,0.16,220,0
GKS,5,20210317,115000,0.16,0.16,0.16,0.16,101,0
GKS,5,20210324,110000,0.16,0.16,0.16,0.16,19640,0
GKS,5,20210324,125500,0.16,0.16,0.16,0.16,10000,0
