<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GME,5,20210219,102000,154,154,154,154,13,0
GME,5,20210225,091500,154,154,154,154,10,0
GME,5,20210302,142000,149,149,149,149,14,0
GME,5,20210311,115500,145,145,145,145,1,0
GME,5,20210311,120500,145,145,145,145,2,0
GME,5,20210311,121500,145,145,145,145,2,0
GME,5,20210315,103000,139,139,139,139,14,0
GME,5,20210316,110500,139,139,139,139,15,0
GME,5,20210316,154000,150,150,150,150,1,0
GME,5,20210317,153000,141,141,141,141,15,0
GME,5,20210317,161000,169,169,169,169,1,0
GME,5,20210317,163000,147,147,147,147,14,0
GME,5,20210318,112500,140,140,140,140,5,0
GME,5,20210319,102000,140,140,140,140,1,0
GME,5,20210319,102500,140,140,140,140,14,0
GME,5,20210319,120000,139,139,139,139,14,0
GME,5,20210319,152500,142,142,142,142,1,0
GME,5,20210324,090000,139,139,139,139,8,0
