<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMT,5,20210317,110000,16.6,16.98,14.052,14.89,237516,0
GMT,5,20210317,110500,14.8,14.9,14.302,14.6,60049,0
GMT,5,20210317,111000,14.6,15.62,14.58,15.2,77441,0
GMT,5,20210317,111500,15.198,15.198,14.8,14.91,19283,0
GMT,5,20210317,112000,14.94,14.94,14.5,14.6,42037,0
GMT,5,20210317,112500,14.698,14.7,14.42,14.6,11889,0
GMT,5,20210317,113000,14.6,14.6,14.45,14.5,7993,0
GMT,5,20210317,113500,14.5,14.5,14.3,14.38,10180,0
GMT,5,20210317,114000,14.38,14.5,14.35,14.45,14446,0
GMT,5,20210317,114500,14.45,14.45,14.3,14.35,8146,0
GMT,5,20210317,115000,14.35,14.35,13.5,13.768,25613,0
GMT,5,20210317,115500,13.61,13.61,12.5,13,55239,0
GMT,5,20210317,120000,13,13.8,12.82,13.5,25610,0
GMT,5,20210317,120500,13.498,13.68,13.302,13.68,12588,0
GMT,5,20210317,121000,13.7,14.4,13.68,14.298,23131,0
GMT,5,20210317,121500,14.268,14.27,13.8,13.8,6870,0
GMT,5,20210317,122000,13.8,13.8,13.702,13.79,4354,0
GMT,5,20210317,122500,13.79,14,13.5,14,19710,0
GMT,5,20210317,123000,13.61,14.05,13.61,13.998,8456,0
GMT,5,20210317,123500,13.842,13.842,13.7,13.75,2600,0
GMT,5,20210317,124000,13.7,13.74,13.62,13.74,1861,0
GMT,5,20210317,124500,13.74,13.74,13.5,13.6,14057,0
GMT,5,20210317,125000,13.502,13.59,13.5,13.55,5848,0
GMT,5,20210317,125500,13.55,13.8,13.55,13.7,1402,0
GMT,5,20210317,130000,13.7,13.9,13.5,13.9,5106,0
GMT,5,20210317,130500,13.94,13.96,13.9,13.96,2359,0
GMT,5,20210317,131000,13.9,13.96,13.898,13.898,883,0
GMT,5,20210317,131500,13.9,14,13.9,13.99,1170,0
GMT,5,20210317,132000,13.99,14.05,13.9,14.05,6082,0
GMT,5,20210317,132500,14.1,14.26,14.1,14.102,5334,0
GMT,5,20210317,133000,14.244,14.244,13.81,13.812,9092,0
GMT,5,20210317,133500,14.07,14.07,13.998,13.998,2076,0
GMT,5,20210317,134000,13.998,14.068,13.988,14,4919,0
GMT,5,20210317,134500,14,14.068,13.904,14.068,3408,0
GMT,5,20210317,135000,14.068,14.25,14.068,14.25,3554,0
GMT,5,20210317,135500,14.25,14.25,14.2,14.25,2217,0
GMT,5,20210317,140000,14.25,14.3,14.25,14.25,4101,0
GMT,5,20210317,140500,14.2,14.25,14,14,3596,0
GMT,5,20210317,141000,13.998,14,13.4,13.7,7216,0
GMT,5,20210317,141500,13.7,13.9,13.542,13.88,739,0
GMT,5,20210317,142000,13.87,13.87,13.87,13.87,106,0
GMT,5,20210317,142500,13.87,13.87,13.7,13.8,1679,0
GMT,5,20210317,143000,13.7,13.7,13.49,13.49,2377,0
GMT,5,20210317,143500,13.45,13.6,13.3,13.31,4948,0
GMT,5,20210317,144000,13.302,13.68,13.2,13.6,5827,0
GMT,5,20210317,144500,13.598,13.9,13.598,13.9,3603,0
GMT,5,20210317,145000,13.9,14.05,13.9,14.05,1266,0
GMT,5,20210317,145500,14,14,14,14,1200,0
GMT,5,20210317,150000,14.002,14.002,13.9,13.9,516,0
GMT,5,20210317,150500,13.9,13.9,13.7,13.7,430,0
GMT,5,20210317,151000,13.7,13.998,13.7,13.998,366,0
GMT,5,20210317,151500,13.902,14.1,13.9,14.1,3538,0
GMT,5,20210317,152000,14.1,14.1,13.9,13.9,2532,0
GMT,5,20210317,152500,13.998,14,13.998,14,732,0
GMT,5,20210317,153000,14.038,14.19,14.038,14.1,618,0
GMT,5,20210317,153500,14.19,14.19,14.098,14.1,544,0
GMT,5,20210317,154000,14.11,14.11,14,14,4318,0
GMT,5,20210317,154500,14,14,14,14,53,0
GMT,5,20210317,155000,14.188,14.19,14.188,14.19,120,0
GMT,5,20210317,155500,14.188,14.188,14.18,14.188,209,0
GMT,5,20210317,160000,14.18,14.18,14.05,14.05,800,0
GMT,5,20210317,160500,14.19,14.19,14.04,14.18,1821,0
GMT,5,20210317,161000,14.17,14.18,14.17,14.17,525,0
GMT,5,20210317,161500,14.16,14.17,14,14,2156,0
GMT,5,20210317,162000,14.138,14.138,14.098,14.098,39,0
GMT,5,20210317,162500,14.098,14.1,14,14,3867,0
GMT,5,20210317,163000,14.098,14.15,14.002,14.002,1473,0
GMT,5,20210317,163500,14.148,14.17,14.148,14.148,587,0
GMT,5,20210317,164000,14.148,14.17,13.9,14.17,9336,0
GMT,5,20210317,164500,14,14,13.73,13.85,6740,0
GMT,5,20210317,165500,13.55,13.55,13.55,13.55,10201,0
GMT,5,20210318,090000,14.1,15.5,14,15.5,54694,0
GMT,5,20210318,090500,15.458,15.6,14.7,15.2,32879,0
GMT,5,20210318,091000,15.256,15.35,14.8,14.8,4904,0
GMT,5,20210318,091500,14.8,15,14.512,14.96,5112,0
GMT,5,20210318,092000,14.95,14.95,14.64,14.654,3749,0
GMT,5,20210318,092500,14.65,14.85,14.488,14.8,8965,0
GMT,5,20210318,093000,14.8,14.878,14.504,14.598,5647,0
GMT,5,20210318,093500,14.798,14.86,14.6,14.776,3685,0
GMT,5,20210318,094000,14.776,14.776,14.44,14.44,6980,0
GMT,5,20210318,094500,14.648,14.648,14.302,14.302,892,0
