<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNG,5,20210204,091000,0.636,0.636,0.636,0.636,2000,0
GNG,5,20210204,093000,0.638,0.686,0.638,0.686,20000,0
GNG,5,20210204,093500,0.676,0.686,0.676,0.686,20000,0
GNG,5,20210204,094000,0.676,0.676,0.676,0.676,1800,0
GNG,5,20210204,095000,0.638,0.638,0.638,0.638,918,0
GNG,5,20210204,095500,0.682,0.682,0.682,0.682,1,0
GNG,5,20210204,100500,0.676,0.676,0.676,0.676,351,0
GNG,5,20210204,110000,0.67,0.67,0.67,0.67,740,0
GNG,5,20210204,114000,0.67,0.67,0.67,0.67,1040,0
GNG,5,20210204,124000,0.65,0.65,0.65,0.65,1915,0
GNG,5,20210204,124500,0.66,0.66,0.66,0.66,1,0
GNG,5,20210204,133500,0.658,0.658,0.658,0.658,1,0
GNG,5,20210204,143500,0.65,0.65,0.65,0.65,3856,0
GNG,5,20210204,145000,0.658,0.66,0.658,0.66,5000,0
GNG,5,20210204,164000,0.652,0.652,0.65,0.65,6223,0
GNG,5,20210204,164500,0.65,0.65,0.65,0.65,1571,0
GNG,5,20210205,091000,0.65,0.65,0.63,0.63,1600,0
GNG,5,20210205,103500,0.64,0.64,0.64,0.64,1,0
GNG,5,20210205,122500,0.64,0.646,0.64,0.646,1557,0
GNG,5,20210205,133500,0.64,0.64,0.64,0.64,1000,0
GNG,5,20210205,151500,0.63,0.63,0.63,0.63,2351,0
GNG,5,20210205,152000,0.63,0.63,0.61,0.61,21891,0
GNG,5,20210205,162500,0.64,0.64,0.64,0.64,1000,0
GNG,5,20210205,163500,0.62,0.62,0.62,0.62,1800,0
GNG,5,20210205,164000,0.644,0.644,0.644,0.644,1,0
GNG,5,20210208,090000,0.644,0.644,0.644,0.644,100,0
GNG,5,20210208,094500,0.628,0.628,0.628,0.628,4739,0
GNG,5,20210208,103500,0.628,0.628,0.628,0.628,5261,0
GNG,5,20210208,104000,0.62,0.62,0.62,0.62,600,0
GNG,5,20210208,104500,0.628,0.628,0.628,0.628,4339,0
GNG,5,20210208,115000,0.64,0.64,0.64,0.64,3100,0
GNG,5,20210208,123000,0.63,0.63,0.63,0.63,2000,0
GNG,5,20210208,144500,0.644,0.644,0.644,0.644,1,0
GNG,5,20210208,153000,0.644,0.644,0.644,0.644,598,0
GNG,5,20210208,153500,0.672,0.672,0.672,0.672,402,0
GNG,5,20210208,161500,0.672,0.672,0.672,0.672,1000,0
GNG,5,20210209,090000,0.672,0.672,0.672,0.672,200,0
GNG,5,20210209,091000,0.672,0.672,0.672,0.672,3222,0
GNG,5,20210209,092000,0.682,0.682,0.682,0.682,1,0
GNG,5,20210209,093000,0.65,0.65,0.65,0.65,9000,0
GNG,5,20210209,100500,0.66,0.66,0.66,0.66,3000,0
GNG,5,20210209,113000,0.674,0.674,0.674,0.674,1400,0
GNG,5,20210209,121500,0.65,0.65,0.65,0.65,1000,0
GNG,5,20210209,122500,0.65,0.65,0.65,0.65,500,0
GNG,5,20210209,124000,0.65,0.65,0.65,0.65,3000,0
GNG,5,20210209,130500,0.65,0.65,0.65,0.65,1500,0
GNG,5,20210209,164500,0.67,0.67,0.67,0.67,591,0
GNG,5,20210210,090000,0.67,0.67,0.67,0.67,525,0
