<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOV,5,20210204,090000,0.1115,0.1145,0.1115,0.114,240392,0
GOV,5,20210204,090500,0.114,0.117,0.114,0.117,556636,0
GOV,5,20210204,091000,0.117,0.125,0.117,0.125,647327,0
GOV,5,20210204,091500,0.125,0.1255,0.1185,0.1185,623294,0
GOV,5,20210204,092000,0.1185,0.12,0.117,0.12,266478,0
GOV,5,20210204,092500,0.118,0.1195,0.117,0.119,75504,0
GOV,5,20210204,093000,0.1175,0.1215,0.117,0.1215,152670,0
GOV,5,20210204,093500,0.1215,0.1215,0.117,0.12,120517,0
GOV,5,20210204,094000,0.12,0.121,0.12,0.121,27613,0
GOV,5,20210204,094500,0.121,0.121,0.1175,0.12,138773,0
GOV,5,20210204,095000,0.118,0.12,0.118,0.118,100564,0
GOV,5,20210204,095500,0.118,0.1195,0.1175,0.1175,62633,0
GOV,5,20210204,100000,0.1175,0.1175,0.113,0.113,587114,0
GOV,5,20210204,100500,0.118,0.118,0.118,0.118,1000,0
GOV,5,20210204,101000,0.117,0.117,0.117,0.117,11450,0
GOV,5,20210204,101500,0.116,0.116,0.1135,0.1135,192430,0
GOV,5,20210204,102000,0.1135,0.114,0.109,0.109,312576,0
GOV,5,20210204,102500,0.1095,0.1095,0.1095,0.1095,6924,0
GOV,5,20210204,103000,0.1095,0.1095,0.1085,0.1085,164076,0
GOV,5,20210204,103500,0.1085,0.11,0.107,0.11,319407,0
GOV,5,20210204,104000,0.11,0.11,0.11,0.11,20000,0
GOV,5,20210204,104500,0.11,0.11,0.11,0.11,24100,0
GOV,5,20210204,105000,0.1095,0.11,0.1095,0.11,22000,0
GOV,5,20210204,105500,0.11,0.11,0.11,0.11,10000,0
GOV,5,20210204,110000,0.11,0.11,0.11,0.11,344385,0
GOV,5,20210204,110500,0.1095,0.1155,0.1085,0.109,279499,0
GOV,5,20210204,111000,0.1095,0.1095,0.1095,0.1095,2764,0
GOV,5,20210204,111500,0.109,0.114,0.109,0.114,112000,0
GOV,5,20210204,112000,0.114,0.114,0.114,0.114,10000,0
GOV,5,20210204,112500,0.1135,0.1135,0.1135,0.1135,33155,0
GOV,5,20210204,113000,0.111,0.111,0.111,0.111,9000,0
GOV,5,20210204,113500,0.1135,0.1135,0.1135,0.1135,5704,0
GOV,5,20210204,114500,0.111,0.111,0.11,0.11,9000,0
GOV,5,20210204,115000,0.1135,0.1135,0.1135,0.1135,8000,0
GOV,5,20210204,120000,0.1135,0.1135,0.1135,0.1135,20000,0
GOV,5,20210204,120500,0.1135,0.1135,0.1135,0.1135,9310,0
GOV,5,20210204,121000,0.11,0.11,0.107,0.108,280232,0
GOV,5,20210204,122000,0.111,0.113,0.111,0.113,80321,0
GOV,5,20210204,122500,0.1135,0.1135,0.1135,0.1135,17714,0
GOV,5,20210204,123000,0.1135,0.114,0.1135,0.1135,29000,0
GOV,5,20210204,123500,0.111,0.111,0.111,0.111,8884,0
GOV,5,20210204,124000,0.1135,0.1135,0.1135,0.1135,912,0
GOV,5,20210204,124500,0.1135,0.1135,0.1135,0.1135,15000,0
GOV,5,20210204,125000,0.1135,0.1135,0.1135,0.1135,8000,0
GOV,5,20210204,125500,0.1135,0.114,0.1135,0.114,1000,0
GOV,5,20210204,130000,0.111,0.111,0.111,0.111,100,0
GOV,5,20210204,130500,0.111,0.111,0.111,0.111,10000,0
GOV,5,20210204,131000,0.111,0.111,0.108,0.108,44516,0
GOV,5,20210204,131500,0.113,0.113,0.113,0.113,4138,0
GOV,5,20210204,132000,0.108,0.108,0.108,0.108,5100,0
GOV,5,20210204,134000,0.113,0.113,0.113,0.113,8848,0
GOV,5,20210204,135000,0.11,0.11,0.11,0.11,6000,0
GOV,5,20210204,135500,0.112,0.113,0.11,0.113,168683,0
GOV,5,20210204,141500,0.1115,0.1115,0.1115,0.1115,481,0
GOV,5,20210204,142000,0.1115,0.1115,0.108,0.108,92515,0
GOV,5,20210204,143000,0.108,0.108,0.108,0.108,12221,0
GOV,5,20210204,144000,0.108,0.108,0.107,0.107,105659,0
GOV,5,20210204,145500,0.1105,0.1105,0.11,0.11,9000,0
GOV,5,20210204,151500,0.108,0.108,0.108,0.108,1079,0
GOV,5,20210204,152000,0.11,0.11,0.11,0.11,4972,0
GOV,5,20210204,152500,0.11,0.11,0.11,0.11,33776,0
GOV,5,20210204,153000,0.11,0.11,0.11,0.11,5000,0
GOV,5,20210204,153500,0.111,0.112,0.111,0.112,35000,0
GOV,5,20210204,154500,0.11,0.1115,0.107,0.107,44542,0
GOV,5,20210204,155500,0.108,0.108,0.107,0.107,173553,0
GOV,5,20210204,160000,0.111,0.111,0.111,0.111,1213,0
GOV,5,20210204,160500,0.11,0.11,0.11,0.11,3000,0
GOV,5,20210204,162000,0.1075,0.1075,0.1065,0.1065,63275,0
GOV,5,20210204,162500,0.1065,0.1065,0.1065,0.1065,40000,0
GOV,5,20210204,163000,0.1075,0.1075,0.1075,0.1075,4300,0
GOV,5,20210204,163500,0.108,0.108,0.108,0.108,20800,0
GOV,5,20210204,164000,0.1075,0.1075,0.1075,0.1075,11700,0
GOV,5,20210204,164500,0.108,0.108,0.108,0.108,16000,0
GOV,5,20210205,090000,0.108,0.11,0.108,0.11,25101,0
GOV,5,20210205,091000,0.11,0.111,0.11,0.111,40000,0
GOV,5,20210205,091500,0.107,0.107,0.1065,0.1065,41275,0
GOV,5,20210205,092000,0.1065,0.11,0.106,0.11,291324,0
GOV,5,20210205,092500,0.107,0.109,0.107,0.109,51250,0
GOV,5,20210205,093000,0.11,0.11,0.11,0.11,33911,0
GOV,5,20210205,093500,0.1095,0.11,0.1095,0.11,98113,0
GOV,5,20210205,094000,0.111,0.112,0.111,0.112,86740,0
GOV,5,20210205,095000,0.11,0.11,0.11,0.11,50000,0
GOV,5,20210205,095500,0.109,0.109,0.109,0.109,4194,0
GOV,5,20210205,100000,0.109,0.109,0.109,0.109,53842,0
GOV,5,20210205,100500,0.111,0.1115,0.111,0.1115,35000,0
GOV,5,20210205,101000,0.11,0.11,0.11,0.11,12500,0
GOV,5,20210205,102000,0.1095,0.1095,0.109,0.109,31000,0
GOV,5,20210205,102500,0.1095,0.11,0.1085,0.1085,40948,0
GOV,5,20210205,104000,0.11,0.11,0.11,0.11,3800,0
GOV,5,20210205,105500,0.1085,0.1085,0.108,0.108,49000,0
GOV,5,20210205,110500,0.11,0.11,0.11,0.11,37102,0
GOV,5,20210205,112000,0.11,0.11,0.11,0.11,7663,0
GOV,5,20210205,113000,0.11,0.11,0.11,0.11,100000,0
GOV,5,20210205,113500,0.108,0.108,0.108,0.108,23033,0
GOV,5,20210205,115000,0.108,0.108,0.108,0.108,32005,0
GOV,5,20210205,115500,0.11,0.11,0.11,0.11,4500,0
GOV,5,20210205,120500,0.11,0.11,0.11,0.11,1500,0
GOV,5,20210205,121500,0.108,0.108,0.108,0.108,10000,0
GOV,5,20210205,122500,0.1095,0.11,0.1095,0.11,58000,0
GOV,5,20210205,123000,0.11,0.11,0.11,0.11,5150,0
GOV,5,20210205,123500,0.11,0.11,0.11,0.11,450,0
GOV,5,20210205,125500,0.108,0.108,0.108,0.108,10000,0
