<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRC,5,20210204,090000,41,41,40.2,40.2,63,0
GRC,5,20210204,095500,40.2,40.2,40.2,40.2,30,0
GRC,5,20210204,122000,40.2,41,40.2,41,59,0
GRC,5,20210204,164500,40.2,40.2,40.2,40.2,79,0
GRC,5,20210205,090000,40.2,40.2,40.2,40.2,5,0
GRC,5,20210205,111500,40.8,40.8,40.8,40.8,45,0
GRC,5,20210205,113500,40.2,40.2,40.2,40.2,10,0
GRC,5,20210205,130000,40.8,40.8,40.8,40.8,80,0
GRC,5,20210208,090000,40.2,40.2,40.2,40.2,24,0
GRC,5,20210208,095000,40.4,40.4,40.4,40.4,30,0
GRC,5,20210208,133500,40.8,40.8,40.8,40.8,60,0
GRC,5,20210208,160000,40.8,40.8,40.8,40.8,40,0
GRC,5,20210208,164000,41,41,41,41,59,0
GRC,5,20210209,090000,41,41,41,41,5,0
GRC,5,20210209,130500,40.8,41,40.8,41,273,0
GRC,5,20210209,132500,40.4,40.4,40.2,40.2,300,0
GRC,5,20210210,090000,41.4,41.4,41.4,41.4,5,0
GRC,5,20210210,092000,40.8,40.8,40.8,40.8,678,0
GRC,5,20210210,094000,40.8,40.8,40.8,40.8,10,0
GRC,5,20210210,095000,40.8,40.8,40.8,40.8,12,0
GRC,5,20210210,135500,41.2,46,41.2,46,935,0
GRC,5,20210210,140000,44.8,49.4,44.8,49.4,1170,0
GRC,5,20210210,140500,46,47.8,46,47,354,0
GRC,5,20210210,141000,47,47,46.2,46.2,525,0
GRC,5,20210210,141500,46,47,46,46,150,0
GRC,5,20210210,142000,46,47,46,47,194,0
GRC,5,20210210,142500,47.6,49.4,47.6,49.4,230,0
GRC,5,20210210,144000,48.8,49.4,48.8,49.4,205,0
GRC,5,20210210,144500,49.2,49.2,46.2,46.2,647,0
GRC,5,20210210,145000,46.4,46.4,46.2,46.2,99,0
GRC,5,20210210,145500,47.8,47.8,47.8,47.8,35,0
GRC,5,20210210,150500,46.2,46.2,46,46,109,0
GRC,5,20210210,153500,45.8,47,45.8,47,215,0
GRC,5,20210210,154500,46.6,46.6,46.6,46.6,31,0
GRC,5,20210210,161500,46.4,46.4,44.4,44.4,91,0
GRC,5,20210210,164500,45.8,48.8,45.8,48.8,450,0
GRC,5,20210211,090000,47.8,47.8,47.8,47.8,50,0
GRC,5,20210211,091500,45.6,45.6,45.6,45.6,50,0
GRC,5,20210211,092000,45.4,45.4,44.8,44.8,50,0
GRC,5,20210211,094000,45,46,45,46,70,0
GRC,5,20210211,094500,47,47,47,47,50,0
GRC,5,20210211,095000,47,47,47,47,100,0
GRC,5,20210211,103500,47,47.8,47,47.8,80,0
GRC,5,20210211,124500,47.6,47.6,47.6,47.6,40,0
GRC,5,20210211,125000,47.6,47.8,47.6,47.8,27,0
GRC,5,20210211,144000,46.2,46.2,46.2,46.2,80,0
GRC,5,20210211,150000,47.4,47.4,46.2,46.2,60,0
GRC,5,20210211,164500,47.6,48.2,47.6,48,414,0
GRC,5,20210212,090000,48,48,48,48,79,0
GRC,5,20210212,090500,48,48,48,48,21,0
GRC,5,20210212,093500,48,48,48,48,19,0
GRC,5,20210212,094500,48,48,48,48,30,0
GRC,5,20210212,164000,48.2,48.2,48.2,48.2,250,0
GRC,5,20210212,164500,48,48,48,48,61,0
GRC,5,20210215,090000,48,48,48,48,100,0
GRC,5,20210215,091000,48,48,48,48,48,0
GRC,5,20210215,091500,48,48,48,48,250,0
GRC,5,20210215,093500,48,48,48,48,28,0
GRC,5,20210215,094000,48,48,48,48,20,0
GRC,5,20210215,094500,48,48,48,48,154,0
GRC,5,20210215,095000,48.6,48.6,48.6,48.6,240,0
GRC,5,20210215,095500,48.6,48.6,48.6,48.6,460,0
GRC,5,20210215,100500,49.4,53,49.4,53,905,0
GRC,5,20210215,102000,51.5,51.5,51.5,51.5,10,0
GRC,5,20210215,102500,52.5,52.5,52.5,52.5,10,0
GRC,5,20210215,104000,52.5,52.5,52.5,52.5,9,0
GRC,5,20210215,104500,52.5,52.5,52.5,52.5,60,0
GRC,5,20210215,112000,51,51,51,51,65,0
GRC,5,20210215,112500,50.5,50.5,50.5,50.5,40,0
GRC,5,20210215,115000,50.5,50.5,50.5,50.5,38,0
GRC,5,20210215,131500,51,51,51,51,30,0
GRC,5,20210215,134500,50.5,50.5,50.5,50.5,46,0
GRC,5,20210215,142500,50,50,50,50,7,0
GRC,5,20210215,143500,50,50,50,50,10,0
GRC,5,20210215,144000,50,50,50,50,30,0
GRC,5,20210215,145000,50,50,50,50,2,0
GRC,5,20210215,150000,49.6,49.6,49.6,49.6,100,0
GRC,5,20210215,151000,50,50,50,50,14,0
GRC,5,20210215,151500,49.6,49.6,49.6,49.6,100,0
GRC,5,20210215,155000,50,50.5,50,50.5,150,0
GRC,5,20210215,161000,50,50,50,50,33,0
GRC,5,20210215,164500,50,50.5,49,49,1430,0
GRC,5,20210216,090000,50.5,50.5,49,49,111,0
GRC,5,20210216,091000,49,49,49,49,60,0
GRC,5,20210216,092500,50,50,50,50,50,0
GRC,5,20210216,093000,50,50,50,50,120,0
GRC,5,20210216,093500,50,50,50,50,40,0
GRC,5,20210216,094500,50,50,50,50,137,0
GRC,5,20210216,103000,50.5,50.5,50.5,50.5,30,0
GRC,5,20210216,105000,50.5,50.5,50.5,50.5,100,0
GRC,5,20210216,110500,50,50,50,50,90,0
GRC,5,20210216,112000,49,49,49,49,40,0
GRC,5,20210216,121500,48,48,48,48,197,0
GRC,5,20210216,122500,48,48,48,48,3,0
