<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRM,5,20210204,090000,0.39,0.39,0.39,0.39,400,0
GRM,5,20210204,094000,0.406,0.408,0.406,0.408,337,0
GRM,5,20210205,163500,0.408,0.408,0.408,0.408,100,0
GRM,5,20210208,090000,0.408,0.408,0.408,0.408,200,0
GRM,5,20210208,090500,0.408,0.408,0.408,0.408,1000,0
GRM,5,20210208,133500,0.406,0.406,0.406,0.406,250,0
GRM,5,20210208,150500,0.402,0.402,0.38,0.38,2500,0
GRM,5,20210208,152500,0.4,0.406,0.4,0.406,450,0
GRM,5,20210209,090000,0.408,0.408,0.408,0.408,100,0
GRM,5,20210209,091000,0.406,0.408,0.406,0.408,500,0
GRM,5,20210210,090000,0.408,0.408,0.408,0.408,100,0
GRM,5,20210211,090000,0.408,0.408,0.408,0.408,100,0
GRM,5,20210211,090500,0.408,0.488,0.408,0.45,13697,0
GRM,5,20210211,091000,0.43,0.43,0.43,0.43,8200,0
GRM,5,20210211,091500,0.43,0.43,0.43,0.43,600,0
GRM,5,20210211,094000,0.448,0.448,0.448,0.448,200,0
GRM,5,20210211,100500,0.43,0.43,0.43,0.43,1000,0
GRM,5,20210211,101500,0.448,0.46,0.448,0.46,2021,0
GRM,5,20210211,104000,0.458,0.46,0.458,0.46,400,0
GRM,5,20210211,105000,0.46,0.468,0.46,0.468,3970,0
GRM,5,20210211,105500,0.478,0.48,0.478,0.48,300,0
GRM,5,20210211,113000,0.47,0.47,0.47,0.47,1400,0
GRM,5,20210211,114000,0.48,0.48,0.47,0.48,1106,0
GRM,5,20210211,115500,0.47,0.47,0.47,0.47,799,0
GRM,5,20210211,120000,0.46,0.478,0.46,0.478,2044,0
GRM,5,20210211,122000,0.478,0.478,0.478,0.478,3128,0
GRM,5,20210211,143500,0.47,0.47,0.47,0.47,800,0
GRM,5,20210211,150500,0.46,0.46,0.46,0.46,234,0
GRM,5,20210211,154500,0.464,0.464,0.464,0.464,317,0
GRM,5,20210211,164500,0.44,0.44,0.432,0.432,1600,0
GRM,5,20210212,090000,0.448,0.466,0.448,0.466,235,0
GRM,5,20210212,091500,0.448,0.448,0.448,0.448,5800,0
GRM,5,20210212,094000,0.446,0.448,0.446,0.448,1068,0
GRM,5,20210212,100500,0.448,0.448,0.448,0.448,432,0
GRM,5,20210212,101500,0.448,0.448,0.448,0.448,6019,0
GRM,5,20210212,104500,0.448,0.448,0.448,0.448,900,0
