<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTF,5,20210204,111000,10.6,10.6,10.6,10.6,200,0
GTF,5,20210204,150000,12.6,12.6,12.6,12.6,53,0
GTF,5,20210205,110000,12.1,12.1,12.1,12.1,45,0
GTF,5,20210205,150000,14.4,14.4,14.4,14.4,7,0
GTF,5,20210205,152000,14.4,14.4,14.4,14.4,28,0
GTF,5,20210209,110000,14.3,14.3,14.3,14.3,1,0
GTF,5,20210209,150000,17.4,17.4,17.4,17.4,10,0
GTF,5,20210209,150500,17.4,17.4,17.4,17.4,6,0
GTF,5,20210210,112000,20.8,20.8,20.8,20.8,5,0
GTF,5,20210211,110000,20,20,20,20,1,0
GTF,5,20210212,110000,18.5,18.5,18.5,18.5,1,0
GTF,5,20210212,112500,18.5,18.5,18.5,18.5,5,0
GTF,5,20210215,110000,19.8,19.8,19.8,19.8,5,0
GTF,5,20210217,110000,18.3,18.3,18.3,18.3,1,0
GTF,5,20210217,112000,18.3,18.3,18.3,18.3,5,0
GTF,5,20210218,110000,18.3,18.3,18.3,18.3,1,0
GTF,5,20210219,150000,19.9,19.9,19.9,19.9,5,0
GTF,5,20210222,110000,19.8,19.8,19.8,19.8,1,0
GTF,5,20210223,110000,19.8,19.8,19.8,19.8,1,0
GTF,5,20210224,110000,19.8,19.8,19.8,19.8,1,0
GTF,5,20210225,110000,19.8,19.8,19.8,19.8,1,0
GTF,5,20210226,110000,19.8,19.8,19.8,19.8,11,0
GTF,5,20210302,110000,19.4,19.4,19.4,19.4,5,0
GTF,5,20210303,110000,19.4,19.4,19.4,19.4,1,0
GTF,5,20210304,110000,16,16,16,16,1,0
GTF,5,20210304,110500,16,16,16,16,11,0
GTF,5,20210304,150000,18.4,18.4,18.4,18.4,21,0
GTF,5,20210305,110000,19.4,19.4,19.4,19.4,9,0
GTF,5,20210308,110000,19.4,19.4,19.4,19.4,6,0
GTF,5,20210308,150000,19,19,19,19,1,0
GTF,5,20210309,110000,18.9,18.9,18.9,18.9,1,0
GTF,5,20210310,110000,18.9,18.9,18.9,18.9,1,0
GTF,5,20210312,110000,19.4,19.4,19.4,19.4,7,0
GTF,5,20210315,110000,19.3,19.3,19.3,19.3,5,0
GTF,5,20210316,150000,18.4,18.4,18.4,18.4,1,0
GTF,5,20210317,110000,18.4,18.4,18.4,18.4,1,0
GTF,5,20210318,110000,18.4,18.4,18.4,18.4,5,0
GTF,5,20210324,150000,14.7,14.7,14.7,14.7,10,0
GTF,5,20210324,151000,14.7,14.7,14.7,14.7,10,0
GTF,5,20210325,110000,16,16,16,16,5,0
GTF,5,20210325,110500,16,16,16,16,5,0
GTF,5,20210325,150000,16.5,16.5,16.5,16.5,5,0
