<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTP,5,20210204,110000,3.1,3.1,3.1,3.1,10,0
GTP,5,20210211,110000,3.1,3.1,3.1,3.1,1445,0
GTP,5,20210211,150000,3,3,3,3,50,0
GTP,5,20210212,150000,3.2,3.2,3.2,3.2,45,0
GTP,5,20210215,110000,3.38,3.38,3.38,3.38,20,0
GTP,5,20210215,150000,3.38,3.38,3.38,3.38,594,0
GTP,5,20210219,110000,3.38,3.38,3.38,3.38,450,0
GTP,5,20210223,150000,3.4,3.4,3.4,3.4,20,0
GTP,5,20210225,110000,3.5,3.5,3.5,3.5,30,0
GTP,5,20210225,150000,3.4,3.4,3.4,3.4,1424,0
GTP,5,20210226,110000,3.5,3.5,3.5,3.5,300,0
GTP,5,20210301,110000,3.62,3.62,3.62,3.62,20,0
GTP,5,20210301,150000,3.9,3.9,3.9,3.9,55,0
GTP,5,20210302,110000,3.94,3.94,3.94,3.94,5,0
GTP,5,20210302,150000,4,4,4,4,20,0
GTP,5,20210303,110000,4.2,4.2,4.2,4.2,20,0
GTP,5,20210303,150000,4.96,4.96,4.96,4.96,200,0
GTP,5,20210304,150000,6,6,6,6,1200,0
GTP,5,20210304,152000,6,6,6,6,152,0
GTP,5,20210308,110000,4.82,4.82,4.82,4.82,119,0
GTP,5,20210308,150000,4.82,4.82,4.82,4.82,120,0
GTP,5,20210311,110000,4.9,4.9,4.9,4.9,10,0
GTP,5,20210311,150000,4.9,4.9,4.9,4.9,56,0
GTP,5,20210312,110000,5,5,5,5,104,0
GTP,5,20210312,150000,4.9,4.9,4.9,4.9,36,0
GTP,5,20210315,110000,4.8,4.8,4.8,4.8,119,0
GTP,5,20210316,110000,4.78,4.78,4.78,4.78,10,0
GTP,5,20210316,150000,4.7,4.7,4.7,4.7,20,0
GTP,5,20210317,110000,4.7,4.7,4.7,4.7,10,0
GTP,5,20210318,110000,4.48,4.48,4.48,4.48,40,0
GTP,5,20210319,110000,3.44,3.44,3.44,3.44,270,0
GTP,5,20210322,110000,3.6,3.6,3.6,3.6,20,0
GTP,5,20210322,150000,3.76,3.76,3.76,3.76,22,0
GTP,5,20210325,110000,3.8,3.8,3.8,3.8,10,0
GTP,5,20210325,150000,3.8,3.8,3.8,3.8,39,0
GTP,5,20210326,110000,3.8,3.8,3.8,3.8,10,0
