<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTS,5,20210204,090000,19.5,19.6,19.5,19.5,314,0
GTS,5,20210204,091000,19.6,19.6,19.5,19.5,571,0
GTS,5,20210204,091500,19.5,19.5,19.5,19.5,937,0
GTS,5,20210204,092500,19.6,19.6,19.5,19.5,239,0
GTS,5,20210204,093000,19.5,19.6,19.5,19.6,556,0
GTS,5,20210204,093500,19.6,19.6,19.6,19.6,100,0
GTS,5,20210204,094000,19.6,19.6,19.5,19.6,327,0
GTS,5,20210204,094500,19.5,19.5,19.45,19.45,178,0
GTS,5,20210204,095000,19.5,19.5,19.5,19.5,250,0
GTS,5,20210204,100000,19.5,19.5,19.5,19.5,722,0
GTS,5,20210204,101000,19.5,19.5,19.45,19.45,50,0
GTS,5,20210204,101500,19.5,19.55,19.5,19.55,100,0
GTS,5,20210204,102000,19.5,19.5,19.5,19.5,200,0
GTS,5,20210204,102500,19.5,19.55,19.5,19.55,350,0
GTS,5,20210204,103000,19.45,19.45,19.45,19.45,100,0
GTS,5,20210204,110500,19.45,19.45,19.45,19.45,308,0
GTS,5,20210204,111000,19.5,19.5,19.5,19.5,50,0
GTS,5,20210204,112000,19.45,19.45,19.45,19.45,215,0
GTS,5,20210204,112500,19.5,19.5,19.5,19.5,150,0
GTS,5,20210204,120000,19.5,19.5,19.5,19.5,52,0
GTS,5,20210204,121000,19.5,19.5,19.5,19.5,294,0
GTS,5,20210204,121500,19.5,19.5,19.5,19.5,28,0
GTS,5,20210204,122500,19.6,19.6,19.6,19.6,385,0
GTS,5,20210204,123500,19.5,19.5,19.5,19.5,26,0
GTS,5,20210204,124000,19.5,19.5,19.5,19.5,50,0
GTS,5,20210204,131000,19.5,19.5,19.5,19.5,200,0
GTS,5,20210204,133500,19.6,19.6,19.6,19.6,100,0
GTS,5,20210204,134000,19.5,19.5,19.5,19.5,300,0
GTS,5,20210204,134500,19.5,19.5,19.4,19.4,1472,0
GTS,5,20210204,140500,19.55,19.55,19.55,19.55,16,0
GTS,5,20210204,141000,19.55,19.55,19.55,19.55,255,0
GTS,5,20210204,141500,19.55,19.55,19.55,19.55,6,0
GTS,5,20210204,144500,19.5,19.5,19.5,19.5,43,0
GTS,5,20210204,145000,19.5,19.5,19.45,19.45,300,0
GTS,5,20210204,145500,19.55,19.55,19.45,19.45,153,0
GTS,5,20210204,151500,19.45,19.45,19.45,19.45,10,0
GTS,5,20210204,152500,19.45,19.45,19.4,19.4,200,0
GTS,5,20210204,153000,19.4,19.4,19.4,19.4,200,0
GTS,5,20210204,154500,19.5,19.5,19.5,19.5,70,0
GTS,5,20210204,155000,19.45,19.5,19.45,19.5,784,0
GTS,5,20210204,160500,19.45,19.45,19.4,19.45,250,0
GTS,5,20210204,161000,19.45,19.45,19.45,19.45,2,0
GTS,5,20210204,161500,19.45,19.45,19.4,19.4,83,0
GTS,5,20210204,163000,19.5,19.5,19.5,19.5,80,0
GTS,5,20210204,163500,19.5,19.55,19.4,19.55,851,0
GTS,5,20210204,164500,19.4,19.5,19.4,19.5,598,0
GTS,5,20210205,090000,19.4,19.5,19.35,19.35,413,0
GTS,5,20210205,090500,19.35,19.5,19.35,19.5,777,0
