<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTY,5,20210205,110500,2.9,2.9,2.9,2.9,845,0
GTY,5,20210205,111000,2.9,2.9,2.9,2.9,551,0
GTY,5,20210205,111500,2.9,2.9,2.9,2.9,451,0
GTY,5,20210205,112000,2.9,2.9,2.9,2.9,549,0
GTY,5,20210205,150000,2.8,2.8,2.8,2.8,625,0
GTY,5,20210208,110000,2.8,2.8,2.8,2.8,213,0
GTY,5,20210209,110000,2.84,2.84,2.84,2.84,208,0
GTY,5,20210209,112500,2.84,2.84,2.84,2.84,145,0
GTY,5,20210212,110000,2.9,2.9,2.9,2.9,300,0
GTY,5,20210212,152500,2.9,2.9,2.9,2.9,80,0
GTY,5,20210215,151000,2.9,2.9,2.9,2.9,100,0
GTY,5,20210226,150000,2.9,2.9,2.9,2.9,1580,0
GTY,5,20210301,110000,3.02,3.02,3.02,3.02,1632,0
GTY,5,20210301,150000,3.05,3.05,3.05,3.05,200,0
GTY,5,20210301,152000,3.05,3.05,3.05,3.05,256,0
GTY,5,20210302,110000,3.05,3.05,3.05,3.05,1031,0
GTY,5,20210302,150000,3.07,3.07,3.07,3.07,1013,0
GTY,5,20210303,110000,3.07,3.07,3.07,3.07,58,0
GTY,5,20210303,110500,3.07,3.07,3.07,3.07,100,0
GTY,5,20210303,112500,3.07,3.07,3.07,3.07,100,0
GTY,5,20210303,150000,3.07,3.07,3.07,3.07,200,0
GTY,5,20210305,110000,3.15,3.15,3.15,3.15,64,0
GTY,5,20210309,110000,3.2,3.2,3.2,3.2,1942,0
GTY,5,20210309,150000,3.24,3.24,3.24,3.24,309,0
GTY,5,20210310,110000,3.3,3.3,3.3,3.3,4000,0
GTY,5,20210311,150000,3.44,3.44,3.44,3.44,311,0
GTY,5,20210312,110000,3.69,3.69,3.69,3.69,150,0
GTY,5,20210312,150000,3.7,3.7,3.7,3.7,870,0
GTY,5,20210315,110000,4,4,4,4,50,0
GTY,5,20210315,111000,4,4,4,4,26,0
GTY,5,20210315,111500,4,4,4,4,74,0
GTY,5,20210316,150000,4.3,4.3,4.3,4.3,2,0
GTY,5,20210316,152000,4.3,4.3,4.3,4.3,138,0
GTY,5,20210317,110000,5,5,5,5,30,0
GTY,5,20210318,110000,4.5,4.5,4.5,4.5,2932,0
GTY,5,20210318,150000,4.5,4.5,4.5,4.5,1200,0
GTY,5,20210318,150500,4.5,4.5,4.5,4.5,2000,0
GTY,5,20210318,151000,4.5,4.5,4.5,4.5,9438,0
GTY,5,20210319,110000,4.5,4.5,4.5,4.5,100,0
GTY,5,20210322,150000,5.05,5.05,5.05,5.05,180,0
GTY,5,20210323,110000,5.05,5.05,5.05,5.05,100,0
GTY,5,20210323,150000,4.55,4.55,4.55,4.55,150,0
GTY,5,20210324,110000,5.45,5.45,5.45,5.45,120,0
GTY,5,20210324,150000,5.5,5.5,5.5,5.5,1100,0
GTY,5,20210325,110000,6,6,6,6,325,0
