<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GX1,5,20210204,090000,34.95,34.95,33.005,34.5,2752,0
GX1,5,20210204,090500,34,34,33.005,33.005,323,0
GX1,5,20210204,091000,33.23,34.39,33.23,33.52,499,0
GX1,5,20210204,091500,34,34.37,33.4,33.4,594,0
GX1,5,20210204,092000,33.4,33.8,33.005,33.8,895,0
GX1,5,20210204,092500,33.89,33.89,33.89,33.89,31,0
GX1,5,20210204,093000,33.9,33.9,33.9,33.9,97,0
GX1,5,20210204,093500,34,34.34,34,34.34,60,0
GX1,5,20210204,094000,34.34,34.34,33.79,33.79,360,0
GX1,5,20210204,094500,33.8,33.8,33.8,33.8,13,0
GX1,5,20210204,095000,33.8,33.8,33.79,33.79,858,0
GX1,5,20210204,095500,33.4,33.43,33.4,33.43,67,0
GX1,5,20210204,100000,33.445,33.5,33.445,33.5,161,0
GX1,5,20210204,100500,33.45,33.64,33.45,33.64,356,0
GX1,5,20210204,101000,33.45,33.45,33.1,33.1,570,0
GX1,5,20210204,101500,33.5,33.55,33.5,33.55,55,0
GX1,5,20210204,102000,33.55,33.79,33.55,33.79,142,0
GX1,5,20210204,102500,33.8,34,33.8,34,328,0
GX1,5,20210204,103000,34.17,34.17,34.17,34.17,100,0
GX1,5,20210204,103500,34.085,34.085,34.085,34.085,26,0
GX1,5,20210204,104000,33.8,33.8,33.8,33.8,334,0
GX1,5,20210204,104500,33.8,33.99,33.8,33.99,77,0
GX1,5,20210204,105000,33.97,34.2,33.97,34.2,900,0
GX1,5,20210204,111000,33.8,33.8,33.8,33.8,2,0
GX1,5,20210204,111500,34.2,34.35,34.2,34.35,60,0
GX1,5,20210204,113500,33.8,33.8,33.8,33.8,119,0
GX1,5,20210204,114000,34,34,34,34,30,0
GX1,5,20210204,115000,34,34,34,34,8,0
GX1,5,20210204,115500,34.2,34.2,34.2,34.2,2,0
GX1,5,20210204,120000,33.8,33.8,33.8,33.8,2,0
GX1,5,20210204,121000,34,34,33.8,33.8,72,0
GX1,5,20210204,122000,33.8,33.8,33.61,33.61,48,0
GX1,5,20210204,124500,33.61,33.7,33.6,33.7,82,0
GX1,5,20210204,125000,33.5,33.5,33.5,33.5,176,0
GX1,5,20210204,130000,33.6,33.6,33.6,33.6,9,0
GX1,5,20210204,132000,33.6,33.98,33.6,33.98,35,0
GX1,5,20210204,132500,33.8,33.8,33.385,33.385,449,0
GX1,5,20210204,133000,33.7,33.7,33.7,33.7,14,0
GX1,5,20210204,133500,33.7,33.7,33.42,33.42,204,0
GX1,5,20210204,134500,33.45,33.45,33.44,33.44,70,0
GX1,5,20210204,135000,33.45,33.45,33.45,33.45,50,0
GX1,5,20210204,135500,33.43,33.7,33.39,33.7,190,0
GX1,5,20210204,140000,33.39,33.39,33.39,33.39,2,0
GX1,5,20210204,141000,33.39,33.39,33.39,33.39,65,0
GX1,5,20210204,141500,33.385,33.5,33.385,33.385,188,0
GX1,5,20210204,142000,33.33,33.33,33.22,33.22,488,0
GX1,5,20210204,142500,33.22,33.22,33.18,33.18,282,0
GX1,5,20210204,143000,33.2,33.2,33.2,33.2,15,0
GX1,5,20210204,143500,33.22,33.22,33.21,33.21,100,0
GX1,5,20210204,144000,33.18,33.49,33,33,633,0
GX1,5,20210204,144500,33.05,33.45,33,33,802,0
GX1,5,20210204,145000,32.85,32.85,32.5,32.8,823,0
GX1,5,20210204,150500,33.1,33.1,33.1,33.1,39,0
GX1,5,20210204,151000,33.1,33.2,32.73,33.2,55,0
GX1,5,20210204,152000,33.2,33.4,33.2,33.4,19,0
GX1,5,20210204,152500,33.35,33.35,33.2,33.2,105,0
GX1,5,20210204,153000,33.01,33.01,33.01,33.01,3,0
GX1,5,20210204,154000,33.2,33.35,33.2,33.35,65,0
GX1,5,20210204,155000,33.35,33.35,33.35,33.35,15,0
GX1,5,20210204,160000,33.35,33.5,33.35,33.5,880,0
GX1,5,20210204,160500,33.65,33.65,33.5,33.5,81,0
GX1,5,20210204,161500,33.9,34,33.9,34,649,0
GX1,5,20210204,162000,34.28,34.28,33.53,33.53,485,0
GX1,5,20210204,162500,34,34,34,34,29,0
GX1,5,20210204,163000,34,34.18,34,34.18,387,0
GX1,5,20210204,163500,34,34,34,34,379,0
GX1,5,20210204,164000,34,34,34,34,121,0
GX1,5,20210204,164500,34,34,33.8,33.8,130,0
GX1,5,20210205,090000,34.8,34.8,34.77,34.77,403,0
GX1,5,20210205,091000,34.01,34.01,33.9,33.9,210,0
