<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMP,5,20210204,090000,0.585,0.585,0.585,0.585,13500,0
HMP,5,20210204,090500,0.585,0.585,0.585,0.585,301,0
HMP,5,20210204,094000,0.585,0.585,0.585,0.585,5199,0
HMP,5,20210204,094500,0.585,0.585,0.585,0.585,1705,0
HMP,5,20210204,095500,0.58,0.58,0.575,0.575,8092,0
HMP,5,20210204,100000,0.575,0.575,0.56,0.56,25900,0
HMP,5,20210204,100500,0.56,0.56,0.56,0.56,4417,0
HMP,5,20210204,103000,0.58,0.58,0.58,0.58,10,0
HMP,5,20210204,105000,0.57,0.57,0.57,0.57,2000,0
HMP,5,20210204,114000,0.58,0.58,0.58,0.58,1990,0
HMP,5,20210204,123000,0.58,0.58,0.58,0.58,2000,0
HMP,5,20210204,125000,0.57,0.57,0.57,0.57,5000,0
HMP,5,20210204,125500,0.565,0.565,0.56,0.56,5000,0
HMP,5,20210204,130000,0.58,0.58,0.58,0.58,10,0
HMP,5,20210204,140000,0.58,0.58,0.58,0.58,600,0
HMP,5,20210204,141000,0.565,0.565,0.55,0.55,52048,0
HMP,5,20210204,143500,0.575,0.575,0.575,0.575,150,0
HMP,5,20210204,150000,0.57,0.57,0.57,0.57,1000,0
HMP,5,20210204,150500,0.57,0.57,0.57,0.57,200,0
HMP,5,20210204,151000,0.575,0.575,0.575,0.575,650,0
HMP,5,20210204,152500,0.575,0.575,0.575,0.575,1038,0
HMP,5,20210204,153000,0.575,0.575,0.575,0.575,1312,0
HMP,5,20210204,153500,0.575,0.575,0.575,0.575,8718,0
HMP,5,20210204,154000,0.575,0.575,0.575,0.575,1970,0
HMP,5,20210204,161000,0.575,0.58,0.575,0.58,240,0
HMP,5,20210204,162000,0.58,0.58,0.58,0.58,1380,0
HMP,5,20210204,162500,0.58,0.59,0.58,0.59,4837,0
HMP,5,20210204,163000,0.59,0.59,0.59,0.59,800,0
HMP,5,20210204,164000,0.58,0.6,0.58,0.6,15759,0
HMP,5,20210204,164500,0.58,0.6,0.58,0.6,17414,0
HMP,5,20210205,090000,0.6,0.61,0.6,0.61,4800,0
HMP,5,20210205,090500,0.58,0.58,0.58,0.58,1000,0
HMP,5,20210205,091000,0.58,0.58,0.58,0.58,4478,0
HMP,5,20210205,100500,0.58,0.58,0.58,0.58,665,0
HMP,5,20210205,101500,0.58,0.58,0.58,0.58,8505,0
HMP,5,20210205,110500,0.59,0.59,0.59,0.59,100,0
HMP,5,20210205,121500,0.59,0.59,0.59,0.59,61,0
HMP,5,20210205,122500,0.59,0.59,0.59,0.59,5690,0
HMP,5,20210205,134000,0.59,0.59,0.59,0.59,2000,0
HMP,5,20210205,135000,0.595,0.595,0.595,0.595,1377,0
HMP,5,20210205,135500,0.595,0.595,0.595,0.595,1692,0
HMP,5,20210205,140000,0.595,0.6,0.595,0.6,210,0
HMP,5,20210205,140500,0.595,0.595,0.595,0.595,3231,0
HMP,5,20210205,142000,0.59,0.59,0.59,0.59,134,0
HMP,5,20210205,143000,0.59,0.59,0.59,0.59,500,0
HMP,5,20210205,152000,0.59,0.59,0.59,0.59,108,0
HMP,5,20210205,152500,0.585,0.585,0.585,0.585,1392,0
HMP,5,20210205,153000,0.585,0.585,0.58,0.58,10000,0
HMP,5,20210205,161000,0.595,0.595,0.595,0.595,10,0
HMP,5,20210205,164000,0.595,0.595,0.595,0.595,3500,0
HMP,5,20210208,090000,0.6,0.6,0.595,0.595,19680,0
HMP,5,20210208,090500,0.6,0.61,0.6,0.61,48101,0
HMP,5,20210208,091000,0.605,0.605,0.605,0.605,10000,0
HMP,5,20210208,091500,0.605,0.605,0.605,0.605,2800,0
HMP,5,20210208,093500,0.6,0.6,0.6,0.6,724,0
HMP,5,20210208,094000,0.59,0.605,0.59,0.605,14777,0
HMP,5,20210208,094500,0.585,0.585,0.585,0.585,75,0
HMP,5,20210208,100500,0.6,0.605,0.6,0.605,9136,0
HMP,5,20210208,101000,0.605,0.605,0.605,0.605,6476,0
HMP,5,20210208,102500,0.605,0.61,0.6,0.6,7574,0
HMP,5,20210208,103500,0.6,0.6,0.6,0.6,5000,0
HMP,5,20210208,104000,0.6,0.6,0.6,0.6,7126,0
HMP,5,20210208,104500,0.6,0.6,0.6,0.6,374,0
HMP,5,20210208,105500,0.595,0.595,0.59,0.59,17500,0
HMP,5,20210208,110000,0.585,0.585,0.585,0.585,2980,0
HMP,5,20210208,110500,0.585,0.585,0.58,0.58,15020,0
HMP,5,20210208,111000,0.6,0.6,0.6,0.6,8000,0
HMP,5,20210208,121500,0.6,0.6,0.6,0.6,838,0
HMP,5,20210208,122500,0.6,0.6,0.6,0.6,5000,0
HMP,5,20210208,124500,0.6,0.6,0.6,0.6,2450,0
HMP,5,20210208,125000,0.6,0.6,0.6,0.6,3980,0
HMP,5,20210208,131500,0.6,0.6,0.6,0.6,1000,0
HMP,5,20210208,135000,0.59,0.59,0.59,0.59,2600,0
HMP,5,20210208,135500,0.6,0.6,0.6,0.6,1200,0
HMP,5,20210208,140000,0.6,0.6,0.6,0.6,12500,0
HMP,5,20210208,140500,0.6,0.6,0.6,0.6,1800,0
HMP,5,20210208,143000,0.6,0.6,0.6,0.6,2500,0
HMP,5,20210208,152000,0.6,0.6,0.6,0.6,2500,0
HMP,5,20210208,154500,0.6,0.625,0.6,0.625,166411,0
HMP,5,20210208,155000,0.625,0.66,0.625,0.64,107004,0
HMP,5,20210208,155500,0.63,0.65,0.615,0.635,25498,0
HMP,5,20210208,160000,0.64,0.645,0.64,0.64,19183,0
HMP,5,20210208,160500,0.64,0.64,0.64,0.64,14918,0
HMP,5,20210208,161000,0.65,0.65,0.65,0.65,5000,0
HMP,5,20210208,161500,0.65,0.65,0.64,0.65,3179,0
HMP,5,20210208,162000,0.645,0.68,0.64,0.68,150717,0
HMP,5,20210208,162500,0.68,0.72,0.68,0.685,175975,0
HMP,5,20210208,163000,0.69,0.7,0.67,0.67,40871,0
HMP,5,20210208,163500,0.675,0.695,0.675,0.69,38195,0
HMP,5,20210208,164000,0.69,0.69,0.675,0.69,14130,0
HMP,5,20210208,164500,0.69,0.69,0.66,0.685,96565,0
HMP,5,20210209,090000,0.72,0.72,0.67,0.67,119505,0
HMP,5,20210209,090500,0.685,0.685,0.66,0.67,78353,0
HMP,5,20210209,091000,0.655,0.655,0.65,0.65,17800,0
HMP,5,20210209,091500,0.655,0.665,0.655,0.655,14795,0
HMP,5,20210209,092000,0.665,0.67,0.655,0.67,27597,0
HMP,5,20210209,092500,0.67,0.675,0.67,0.67,33445,0
HMP,5,20210209,093000,0.67,0.68,0.655,0.655,12564,0
HMP,5,20210209,093500,0.655,0.655,0.65,0.65,12000,0
HMP,5,20210209,094000,0.66,0.67,0.66,0.67,6451,0
HMP,5,20210209,094500,0.66,0.66,0.635,0.635,46340,0
HMP,5,20210209,095000,0.655,0.675,0.655,0.675,54835,0
HMP,5,20210209,095500,0.67,0.67,0.67,0.67,1480,0
HMP,5,20210209,100000,0.66,0.68,0.66,0.68,39776,0
HMP,5,20210209,101000,0.68,0.68,0.66,0.66,6055,0
HMP,5,20210209,102500,0.675,0.68,0.665,0.665,11000,0
HMP,5,20210209,103000,0.665,0.68,0.665,0.68,6340,0
HMP,5,20210209,103500,0.68,0.68,0.68,0.68,25000,0
HMP,5,20210209,104000,0.68,0.69,0.67,0.69,29486,0
HMP,5,20210209,104500,0.69,0.7,0.69,0.7,24285,0
HMP,5,20210209,105500,0.69,0.71,0.69,0.71,22028,0
HMP,5,20210209,110000,0.7,0.7,0.7,0.7,19135,0
HMP,5,20210209,110500,0.7,0.7,0.7,0.7,20978,0
HMP,5,20210209,111000,0.7,0.7,0.7,0.7,5000,0
HMP,5,20210209,111500,0.69,0.69,0.665,0.665,6500,0
HMP,5,20210209,112000,0.67,0.67,0.67,0.67,1000,0
HMP,5,20210209,112500,0.675,0.675,0.67,0.675,7340,0
HMP,5,20210209,113500,0.69,0.69,0.69,0.69,2573,0
HMP,5,20210209,115000,0.68,0.68,0.67,0.67,35500,0
HMP,5,20210209,115500,0.68,0.68,0.68,0.68,4900,0
HMP,5,20210209,120500,0.68,0.68,0.68,0.68,1100,0
HMP,5,20210209,121000,0.67,0.67,0.67,0.67,1000,0
HMP,5,20210209,122000,0.68,0.68,0.68,0.68,600,0
HMP,5,20210209,123000,0.68,0.68,0.68,0.68,4130,0
HMP,5,20210209,123500,0.685,0.685,0.685,0.685,3870,0
HMP,5,20210209,130000,0.675,0.675,0.67,0.67,15769,0
HMP,5,20210209,130500,0.68,0.68,0.68,0.68,700,0
HMP,5,20210209,131000,0.68,0.68,0.68,0.68,1385,0
HMP,5,20210209,131500,0.685,0.685,0.685,0.685,210,0
HMP,5,20210209,132000,0.685,0.685,0.685,0.685,5000,0
HMP,5,20210209,132500,0.685,0.69,0.685,0.69,265,0
HMP,5,20210209,134500,0.69,0.695,0.69,0.695,7600,0
HMP,5,20210209,135000,0.695,0.7,0.695,0.695,22716,0
HMP,5,20210209,135500,0.7,0.7,0.695,0.695,1164,0
HMP,5,20210209,140000,0.68,0.68,0.68,0.68,4000,0
HMP,5,20210209,140500,0.68,0.68,0.68,0.68,20000,0
HMP,5,20210209,141000,0.67,0.67,0.67,0.67,9782,0
HMP,5,20210209,142000,0.67,0.685,0.67,0.685,5199,0
HMP,5,20210209,142500,0.685,0.7,0.685,0.695,14996,0
HMP,5,20210209,143500,0.675,0.675,0.675,0.675,7000,0
HMP,5,20210209,144500,0.69,0.69,0.69,0.69,200,0
HMP,5,20210209,145000,0.69,0.69,0.685,0.685,1300,0
HMP,5,20210209,150000,0.685,0.685,0.68,0.68,8097,0
HMP,5,20210209,150500,0.69,0.69,0.69,0.69,1500,0
HMP,5,20210209,151000,0.695,0.695,0.695,0.695,833,0
HMP,5,20210209,151500,0.675,0.675,0.675,0.675,1000,0
HMP,5,20210209,153500,0.69,0.69,0.675,0.69,8400,0
HMP,5,20210209,154000,0.69,0.695,0.69,0.695,9436,0
HMP,5,20210209,154500,0.68,0.68,0.68,0.68,230,0
HMP,5,20210209,162000,0.68,0.68,0.68,0.68,1000,0
HMP,5,20210209,162500,0.69,0.69,0.69,0.69,381,0
HMP,5,20210209,163500,0.69,0.695,0.69,0.695,4328,0
HMP,5,20210209,164500,0.69,0.69,0.68,0.685,8454,0
HMP,5,20210210,090000,0.7,0.7,0.68,0.68,22910,0
HMP,5,20210210,090500,0.685,0.69,0.685,0.69,16463,0
HMP,5,20210210,091000,0.7,0.7,0.69,0.69,25000,0
HMP,5,20210210,091500,0.69,0.69,0.69,0.69,1000,0
HMP,5,20210210,092000,0.69,0.69,0.69,0.69,2277,0
HMP,5,20210210,092500,0.685,0.69,0.685,0.69,6935,0
HMP,5,20210210,093000,0.685,0.7,0.685,0.7,13195,0
HMP,5,20210210,093500,0.69,0.7,0.69,0.7,29748,0
HMP,5,20210210,094000,0.7,0.75,0.7,0.75,131648,0
HMP,5,20210210,094500,0.75,0.77,0.75,0.75,56152,0
HMP,5,20210210,095000,0.73,0.75,0.73,0.745,29800,0
HMP,5,20210210,095500,0.745,0.745,0.72,0.72,67390,0
HMP,5,20210210,100000,0.725,0.725,0.725,0.725,29600,0
HMP,5,20210210,100500,0.725,0.74,0.72,0.74,18533,0
HMP,5,20210210,101000,0.74,0.74,0.74,0.74,15001,0
HMP,5,20210210,101500,0.73,0.73,0.72,0.72,16661,0
HMP,5,20210210,102000,0.735,0.735,0.735,0.735,272,0
HMP,5,20210210,102500,0.735,0.735,0.725,0.725,4150,0
HMP,5,20210210,103500,0.73,0.73,0.73,0.73,2650,0
HMP,5,20210210,104000,0.73,0.73,0.71,0.72,22290,0
HMP,5,20210210,104500,0.72,0.72,0.72,0.72,13000,0
HMP,5,20210210,105000,0.72,0.72,0.72,0.72,9500,0
HMP,5,20210210,110500,0.72,0.72,0.72,0.72,7690,0
HMP,5,20210210,111500,0.72,0.73,0.72,0.73,2880,0
HMP,5,20210210,112000,0.73,0.73,0.72,0.72,7395,0
HMP,5,20210210,112500,0.72,0.72,0.71,0.71,2995,0
HMP,5,20210210,113000,0.71,0.72,0.71,0.72,6124,0
HMP,5,20210210,113500,0.72,0.72,0.71,0.71,800,0
HMP,5,20210210,114000,0.71,0.71,0.705,0.705,10719,0
HMP,5,20210210,115000,0.71,0.71,0.71,0.71,1264,0
HMP,5,20210210,121500,0.72,0.73,0.72,0.73,3198,0
HMP,5,20210210,122000,0.73,0.735,0.73,0.735,24949,0
HMP,5,20210210,123500,0.735,0.735,0.735,0.735,3000,0
HMP,5,20210210,124000,0.735,0.74,0.73,0.74,9447,0
HMP,5,20210210,124500,0.735,0.735,0.735,0.735,6339,0
HMP,5,20210210,130000,0.735,0.735,0.735,0.735,500,0
HMP,5,20210210,131000,0.735,0.74,0.73,0.73,6236,0
HMP,5,20210210,131500,0.73,0.73,0.73,0.73,2900,0
HMP,5,20210210,132000,0.74,0.74,0.74,0.74,12385,0
HMP,5,20210210,133000,0.74,0.74,0.74,0.74,2946,0
HMP,5,20210210,133500,0.745,0.745,0.745,0.745,20,0
HMP,5,20210210,134000,0.745,0.745,0.745,0.745,1000,0
HMP,5,20210210,134500,0.745,0.745,0.73,0.73,1464,0
HMP,5,20210210,135000,0.72,0.72,0.72,0.72,5736,0
HMP,5,20210210,135500,0.735,0.74,0.735,0.74,1000,0
HMP,5,20210210,140000,0.74,0.745,0.74,0.745,3884,0
