<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOR,5,20210204,135500,3.04,3.04,3.04,3.04,1593,0
HOR,5,20210204,140000,3.06,3.06,3.06,3.06,1841,0
HOR,5,20210205,090000,3.04,3.04,3.04,3.04,1500,0
HOR,5,20210205,091500,3.04,3.04,3.04,3.04,997,0
HOR,5,20210205,100000,3.04,3.04,3.04,3.04,550,0
HOR,5,20210205,162500,3.04,3.04,3.04,3.04,381,0
HOR,5,20210208,122500,3.02,3.04,3.02,3.04,2708,0
HOR,5,20210208,133500,3.02,3.02,3.02,3.02,1000,0
HOR,5,20210208,140000,3.04,3.04,3.04,3.04,2220,0
HOR,5,20210208,151500,3.04,3.04,3.04,3.04,1201,0
HOR,5,20210209,090000,3.06,3.06,3.06,3.06,654,0
HOR,5,20210209,092500,3.04,3.04,3.04,3.04,543,0
HOR,5,20210209,143500,3.04,3.04,3.04,3.04,500,0
HOR,5,20210210,105000,3.02,3.02,3.02,3.02,650,0
HOR,5,20210210,131000,3.04,3.04,3.04,3.04,501,0
HOR,5,20210210,131500,3.06,3.06,3.06,3.06,280,0
HOR,5,20210210,132000,3.06,3.06,3.06,3.06,5000,0
HOR,5,20210210,150000,3.06,3.06,3.06,3.06,12000,0
HOR,5,20210210,151500,3.06,3.06,3.06,3.06,1500,0
HOR,5,20210210,153000,3.06,3.06,3.06,3.06,3000,0
HOR,5,20210210,154000,3.06,3.06,3.06,3.06,4000,0
HOR,5,20210210,154500,3.06,3.06,3.06,3.06,5000,0
HOR,5,20210210,155000,3.06,3.06,3.06,3.06,15347,0
HOR,5,20210210,155500,3.24,3.4,3.24,3.4,17387,0
HOR,5,20210210,160000,3.32,3.44,3.3,3.44,3500,0
HOR,5,20210210,160500,3.4,3.4,3.38,3.38,700,0
HOR,5,20210210,162500,3.38,3.38,3.38,3.38,500,0
HOR,5,20210210,163500,3.38,3.38,3.12,3.12,8866,0
HOR,5,20210210,164000,3.36,3.36,3.36,3.36,328,0
HOR,5,20210210,164500,3.16,3.28,3.14,3.28,5000,0
HOR,5,20210211,090000,3.28,3.36,3.28,3.36,1300,0
HOR,5,20210211,091500,3.3,3.3,3.3,3.3,100,0
HOR,5,20210211,094000,3.3,3.3,3.3,3.3,2321,0
HOR,5,20210211,094500,3.3,3.36,3.3,3.36,297,0
HOR,5,20210211,095000,3.36,3.4,3.36,3.4,940,0
HOR,5,20210211,095500,3.4,3.48,3.4,3.48,1000,0
HOR,5,20210211,102500,3.44,3.44,3.44,3.44,10,0
HOR,5,20210211,104500,3.44,3.44,3.44,3.44,10,0
HOR,5,20210211,105000,3.36,3.36,3.36,3.36,159,0
HOR,5,20210211,105500,3.2,3.2,3.16,3.16,841,0
HOR,5,20210211,115500,3.2,3.2,3.2,3.2,1415,0
HOR,5,20210211,135500,3.26,3.3,3.26,3.3,1200,0
HOR,5,20210211,140000,3.3,3.3,3.3,3.3,301,0
HOR,5,20210211,140500,3.3,3.46,3.3,3.46,3100,0
HOR,5,20210211,143000,3.46,3.46,3.46,3.46,300,0
HOR,5,20210211,144500,3.46,3.56,3.46,3.56,5961,0
HOR,5,20210211,145000,3.56,3.56,3.56,3.56,1050,0
HOR,5,20210211,145500,3.54,3.56,3.54,3.56,1010,0
HOR,5,20210211,161000,3.5,3.5,3.4,3.4,229,0
HOR,5,20210212,090000,3.6,3.6,3.6,3.6,50,0
HOR,5,20210212,113000,3.54,3.54,3.54,3.54,250,0
HOR,5,20210212,114500,3.56,3.56,3.56,3.56,500,0
HOR,5,20210212,120500,3.56,3.8,3.56,3.8,10110,0
HOR,5,20210212,121000,3.74,3.78,3.74,3.78,4479,0
HOR,5,20210212,122000,3.78,3.88,3.78,3.88,7230,0
HOR,5,20210212,122500,3.78,3.86,3.78,3.82,3242,0
HOR,5,20210212,123000,3.86,3.9,3.86,3.9,4092,0
HOR,5,20210212,123500,3.9,3.9,3.9,3.9,511,0
HOR,5,20210212,124500,3.88,3.88,3.88,3.88,204,0
HOR,5,20210212,125000,3.9,3.9,3.9,3.9,9,0
HOR,5,20210212,133500,3.9,3.9,3.9,3.9,7650,0
HOR,5,20210212,134000,3.9,3.9,3.9,3.9,3259,0
HOR,5,20210212,134500,3.9,4.1,3.9,4.1,16831,0
HOR,5,20210212,135000,4.2,4.3,4.2,4.3,1604,0
HOR,5,20210212,144000,4.6,4.6,4.4,4.4,4457,0
HOR,5,20210212,144500,4.5,4.5,4.16,4.16,4107,0
HOR,5,20210212,145000,4.28,4.28,4.28,4.28,200,0
HOR,5,20210212,151500,4.18,4.18,3.9,3.9,13769,0
HOR,5,20210212,152000,3.82,3.96,3.7,3.94,6865,0
HOR,5,20210212,152500,3.9,3.9,3.9,3.9,500,0
HOR,5,20210212,153000,3.96,3.98,3.96,3.98,1500,0
HOR,5,20210212,154000,3.92,3.92,3.9,3.9,5842,0
HOR,5,20210212,155000,4,4,4,4,300,0
HOR,5,20210212,155500,3.9,3.9,3.84,3.84,5748,0
HOR,5,20210212,160000,3.8,3.96,3.74,3.96,2229,0
HOR,5,20210212,160500,3.96,3.96,3.96,3.96,150,0
HOR,5,20210212,161000,3.9,3.9,3.9,3.9,130,0
HOR,5,20210212,161500,3.94,3.98,3.94,3.98,1041,0
HOR,5,20210212,162000,4.06,4.1,4.06,4.1,2421,0
HOR,5,20210212,163500,4.12,4.12,4.1,4.1,1860,0
HOR,5,20210212,164000,4.1,4.1,4.1,4.1,650,0
HOR,5,20210212,164500,4.12,4.12,4.08,4.08,1580,0
HOR,5,20210215,090000,4.14,4.96,4.14,4.96,25753,0
HOR,5,20210215,090500,4.9,4.96,4.68,4.94,4433,0
HOR,5,20210215,091000,4.74,4.74,4.68,4.68,573,0
HOR,5,20210215,091500,4.68,4.68,4.5,4.5,638,0
HOR,5,20210215,092000,4.5,4.5,4.5,4.5,100,0
HOR,5,20210215,093000,4.5,4.6,4.5,4.6,410,0
HOR,5,20210215,094000,4.7,4.7,4.7,4.7,346,0
HOR,5,20210215,094500,4.7,4.7,4.7,4.7,154,0
HOR,5,20210215,095000,4.8,4.8,4.7,4.7,1900,0
HOR,5,20210215,095500,4.7,4.7,4.7,4.7,249,0
HOR,5,20210215,100000,4.7,4.78,4.7,4.78,1803,0
HOR,5,20210215,101000,4.6,4.6,4.6,4.6,340,0
HOR,5,20210215,101500,4.6,4.6,4.52,4.52,1000,0
HOR,5,20210215,103000,4.58,4.58,4.54,4.54,308,0
HOR,5,20210215,103500,4.58,4.78,4.58,4.78,142,0
HOR,5,20210215,104000,4.54,4.54,4.54,4.54,303,0
HOR,5,20210215,104500,4.7,4.7,4.7,4.7,400,0
HOR,5,20210215,105000,4.7,4.7,4.56,4.6,3100,0
HOR,5,20210215,110000,4.6,4.6,4.6,4.6,400,0
HOR,5,20210215,110500,4.56,4.56,4.52,4.52,2500,0
HOR,5,20210215,111000,4.52,4.52,4.5,4.5,1110,0
HOR,5,20210215,111500,4.52,4.52,4.52,4.52,300,0
HOR,5,20210215,112000,4.52,4.54,4.52,4.54,200,0
HOR,5,20210215,112500,4.56,4.56,4.56,4.56,975,0
HOR,5,20210215,114500,4.56,4.56,4.5,4.5,460,0
HOR,5,20210215,115000,4.6,4.6,4.6,4.6,45,0
HOR,5,20210215,120000,4.6,4.94,4.6,4.94,23315,0
HOR,5,20210215,120500,4.9,4.9,4.4,4.6,9423,0
HOR,5,20210215,121000,4.6,4.68,4.5,4.52,6211,0
HOR,5,20210215,121500,4.44,4.62,4.44,4.56,3287,0
HOR,5,20210215,122000,4.56,4.56,4.4,4.48,3330,0
HOR,5,20210215,122500,4.48,4.48,4.4,4.4,1110,0
HOR,5,20210215,123000,4.4,4.4,4.4,4.4,600,0
HOR,5,20210215,123500,4.3,4.3,4.06,4.08,10765,0
HOR,5,20210215,124000,4.2,4.3,4.2,4.3,3509,0
HOR,5,20210215,124500,4.3,4.3,4.3,4.3,500,0
HOR,5,20210215,125000,4.3,4.3,4.3,4.3,650,0
HOR,5,20210215,125500,4.38,4.38,4.38,4.38,422,0
HOR,5,20210215,130000,4.36,4.36,4.36,4.36,100,0
HOR,5,20210215,130500,4.22,4.22,4.2,4.2,1350,0
HOR,5,20210215,131000,4.34,4.36,4.34,4.36,837,0
HOR,5,20210215,132000,4.3,4.3,4.3,4.3,316,0
HOR,5,20210215,133000,4.12,4.12,4.1,4.1,2388,0
HOR,5,20210215,133500,4.12,4.14,4.12,4.12,1381,0
HOR,5,20210215,134000,4.1,4.1,4.1,4.1,1698,0
HOR,5,20210215,134500,4.08,4.08,4.08,4.08,500,0
HOR,5,20210215,135000,4.1,4.1,4.1,4.1,707,0
HOR,5,20210215,135500,4.1,4.1,4.02,4.02,3908,0
HOR,5,20210215,140500,4.04,4.04,4.02,4.04,2418,0
HOR,5,20210215,141000,4.04,4.04,4.02,4.02,715,0
HOR,5,20210215,141500,4.04,4.04,4.04,4.04,2172,0
HOR,5,20210215,142000,4.02,4.06,4,4.06,2200,0
HOR,5,20210215,143000,4.08,4.08,4.08,4.08,860,0
HOR,5,20210215,144000,4.06,4.06,4.06,4.06,250,0
HOR,5,20210215,145000,4.06,4.08,4.06,4.08,210,0
HOR,5,20210215,150000,4.08,4.08,4.02,4.02,800,0
HOR,5,20210215,152500,4.08,4.08,4.08,4.08,489,0
HOR,5,20210215,153000,4.08,4.08,4.08,4.08,200,0
HOR,5,20210215,161000,4.1,4.1,4.1,4.1,250,0
HOR,5,20210215,162000,4.1,4.1,4.1,4.1,500,0
HOR,5,20210215,163500,4.1,4.1,4.1,4.1,225,0
HOR,5,20210215,164500,4.16,4.16,4.16,4.16,9,0
HOR,5,20210216,090000,4.16,4.16,4.16,4.16,1641,0
HOR,5,20210216,090500,4.16,4.22,4.16,4.22,500,0
HOR,5,20210216,092000,4.12,4.12,4.12,4.12,1,0
HOR,5,20210216,093000,4.12,4.12,4.12,4.12,600,0
HOR,5,20210216,093500,4.12,4.12,4.1,4.1,1869,0
HOR,5,20210216,094000,4.1,4.1,4,4,604,0
HOR,5,20210216,094500,4.02,4.02,4.02,4.02,749,0
HOR,5,20210216,095500,4.02,4.04,4.02,4.04,2000,0
HOR,5,20210216,100000,4.04,4.04,4,4,1544,0
HOR,5,20210216,102000,4.12,4.12,4.12,4.12,50,0
HOR,5,20210216,104500,4.1,4.1,4.1,4.1,125,0
HOR,5,20210216,112000,4.06,4.06,4.02,4.02,583,0
HOR,5,20210216,112500,4.1,4.1,4.1,4.1,30,0
HOR,5,20210216,115500,4.1,4.14,4.1,4.14,707,0
HOR,5,20210216,121500,4.14,4.2,4.14,4.2,2811,0
HOR,5,20210216,122000,4.18,4.18,4.18,4.18,50,0
HOR,5,20210216,134000,4.18,4.18,4.18,4.18,486,0
HOR,5,20210216,134500,4.18,4.18,4.18,4.18,500,0
HOR,5,20210216,141000,4.18,4.18,4.18,4.18,8,0
HOR,5,20210216,153500,4.1,4.1,4.04,4.04,780,0
HOR,5,20210216,154000,4.18,4.18,4.18,4.18,20,0
HOR,5,20210216,163500,4.16,4.16,4.16,4.16,23,0
HOR,5,20210216,164500,4.18,4.22,4.18,4.22,1015,0
HOR,5,20210217,090000,4.2,4.2,4.2,4.2,30,0
HOR,5,20210217,091000,4.16,4.16,4.16,4.16,441,0
HOR,5,20210217,092000,4.12,4.12,4.12,4.12,732,0
HOR,5,20210217,092500,4.08,4.08,4.08,4.08,255,0
HOR,5,20210217,093000,4.04,4.04,4,4,869,0
HOR,5,20210217,093500,4.06,4.06,4.06,4.06,142,0
HOR,5,20210217,094500,4.12,4.12,4.12,4.12,486,0
HOR,5,20210217,095000,4.12,4.12,4.12,4.12,200,0
HOR,5,20210217,102500,4.1,4.1,4.1,4.1,8,0
HOR,5,20210217,115000,4.1,4.1,4.1,4.1,172,0
HOR,5,20210217,131000,4.06,4.06,4.06,4.06,158,0
HOR,5,20210217,141000,4.06,4.06,4.06,4.06,318,0
HOR,5,20210217,142500,4.02,4.02,4,4,1473,0
HOR,5,20210217,143000,4.02,4.02,4,4,670,0
HOR,5,20210217,144500,4,4,4,4,1413,0
HOR,5,20210217,150500,4,4,3.9,3.9,1609,0
HOR,5,20210217,151000,3.9,3.9,3.9,3.9,155,0
HOR,5,20210217,152000,3.98,3.98,3.98,3.98,100,0
