<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPS,5,20210204,103000,0.38,0.38,0.38,0.38,30,0
HPS,5,20210204,162000,0.38,0.38,0.38,0.38,1000,0
HPS,5,20210208,090000,0.38,0.38,0.38,0.38,2000,0
HPS,5,20210208,095000,0.39,0.39,0.39,0.39,300,0
HPS,5,20210209,103500,0.41,0.418,0.41,0.418,500,0
HPS,5,20210209,125000,0.418,0.418,0.418,0.418,3269,0
HPS,5,20210210,093000,0.364,0.364,0.364,0.364,8700,0
HPS,5,20210210,093500,0.362,0.362,0.356,0.356,18221,0
HPS,5,20210210,111000,0.358,0.358,0.356,0.356,8600,0
HPS,5,20210210,164500,0.356,0.356,0.356,0.356,4159,0
HPS,5,20210211,090000,0.38,0.38,0.38,0.38,550,0
HPS,5,20210211,142000,0.36,0.36,0.36,0.36,200,0
HPS,5,20210211,143500,0.358,0.358,0.358,0.358,2050,0
HPS,5,20210211,145000,0.358,0.358,0.358,0.358,3750,0
HPS,5,20210212,144500,0.354,0.354,0.354,0.354,605,0
HPS,5,20210212,150000,0.352,0.352,0.352,0.352,100,0
HPS,5,20210212,150500,0.35,0.35,0.35,0.35,2184,0
HPS,5,20210212,151000,0.34,0.34,0.34,0.34,380,0
HPS,5,20210215,090500,0.34,0.34,0.34,0.34,1500,0
HPS,5,20210215,130000,0.372,0.372,0.372,0.372,45,0
HPS,5,20210215,130500,0.372,0.376,0.372,0.376,655,0
HPS,5,20210215,134500,0.35,0.35,0.35,0.35,100,0
HPS,5,20210215,155500,0.35,0.35,0.35,0.35,450,0
HPS,5,20210215,164500,0.376,0.376,0.376,0.376,45,0
HPS,5,20210216,095500,0.376,0.376,0.376,0.376,20,0
HPS,5,20210216,122000,0.374,0.374,0.374,0.374,200,0
HPS,5,20210216,155500,0.376,0.376,0.376,0.376,100,0
HPS,5,20210217,104000,0.37,0.37,0.37,0.37,100,0
HPS,5,20210217,114000,0.37,0.37,0.37,0.37,25,0
HPS,5,20210217,151000,0.35,0.35,0.35,0.35,100,0
HPS,5,20210217,152000,0.35,0.35,0.35,0.35,5000,0
HPS,5,20210217,164000,0.342,0.342,0.34,0.34,5299,0
HPS,5,20210218,090000,0.348,0.348,0.348,0.348,5724,0
HPS,5,20210218,095500,0.348,0.348,0.348,0.348,3347,0
HPS,5,20210218,102500,0.35,0.35,0.35,0.35,200,0
HPS,5,20210219,090000,0.35,0.35,0.35,0.35,857,0
HPS,5,20210219,101000,0.35,0.35,0.35,0.35,2850,0
HPS,5,20210222,102500,0.35,0.35,0.35,0.35,30,0
HPS,5,20210222,142000,0.342,0.342,0.34,0.34,2980,0
HPS,5,20210222,142500,0.34,0.34,0.34,0.34,2983,0
HPS,5,20210222,153500,0.36,0.37,0.36,0.37,417,0
HPS,5,20210224,102500,0.37,0.37,0.37,0.37,50,0
HPS,5,20210225,095500,0.37,0.37,0.37,0.37,405,0
HPS,5,20210225,115000,0.35,0.35,0.35,0.35,100,0
HPS,5,20210225,130000,0.35,0.35,0.35,0.35,250,0
HPS,5,20210301,100000,0.368,0.368,0.368,0.368,100,0
HPS,5,20210301,103000,0.368,0.368,0.368,0.368,50,0
HPS,5,20210301,130000,0.36,0.36,0.36,0.36,2200,0
HPS,5,20210302,115500,0.36,0.36,0.36,0.36,80,0
HPS,5,20210303,095500,0.36,0.36,0.36,0.36,50,0
HPS,5,20210304,101500,0.36,0.372,0.36,0.372,2776,0
HPS,5,20210304,142000,0.35,0.35,0.35,0.35,47,0
HPS,5,20210304,153000,0.37,0.37,0.37,0.37,1370,0
HPS,5,20210305,104500,0.37,0.37,0.37,0.37,50,0
HPS,5,20210308,100500,0.38,0.396,0.38,0.396,15909,0
