<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRC,5,20210204,100500,2.44,2.44,2.44,2.44,290,0
HRC,5,20210204,104500,2.42,2.42,2.36,2.36,1000,0
HRC,5,20210204,105000,2.36,2.36,2.36,2.36,847,0
HRC,5,20210204,105500,2.34,2.4,2.32,2.4,1578,0
HRC,5,20210204,140000,2.4,2.4,2.4,2.4,200,0
HRC,5,20210204,151500,2.36,2.36,2.36,2.36,856,0
HRC,5,20210204,152000,2.36,2.36,2.36,2.36,426,0
HRC,5,20210204,155500,2.36,2.36,2.36,2.36,15,0
HRC,5,20210204,160500,2.36,2.36,2.36,2.36,550,0
HRC,5,20210204,163500,2.36,2.36,2.36,2.36,435,0
HRC,5,20210205,091500,2.4,2.4,2.4,2.4,426,0
HRC,5,20210205,094500,2.36,2.36,2.3,2.3,500,0
HRC,5,20210205,102000,2.3,2.3,2.3,2.3,800,0
HRC,5,20210205,111500,2.4,2.4,2.4,2.4,200,0
HRC,5,20210205,112500,2.4,2.64,2.4,2.64,4710,0
HRC,5,20210205,113000,2.6,2.6,2.6,2.6,747,0
HRC,5,20210205,113500,2.6,2.6,2.6,2.6,3,0
HRC,5,20210205,114500,2.58,2.58,2.58,2.58,300,0
HRC,5,20210205,124000,2.54,2.54,2.54,2.54,277,0
HRC,5,20210205,131000,2.5,2.5,2.5,2.5,1350,0
HRC,5,20210205,132000,2.56,2.56,2.56,2.56,26,0
HRC,5,20210205,142500,2.4,2.4,2.38,2.4,1816,0
HRC,5,20210205,150500,2.5,2.5,2.5,2.5,241,0
HRC,5,20210205,151000,2.5,2.5,2.5,2.5,59,0
HRC,5,20210205,162500,2.38,2.38,2.38,2.38,534,0
HRC,5,20210208,095500,2.5,2.5,2.5,2.5,2640,0
HRC,5,20210208,112500,2.42,2.42,2.42,2.42,100,0
HRC,5,20210208,115500,2.5,2.5,2.5,2.5,268,0
HRC,5,20210208,125500,2.56,2.56,2.56,2.56,20,0
