<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRL,5,20210204,100500,0.18,0.18,0.18,0.18,17200,0
HRL,5,20210204,101500,0.185,0.185,0.185,0.185,111,0
HRL,5,20210204,102500,0.185,0.185,0.185,0.185,5000,0
HRL,5,20210204,104500,0.185,0.185,0.185,0.185,599,0
HRL,5,20210204,133500,0.176,0.176,0.176,0.176,1957,0
HRL,5,20210204,134000,0.1845,0.1845,0.1845,0.1845,1300,0
HRL,5,20210204,141000,0.177,0.177,0.17,0.17,25000,0
HRL,5,20210204,141500,0.1845,0.1845,0.1845,0.1845,1,0
HRL,5,20210204,144500,0.1705,0.1705,0.1705,0.1705,15000,0
HRL,5,20210204,145500,0.183,0.183,0.183,0.183,55,0
HRL,5,20210205,095500,0.1795,0.18,0.1795,0.18,21300,0
HRL,5,20210205,100000,0.183,0.183,0.183,0.183,9945,0
HRL,5,20210205,100500,0.1845,0.1845,0.1845,0.1845,600,0
HRL,5,20210205,101000,0.1845,0.186,0.1845,0.186,20100,0
HRL,5,20210205,112000,0.184,0.184,0.184,0.184,11500,0
HRL,5,20210205,121500,0.183,0.183,0.183,0.183,90,0
HRL,5,20210205,124500,0.1775,0.1775,0.1755,0.1755,5934,0
HRL,5,20210205,125000,0.171,0.171,0.1705,0.1705,7211,0
HRL,5,20210205,133500,0.18,0.18,0.18,0.18,211,0
HRL,5,20210205,163000,0.18,0.18,0.18,0.18,1000,0
HRL,5,20210205,164500,0.18,0.182,0.18,0.182,5000,0
HRL,5,20210208,090000,0.182,0.182,0.182,0.182,2000,0
HRL,5,20210208,091000,0.18,0.18,0.18,0.18,5000,0
HRL,5,20210208,091500,0.186,0.186,0.186,0.186,55,0
HRL,5,20210208,102500,0.1855,0.1855,0.1855,0.1855,3000,0
HRL,5,20210208,105500,0.18,0.18,0.18,0.18,10000,0
HRL,5,20210208,110000,0.175,0.175,0.175,0.175,10000,0
HRL,5,20210208,110500,0.18,0.18,0.18,0.18,10000,0
HRL,5,20210208,131000,0.1735,0.1735,0.1735,0.1735,5000,0
HRL,5,20210208,132500,0.18,0.18,0.18,0.18,100,0
HRL,5,20210208,154500,0.1795,0.1795,0.1795,0.1795,5000,0
HRL,5,20210208,155000,0.1795,0.1795,0.1795,0.1795,2510,0
HRL,5,20210208,162000,0.18,0.18,0.18,0.18,12000,0
HRL,5,20210209,090000,0.183,0.183,0.183,0.183,111,0
HRL,5,20210209,093000,0.183,0.183,0.183,0.183,560,0
HRL,5,20210209,102500,0.1755,0.1755,0.1755,0.1755,6000,0
HRL,5,20210209,111000,0.182,0.182,0.182,0.182,550,0
HRL,5,20210209,113000,0.175,0.175,0.175,0.175,11000,0
HRL,5,20210209,124500,0.176,0.176,0.1735,0.1735,25000,0
HRL,5,20210209,125000,0.1815,0.1815,0.1815,0.1815,58,0
HRL,5,20210209,142000,0.1735,0.1735,0.1735,0.1735,5199,0
HRL,5,20210209,144500,0.1795,0.1795,0.1795,0.1795,1631,0
HRL,5,20210209,164500,0.179,0.179,0.179,0.179,1000,0
HRL,5,20210210,103500,0.174,0.174,0.174,0.174,1520,0
HRL,5,20210210,120500,0.174,0.174,0.174,0.174,1223,0
HRL,5,20210210,145500,0.1785,0.1785,0.1785,0.1785,198,0
HRL,5,20210210,151500,0.175,0.175,0.175,0.175,12024,0
HRL,5,20210211,091500,0.175,0.175,0.175,0.175,7976,0
HRL,5,20210211,122000,0.1785,0.1785,0.1785,0.1785,100,0
HRL,5,20210211,124500,0.1785,0.1785,0.1785,0.1785,1133,0
HRL,5,20210211,132500,0.174,0.174,0.174,0.174,630,0
HRL,5,20210211,142000,0.1785,0.1785,0.1785,0.1785,111,0
HRL,5,20210211,145500,0.175,0.175,0.175,0.175,15000,0
HRL,5,20210211,152500,0.175,0.175,0.175,0.175,10000,0
HRL,5,20210211,153000,0.1785,0.1785,0.1785,0.1785,111,0
HRL,5,20210211,162000,0.1785,0.1785,0.1785,0.1785,8657,0
HRL,5,20210211,164500,0.179,0.179,0.179,0.179,15000,0
HRL,5,20210212,090000,0.18,0.18,0.18,0.18,1600,0
HRL,5,20210212,092000,0.18,0.18,0.18,0.18,14000,0
HRL,5,20210212,093000,0.18,0.18,0.18,0.18,3000,0
HRL,5,20210212,102000,0.18,0.181,0.18,0.181,23551,0
HRL,5,20210212,102500,0.182,0.182,0.182,0.182,5549,0
HRL,5,20210212,103000,0.182,0.1825,0.182,0.1825,452,0
HRL,5,20210212,105000,0.1825,0.1825,0.1825,0.1825,940,0
HRL,5,20210212,112000,0.1825,0.1825,0.18,0.18,43800,0
HRL,5,20210212,115000,0.18,0.18,0.18,0.18,10981,0
HRL,5,20210212,120000,0.183,0.183,0.183,0.183,111,0
HRL,5,20210212,122500,0.183,0.183,0.183,0.183,2889,0
HRL,5,20210212,135500,0.182,0.182,0.182,0.182,10000,0
