<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRT,5,20210204,090000,0.348,0.348,0.348,0.348,517,0
HRT,5,20210204,090500,0.348,0.348,0.32,0.32,2828,0
HRT,5,20210204,091000,0.314,0.314,0.314,0.314,9978,0
HRT,5,20210204,091500,0.348,0.348,0.348,0.348,10,0
HRT,5,20210204,100500,0.334,0.334,0.32,0.32,2300,0
HRT,5,20210204,105500,0.348,0.348,0.348,0.348,1,0
HRT,5,20210204,112000,0.336,0.348,0.336,0.348,2410,0
HRT,5,20210204,163000,0.332,0.332,0.332,0.332,2476,0
HRT,5,20210204,163500,0.348,0.348,0.348,0.348,1,0
HRT,5,20210205,123500,0.33,0.33,0.33,0.33,2522,0
HRT,5,20210205,124000,0.33,0.33,0.32,0.32,2623,0
HRT,5,20210205,131500,0.32,0.32,0.32,0.32,5530,0
HRT,5,20210205,132000,0.32,0.32,0.32,0.32,5284,0
HRT,5,20210205,154000,0.33,0.33,0.33,0.33,1,0
HRT,5,20210205,155000,0.33,0.346,0.33,0.346,5000,0
HRT,5,20210205,155500,0.34,0.34,0.34,0.34,20,0
HRT,5,20210205,160500,0.32,0.32,0.3,0.3,62282,0
HRT,5,20210205,161000,0.3,0.3,0.3,0.3,24327,0
HRT,5,20210205,161500,0.3,0.32,0.3,0.32,9000,0
HRT,5,20210205,164500,0.3,0.3,0.3,0.3,15400,0
HRT,5,20210208,090500,0.316,0.316,0.316,0.316,73,0
HRT,5,20210208,092500,0.316,0.32,0.316,0.32,2027,0
HRT,5,20210208,093500,0.32,0.32,0.32,0.32,8400,0
HRT,5,20210208,094000,0.32,0.32,0.32,0.32,1600,0
HRT,5,20210208,095000,0.32,0.32,0.32,0.32,3000,0
HRT,5,20210208,101000,0.32,0.32,0.32,0.32,1000,0
HRT,5,20210208,102500,0.32,0.32,0.32,0.32,500,0
HRT,5,20210208,111000,0.32,0.32,0.32,0.32,500,0
HRT,5,20210208,123000,0.312,0.312,0.31,0.31,5588,0
HRT,5,20210208,131000,0.3,0.3,0.3,0.3,23291,0
HRT,5,20210208,135500,0.3,0.3,0.3,0.3,1400,0
HRT,5,20210208,145500,0.3,0.3,0.3,0.3,2965,0
HRT,5,20210209,102500,0.3,0.3,0.3,0.3,100,0
HRT,5,20210209,103500,0.292,0.292,0.292,0.292,1635,0
HRT,5,20210209,104000,0.29,0.29,0.29,0.29,5780,0
HRT,5,20210209,104500,0.29,0.29,0.288,0.288,9247,0
HRT,5,20210209,111500,0.296,0.31,0.296,0.31,15781,0
HRT,5,20210209,112000,0.316,0.316,0.316,0.316,1000,0
HRT,5,20210209,115500,0.31,0.31,0.31,0.31,3419,0
HRT,5,20210209,122500,0.316,0.316,0.316,0.316,200,0
HRT,5,20210209,123000,0.316,0.316,0.316,0.316,6320,0
HRT,5,20210209,135500,0.316,0.316,0.316,0.316,3000,0
HRT,5,20210209,150500,0.316,0.316,0.316,0.316,1584,0
HRT,5,20210209,164500,0.316,0.32,0.316,0.32,10000,0
HRT,5,20210210,110500,0.302,0.302,0.3,0.3,8600,0
HRT,5,20210210,111000,0.32,0.322,0.32,0.322,4000,0
HRT,5,20210210,122500,0.3,0.3,0.3,0.3,7952,0
HRT,5,20210210,123500,0.3,0.322,0.3,0.322,600,0
HRT,5,20210210,132500,0.31,0.31,0.31,0.31,5000,0
HRT,5,20210210,142000,0.32,0.32,0.32,0.32,1000,0
HRT,5,20210210,160500,0.32,0.32,0.32,0.32,4469,0
HRT,5,20210210,161000,0.322,0.322,0.322,0.322,2531,0
HRT,5,20210210,164500,0.322,0.322,0.322,0.322,13568,0
HRT,5,20210211,101000,0.32,0.326,0.32,0.326,700,0
HRT,5,20210211,103500,0.31,0.31,0.31,0.31,5000,0
HRT,5,20210211,105500,0.3,0.3,0.29,0.29,22000,0
HRT,5,20210211,110000,0.318,0.318,0.318,0.318,1000,0
HRT,5,20210211,121500,0.292,0.292,0.29,0.29,6000,0
HRT,5,20210211,123500,0.304,0.318,0.304,0.318,4000,0
HRT,5,20210211,155000,0.316,0.316,0.316,0.316,1600,0
HRT,5,20210211,160000,0.316,0.316,0.316,0.316,700,0
HRT,5,20210211,162500,0.316,0.316,0.316,0.316,2300,0
HRT,5,20210212,095500,0.292,0.292,0.292,0.292,2000,0
HRT,5,20210212,100000,0.318,0.326,0.318,0.326,17904,0
