<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUB,5,20210204,090000,1.015,1.025,1,1.02,76097,0
HUB,5,20210204,090500,1.02,1.02,1,1.01,18010,0
HUB,5,20210204,091000,1.01,1.01,1,1.005,164609,0
HUB,5,20210204,091500,1,1.005,0.998,1.005,27618,0
HUB,5,20210204,092000,1,1.02,1,1.02,36600,0
HUB,5,20210204,092500,1.015,1.02,1,1,28839,0
HUB,5,20210204,093000,1.01,1.01,0.998,1,32516,0
HUB,5,20210204,093500,1.01,1.01,1,1.01,32032,0
HUB,5,20210204,094000,1.01,1.015,1,1.01,8630,0
HUB,5,20210204,094500,1.015,1.015,1.005,1.005,11910,0
HUB,5,20210204,095000,1.01,1.01,1,1,37896,0
HUB,5,20210204,095500,1.005,1.005,1.005,1.005,101,0
HUB,5,20210204,100000,1.005,1.005,1.005,1.005,22500,0
HUB,5,20210204,100500,1.005,1.01,1.005,1.01,1534,0
HUB,5,20210204,101500,1.01,1.015,1.01,1.015,12620,0
HUB,5,20210204,102500,1.01,1.01,1.01,1.01,3000,0
HUB,5,20210204,103000,1.01,1.015,1.005,1.01,9100,0
HUB,5,20210204,103500,1.01,1.01,1.01,1.01,3470,0
HUB,5,20210204,104000,1.01,1.02,1.01,1.02,15800,0
HUB,5,20210204,104500,1.01,1.02,1.01,1.02,835,0
HUB,5,20210204,105000,1.02,1.02,1.02,1.02,6334,0
HUB,5,20210204,105500,1.005,1.01,1.005,1.01,2535,0
HUB,5,20210204,110000,1.02,1.02,1.02,1.02,1000,0
HUB,5,20210204,110500,1.02,1.02,1.02,1.02,4000,0
HUB,5,20210204,111500,1.01,1.01,1.005,1.005,52300,0
HUB,5,20210204,112500,1.01,1.015,1.01,1.01,12058,0
HUB,5,20210204,113000,1.01,1.01,1,1.005,71691,0
HUB,5,20210204,113500,1.005,1.01,1.005,1.01,4020,0
HUB,5,20210204,114000,1.005,1.005,1,1.005,52753,0
HUB,5,20210204,114500,1.005,1.01,1.005,1.01,12780,0
HUB,5,20210204,115000,1.005,1.005,1.005,1.005,185,0
HUB,5,20210204,115500,1.005,1.01,1.005,1.01,13570,0
HUB,5,20210204,120000,1.01,1.01,1.005,1.005,20631,0
HUB,5,20210204,120500,1.005,1.01,1.005,1.01,5085,0
HUB,5,20210204,121000,1.01,1.025,1.01,1.025,113684,0
HUB,5,20210204,121500,1.025,1.025,1.025,1.025,540,0
HUB,5,20210204,122000,1.025,1.025,1.02,1.02,1510,0
HUB,5,20210204,122500,1.025,1.03,1.02,1.025,28405,0
HUB,5,20210204,123000,1.02,1.04,1.02,1.04,90037,0
HUB,5,20210204,124000,1.035,1.04,1.025,1.025,40055,0
HUB,5,20210204,124500,1.02,1.04,1.02,1.035,14818,0
