<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICD,5,20210204,111500,3.8,3.8,3.8,3.8,310,0
ICD,5,20210205,110000,3.4,3.4,3.4,3.4,150,0
ICD,5,20210208,150000,3.52,3.52,3.52,3.52,50,0
ICD,5,20210208,151000,3.52,3.52,3.52,3.52,63,0
ICD,5,20210210,110000,3.7,3.7,3.7,3.7,50,0
ICD,5,20210211,110000,3.5,3.5,3.5,3.5,1,0
ICD,5,20210217,110000,3.44,3.44,3.44,3.44,160,0
ICD,5,20210217,110500,3.44,3.44,3.44,3.44,20,0
ICD,5,20210217,150000,3,3,3,3,20,0
ICD,5,20210218,110000,3,3,3,3,49,0
ICD,5,20210222,110000,2.98,2.98,2.98,2.98,29,0
ICD,5,20210222,150000,2.8,2.8,2.8,2.8,20,0
ICD,5,20210222,152000,2.8,2.8,2.8,2.8,140,0
ICD,5,20210223,110000,2.8,2.8,2.8,2.8,10,0
ICD,5,20210223,150000,2.5,2.5,2.5,2.5,20,0
ICD,5,20210224,110000,2.8,2.8,2.8,2.8,10,0
ICD,5,20210224,150000,2.8,2.8,2.8,2.8,290,0
ICD,5,20210224,150500,2.8,2.8,2.8,2.8,300,0
ICD,5,20210225,110000,2.8,2.8,2.8,2.8,10,0
ICD,5,20210226,110000,3,3,3,3,100,0
ICD,5,20210301,110000,3,3,3,3,4,0
ICD,5,20210301,150000,2.74,2.74,2.74,2.74,50,0
ICD,5,20210302,110000,3,3,3,3,30,0
ICD,5,20210304,110000,3,3,3,3,4,0
ICD,5,20210305,110000,2.7,2.7,2.7,2.7,20,0
ICD,5,20210309,150000,2.78,2.78,2.78,2.78,12,0
ICD,5,20210310,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210311,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210312,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210315,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210316,110000,2.8,2.8,2.8,2.8,5,0
ICD,5,20210317,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210318,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210319,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210322,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210323,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210324,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210325,110000,2.8,2.8,2.8,2.8,4,0
ICD,5,20210326,110000,2.8,2.8,2.8,2.8,4,0
