<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDH,5,20210204,110000,8,8,8,8,3129,0
IDH,5,20210204,150000,8.4,8.4,8.4,8.4,670,0
IDH,5,20210204,150500,8.4,8.4,8.4,8.4,60,0
IDH,5,20210204,151000,8.4,8.4,8.4,8.4,66,0
IDH,5,20210204,151500,8.4,8.4,8.4,8.4,47,0
IDH,5,20210204,152500,8.4,8.4,8.4,8.4,297,0
IDH,5,20210205,110000,8.4,8.4,8.4,8.4,8781,0
IDH,5,20210205,110500,8.4,8.4,8.4,8.4,0,0
IDH,5,20210205,112000,8.4,8.4,8.4,8.4,1375,0
IDH,5,20210205,150000,8.8,8.8,8.8,8.8,7198,0
IDH,5,20210205,150500,8.8,8.8,8.8,8.8,1900,0
IDH,5,20210205,151000,8.8,8.8,8.8,8.8,1042,0
IDH,5,20210205,151500,8.8,8.8,8.8,8.8,313,0
IDH,5,20210205,152000,8.8,8.8,8.8,8.8,125,0
IDH,5,20210205,152500,8.8,8.8,8.8,8.8,375,0
IDH,5,20210208,110000,9.6,9.6,9.6,9.6,9918,0
IDH,5,20210208,110500,9.6,9.6,9.6,9.6,6,0
IDH,5,20210208,111000,9.6,9.6,9.6,9.6,225,0
IDH,5,20210208,111500,9.6,9.6,9.6,9.6,284,0
IDH,5,20210208,112000,9.6,9.6,9.6,9.6,1739,0
IDH,5,20210208,112500,9.6,9.6,9.6,9.6,1069,0
IDH,5,20210208,150000,10,10,10,10,2798,0
IDH,5,20210208,150500,10,10,10,10,686,0
IDH,5,20210208,151000,10,10,10,10,1058,0
IDH,5,20210208,152000,10,10,10,10,308,0
IDH,5,20210208,152500,10,10,10,10,224,0
IDH,5,20210209,110000,10,10,10,10,1660,0
IDH,5,20210209,111500,10,10,10,10,10,0
IDH,5,20210209,112000,10,10,10,10,8,0
IDH,5,20210209,150000,10,10,10,10,2999,0
IDH,5,20210209,150500,10,10,10,10,50,0
IDH,5,20210209,151500,10,10,10,10,625,0
IDH,5,20210209,152000,10,10,10,10,94,0
IDH,5,20210209,152500,10,10,10,10,285,0
IDH,5,20210210,110000,8.8,8.8,8.8,8.8,4687,0
IDH,5,20210210,110500,8.8,8.8,8.8,8.8,875,0
IDH,5,20210210,111000,8.8,8.8,8.8,8.8,206,0
IDH,5,20210210,111500,8.8,8.8,8.8,8.8,1278,0
IDH,5,20210210,112000,8.8,8.8,8.8,8.8,250,0
IDH,5,20210210,112500,8.8,8.8,8.8,8.8,425,0
IDH,5,20210210,150000,8.4,8.4,8.4,8.4,5197,0
IDH,5,20210210,152000,8.4,8.4,8.4,8.4,1288,0
IDH,5,20210210,152500,8.4,8.4,8.4,8.4,409,0
IDH,5,20210211,110000,8.4,8.4,8.4,8.4,5614,0
IDH,5,20210211,110500,8.4,8.4,8.4,8.4,1041,0
IDH,5,20210211,111000,8.4,8.4,8.4,8.4,375,0
IDH,5,20210211,112500,8.4,8.4,8.4,8.4,4,0
IDH,5,20210211,150000,8.4,8.4,8.4,8.4,4938,0
IDH,5,20210211,150500,8.4,8.4,8.4,8.4,138,0
IDH,5,20210211,151000,8.4,8.4,8.4,8.4,1225,0
IDH,5,20210211,151500,8.4,8.4,8.4,8.4,387,0
IDH,5,20210211,152000,8.4,8.4,8.4,8.4,1883,0
IDH,5,20210211,152500,8.4,8.4,8.4,8.4,375,0
IDH,5,20210212,110000,8.8,8.8,8.8,8.8,2067,0
IDH,5,20210212,111000,8.8,8.8,8.8,8.8,25,0
IDH,5,20210212,111500,8.8,8.8,8.8,8.8,1221,0
IDH,5,20210212,150000,8.8,8.8,8.8,8.8,1373,0
IDH,5,20210212,151000,8.8,8.8,8.8,8.8,625,0
IDH,5,20210212,151500,8.8,8.8,8.8,8.8,200,0
IDH,5,20210212,152000,8.8,8.8,8.8,8.8,806,0
IDH,5,20210212,152500,8.8,8.8,8.8,8.8,68,0
IDH,5,20210215,110000,9.2,9.2,9.2,9.2,3290,0
IDH,5,20210215,110500,9.2,9.2,9.2,9.2,1501,0
IDH,5,20210215,111000,9.2,9.2,9.2,9.2,456,0
IDH,5,20210215,111500,9.2,9.2,9.2,9.2,63,0
IDH,5,20210215,112000,9.2,9.2,9.2,9.2,31,0
IDH,5,20210215,112500,9.2,9.2,9.2,9.2,282,0
IDH,5,20210215,150000,9.2,9.2,9.2,9.2,1677,0
IDH,5,20210215,150500,9.2,9.2,9.2,9.2,382,0
IDH,5,20210215,151500,9.2,9.2,9.2,9.2,2,0
IDH,5,20210215,152500,9.2,9.2,9.2,9.2,125,0
IDH,5,20210301,110000,8.5,8.5,8.5,8.5,1668,0
IDH,5,20210301,111500,8.5,8.5,8.5,8.5,125,0
